,Produto,EAN,Marca,Descrição
10,Lacto Purga 16Comprimidos,7896094904118,HYPERMARCAS-DM,
11,Neosoro Adulto Solução Nasal 30ml,7896714231143,NEO QUIMICA,"É um antisséptico nasal, que atua como descongestionante e facilita a respiração. Pode ser usado como fluidificante das secreções nasais em casos de resfriados, rinites e demais condições associadas ao ressecamento da mucosa nasal, como nos ambientes fechados, em casos de baixa umidade do ar e de poluição. Uso nasal. Uso adulto."
12,Ciclo 21 21 Comprimidos,7896006234067,UNIAO QUIMICA,
13,Glifage XR 500Mg 30Comprimidos,7891721201806,MERCK,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO."
14,Cimegripe 400mg 20 Cápsulas,7896523200576,CIMED,Cimegripe é contra os sintomas da gripe e resfriado.
15,Avamys Spray 120 Doses,7896015518875,GLAXO - OL FARMA,
16,Dorflex Analgésico e Relaxante Muscular 24 comprimidos,7891058022136,AVENTIS - OL,"Para que serve o Dorflex?DORFLEX é indicado no alívio da dor associada a contraturas musculares, incluindo dor de cabeça tensional.Como usar o Dorflex?Você deve tomar os comprimidos com líquido (aproximadamente ½ a 1 copo), por via oral.Posologia: 1 a 2 comprimidos, 3 a 4 vezes ao dia. Não ultrapassar estes limites.Não há estudos dos efeitos de DORFLEX administrado por vias não recomendadas. Portanto, por segurança e para eficácia deste medicamento, a administração deve ser somente pela via oral.Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do farmacêutico. Não desaparecendo os sintomas, procure orientação de seu médico ou cirurgião-dentista.Este medicamento não deve ser mastigado.Quando não devo usar o DorflexDORFLEX não deve ser utilizado nos seguintes casos:Alergia ou intolerância a qualquer um dos componentes da fórmula ou a analgésicos semelhantes à dipirona – derivados de pirazolonas (ex.: fenilbutazona, oxifembutazona) ou a pirazolidinas (ex.: fenilbutazona, oxifembutazona) – incluindo, por exemplo, casos anteriores de agranulocitose (diminuição acentuada na contagem de leucócitos do sangue – glóbulos brancos) em relação a um destes medicamentos;Glaucoma (aumento da pressão intraocular), obstrução pilórica ou duodenal (estreitamento da passagem do conteúdo no estômago e intestino), problemas motores no esôfago (megaesôfago), úlcera péptica estenosante (estreitamento anormal), hipertrofia prostática (aumento da próstata), obstrução do colo da bexiga e miastenia grave (doença neuromuscular que causa fraqueza);Porfiria hepática aguda intermitente - doença metabólica que se manifesta através de problemas na pele e/ou com complicações neurológicas (risco de ataques de porfiria);Deficiência congênita da glicose-6-fosfato-desidrogenase (risco de hemólise - destruição dos glóbulos vermelhos, o que pode levar a anemia);Função da medula óssea insuficiente (ex.: após tratamento que bloqueia a divisão celular) ou doenças do sistema hematopoiético (responsável pela produção das células sanguíneas);Desenvolvido broncoespasmo (contração dos brônquios levando a chiado no peito) ou outras reações anafiláticas (ex.: urticária, rinite, angioedema) com medicamentos para dor, como: salicilatos, paracetamol, diclofenaco, ibuprofeno, indometacina, naproxeno;Gravidez e amamentação (vide “O que devo saber antes de usar este medicamento?” na bula).Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgiãodentista. Informe imediatamente seu médico em caso de suspeita de gravidez.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO DURANTE A GRAVIDEZ E EM CRIANÇAS MENORES DE TRÊS MESES DE IDADE. DURANTE SEU USO, NÃO DIRIJA VEÍCULOS OU OPERE MÁQUINAS, POIS SUA AGILIDADE E ATENÇÃO PODEM ESTAR PREJUDICADAS."
17,Analgésico e Antitérmico Novalgina 1g 10 comprimidos,7891058001155,AVENTIS - OL,"O que é?A Novalgina é um medicamento antialérgico e antitérmico que ajuda a cuidar e evitar dores intensas no corpo.Princípio ativoDipirona monoidratadaQuantos comprimidos de Novalgina 1G pode tomar por dia?Tomar até 4 comprimidos por dia, porém o recomendado é seguir as instruções da bula, em caso de dúvidas procure uma pessoa médica.Para que serve a Novalgina de 1g?A Novalgina auxilia a combater febre e dores fortes no corpo, como a enxaqueca, dores de cabeça em decorrência de traumas ou batidas e cólicas.Quanto tempo demora para Novalgina 1G fazer efeito?Em média entre 30 a 60 minutos após a ingestão e pode durar até 4 horas.Qual é mais forte Novalgina ou dipirona?A Dipirona é o princípio ativo da marca Novalgina.Como usar a Novalgina 1g 10 comprimidos?Ingerir os comprimidos com líquido, por via oralEntre meio comprimido a 1 comprimido por até 4 vezes ao diaAdvertênciasPessoas grávidas ou em período de amamentação, idosos, crianças menos de 3 meses de idade, o consumo do medicamento somente com orientação médicaManter fora do alcance de criançasUso indicado para pessoas acima de 15 anosQualquer reação a componentes da fórmula, interrompa o uso e procure uma pessoa médica.ComposiçãoDipirona monoidratadaEstearato de magnésioMacrogol 4000SE PERSISTIREM OS SINTOMAS, PROCURE ORIENTAÇÃO DE UMA PESSOA MÉDICA. NOVALGINA 10 COMPRIMIDOS É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. LEIA A BULA."
18,Sal de Fruta Eno Sabor Laranja 2 envelopes 5g cada,7896015560034,GLAXO SMITHKLINE - OTC,"Para que
serve o Eno Sal de Frutas?Eno Sal de Fruta é um antiácido indicado para
auxiliar na azia, má digestão e outros transtornos estomacais, tais como
excesso de acidez do estômago e indigestão ácida.Como
funciona o Eno Sal de Frutas?Os componentes do Sal de Frutas Eno quando
dissolvidos em água, reagem entre si, produzindo um sal de efeito antiácido,
capaz de iniciar a redução da acidez do estômago em 6 segundos.Como usar o
Eno Sal de Frutas?Quando
     os sintomas ocorrerem, você deve dissolver 5g (conteúdo de 1 envelope ou 1
     colher de chá) de Sal de Fruta Eno em um copo pequeno de água (200 ml) em
     temperatura ambiente.Espere
     completar a efervescência e beba de uma vez.Se
     necessário, repita a ingestão após 2 horas.ImportanteVocê
     não deve ultrapassar a dose diária máxima recomendada, de 2 envelopes ou 2
     colheres de chá deste medicamento a cada 24 horas.Para
     esta dose, o período máximo de uso é de 14 dias.Siga
     corretamente o modo de usar.Em
     casos de dúvidas sobre este medicamento, procure orientação do
     farmacêutico.Não
     desaparecendo os sintomas, procure orientação de seu médico ou
     cirurgião-dentista.EspecificaçõesSal de Fruta Eno está disponível em
6 sabores e 2 tamanhos:Sabores
     Original, Tutti-Frutti, Laranja, Abacaxi, Guaraná e Limão.Sachê
     com 2 doses ou frasco de 100g com 20 doses.Quando não devo usar Eno Sal de Frutas?Você não deve tomar este medicamento se tiver
história de alergia a quaisquer componentes da fórmula, se tiver pressão alta,
problemas no fígado, coração ou rins ou se seguir uma dieta restrita em sódio.Este
medicamento é contraindicado para menores de 12 anos de idade.SE
PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE
MEDICAMENTO SE VOCÊ TEM RESTRIÇÃO AO CONSUMO DE SAL, INSUFICIÊNCIA DOS RINS, DO
CORAÇÃO OU DO FÍGADO."
19,Tylenol Sinus 500Mg 24Comprimidos,7896212415618,J&J - OL,"TYLENOL® Sinus é um antigripal indicado para redução de febre e alívio temporário de dores leves a moderadas, tais como: dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e cólicas menstruiais. A embalagem contém 24 comprimidos revestidos com 500 mg de paracetamol e 30 mg de cloridrato de pseudoefedrina cada."
20,Aerolin 100Mg Spray 200 Doses,7896269900150,GLAXO - OL FARMA,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO."
21,Cebion 1G 10Comprimidos Efervescente Laranja,7891721100017,MERCK,
22,Salonpas Emplastro Grande 1Env 2 Unidades,7896227800812,HISAMITSU,"Salonpas Adesivo é um medicamento de aplicação tópica de cor branca a amarelo, com odor característico.Indicado para alívio de dores e inflamações nas seguintes condições: fadiga muscular, dores musculares e lombares, rigidez nos ombros, contusões, pancadas, torções, entorses, torcicolo, dores nas costas, nevralgia e dores articulares."
23,Gastrol Efervescente Sache 5G Laranja,7896094918658,HYPERMARCAS-DM,"O que é: Gastrol Pó Efervescente é uma associação de 3 compostos de ação antiácida, indicados na redução da hiperacidez gástrica e no alívio da úlcera péptica. Gastrol Pó Efervescente é um medicamento cuja associação de antiácidos atua eficazmente no combate da hiperacidez gástrica e dos desconfortos de ordem gastroduodenal, decorrentes desta. Este medicamento é um neutralizante da acidez e protetor da mucosa gastroduodenal (esôfago e estômago). Tem eficácia imediata, uma vez que rapidamente reage com os ácidos do estômago, neutralizando a acidez do estômago.

Para que serve: Como antiácido no tratamento sintomático da hiperacidez gástrica e suas complicações. Na úlcera péptica.

Modo de usar: Usar 1 a 2 envelopes em meio copo com água, de acordo com a necessidade. Para pessoas com histórico de gastrite e úlcera tomar 1 envelope antes e 1 após a ingestão de alimentos e/ou bebidas alcoólicas causadoras de azia  e da dor estomacal. Não ultrapassar a dose máxima de 8 envelopes ao dia. Não repetir a administração em intervalos menores que 1 hora.

SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE MEDICAMENTO EM CASO DE DOENÇAS DOS RINS E DOR ABOMINAL AGUDA. LEIA A BULA."
24,Dorflex 10Comprimidos,7891058017392,AVENTIS - OL,
25,Loratamed 10mg 12 Comprimidos,7896523202822,CIMED,"Loratamed 10mg Cimed 12 Comprimidos é indicado ao alívio dos sintomas associados com a rinite alérgica, seja coceira nasal, coriza, espirros, ardor e coceira nos olhos. É também indicado para o alívio dos sinais e sintomas da urticária e de outras alergias da pele. Loratamed Gotas 10mg Cimed 20ml pertence à classe de medicamentos conhecidos como anti-histamínicos, que ajudam a reduzir os sintomas da alergia e previnem os efeitos da histamina. A ação ocorre de forma rápida, porém não deve ser usado por pacientes com reações alérgicas a qualquer componente da fórmula."
26,Bepantriz Pomada 30g,7896523210797,CIMED,"Bepantriz é uma pomada dermatológica de uso adulto e pediátrico. Sua fórmula tem como princípio ativo o dexpantenol, uma substância que penetra nas camadas mais profundas da pele e é transformada em vitamina B5, estimulando a formação e regeneração natural cutânea. É livre de perfume, corantes e conservantes."
27,Lufta Gastro Pro Sache 10Ml,7891035650130,RECKITT,"LuftaGastroPro é um medicamento indicado para aliviar os sintomas de refluxo, como de azia e queimação, causados pela má digestão. Com ação mecânica, sem absorção pelo organismo, age por meio da formação de uma barreira de ácido algínico no topo do estômago, proporcionando alívio rápido e de longa duração. Pode ser utilizado por gestantes, sob orientação médica. Pode ser co-prescrito no tratamento com IBPs (ex: omeprazol), auxiliando no controle dos sintomas do refluxo."
28,Losartana Potássica 50mg 30 Comprimidos Medley,7896422507738,MEDLEY - GEN,"SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO."
29,Tadalafila 20mg 1 Comprimido Neo Química,7896714255934,NEO QUIMICA - GENERICOS,"A tadalafila deve ser administrada somente por via oral e ingerido inteiro, podendo ser tomado independente das refeições. Modo de uso Dosagem: a dose máxima recomendada de tadalafila é de 20 mg, tomada antes da relação sexual. A frequência máxima de dose recomendada é uma vez ao dia. A tadalafila provou ser eficaz a partir de 30 minutos após sua administração, por até 36 horas. Pacientes podem iniciar a atividade sexual em tempos variáveis em relação à administração, de maneira a determinar seu próprio intervalo ótimo de resposta. A duração do tratamento deve ocorrer a critério médico. Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico. Este medicamento não deve ser partido, aberto ou mastigado."
30,Dorflex Analgésico e Relaxante Muscular 36 Comprimidos,7891058017507,AVENTIS - OL,"Para que serve o Dorflex?Dorflex é indicado no alívio da dor associada a contraturas musculares, incluindo dor de cabeça tensional.Como usar o Dorflex?Você deve tomar os comprimidos com líquido (aproximadamente ½ a 1 copo), por via oral.Posologia1 a 2 comprimidos, 3 a 4 vezes ao dia.Não ultrapassar estes limites.Não há estudos dos efeitos de Dorflex administrado por vias não recomendadas. Portanto, por segurança e para eficácia deste medicamento, a administração deve ser somente pela via oral.Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do farmacêutico. Não desaparecendo os sintomas, procure orientação de seu médico ou cirurgião-dentista.Este medicamento não deve ser mastigado.Quando não devo usar o Dorflex?Dorflex não deve ser utilizado nos seguintes casos:alergia ou intolerância a qualquer um dos componentes da fórmula ou a analgésicos semelhantes à dipirona – derivados de pirazolonas (ex.: fenilbutazona, oxifembutazona) ou a pirazolidinas (ex.: fenilbutazona, oxifembutazona) – incluindo, por exemplo, casos anteriores de agranulocitose (diminuição acentuada na contagem de leucócitos do sangue – glóbulos brancos) em relação a um destes medicamentos;glaucoma (aumento da pressão intraocular), obstrução pilórica ou duodenal (estreitamento da passagem do conteúdo no estômago e intestino), problemas motores no esôfago (megaesôfago), úlcera péptica estenosante (estreitamento anormal), hipertrofia prostática (aumento da próstata), obstrução do colo da bexiga e miastenia grave (doença neuromuscular que causa fraqueza);porfiria hepática aguda intermitente - doença metabólica que se manifesta através de problemas na pele e/ou com complicações neurológicas (risco de ataques de porfiria);deficiência congênita da glicose-6-fosfato-desidrogenase (risco de hemólise - destruição dos glóbulos vermelhos, o que pode levar a anemia);função da medula óssea insuficiente (ex.: após tratamento que bloqueia a divisão celular) ou doenças do sistema hematopoiético (responsável pela produção das células sanguíneas);desenvolvido broncoespasmo (contração dos brônquios levando a chiado no peito) ou outras reações anafiláticas (ex.: urticária, rinite, angioedema) com medicamentos para dor, como: salicilatos, paracetamol, diclofenaco, ibuprofeno, indometacina, naproxeno;gravidez e amamentação (vide “O que devo saber antes de usar este medicamento?”).Este medicamento não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião dentista. Informe imediatamente seu médico em caso de suspeita de gravidez.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. NÃO USE ESTE MEDICAMENTO DURANTE A GRAVIDEZ E EM CRIANÇAS MENORES DE TRÊS MESES DE IDADE. DURANTE SEU USO, NÃO DIRIJA VEÍCULOS OU OPERE MÁQUINAS, POIS SUA AGILIDADE E ATENÇÃO PODEM ESTAR PREJUDICADAS."
31,Xantinon 10Comprimidos,7896006216254,NYCOMED - OL,
32,Salonpas Emplastro Pequeno 1Env 4 Unidades,7896227800799,HISAMITSU,"Salonpas Adesivo é um medicamento de aplicação tópica de cor branca a amarelo, com odor característico.Indicado para alívio de dores e inflamações nas seguintes condições: fadiga muscular, dores musculares e lombares, rigidez nos ombros, contusões, pancadas, torções, entorses, torcicolo, dores nas costas, nevralgia e dores articulares."
33,Citrato de Sildenafila 50mg 2 Comprimidos Medley,7896422525183,MEDLEY - GEN,
34,Nimesulida 100mg 12 Comprimidos Cimed,7896523212685,CIMED,"Nimesulida 100mg é destinado ao tratamento de uma variedade de condições que requeiram atividade anti-inflamatória (contra a inflamação), analgésica (contra a dor) e antipirética (contra a febre).NIMESULIDA 100MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.VENDA SOB PRESCRIÇÃO MÉDICA. MEDICAMENTO GENÉRICO – LEI N.º 9.787/99."
35,Neosaldina 20Drageas,7896094921979,HYPERMARCAS-DM,
36,Saxenda Liraglutida 6MG/ML 3X3ML - Sem Agulhas,7897705202340,NOVO NORDISK,"Para que serve o Saxenda?Saxenda é indicado em associação a uma dieta hipocalórica e aumento do exercício físico para controle crônico de peso em adultos com Índice de Massa Corporal (IMC) de:IMC de 30 kg/m2 ou maior (obesidade – muito acima do peso) ou;IMC de 27 kg/m2 ou maior (sobrepeso – acima do peso) e problemas de saúde relacionados ao peso (como diabetes, pressão arterial elevada, níveis anormais de gorduras no sangue, problemas respiratórios durante o sono chamado de apneia obstrutiva do sono). IMC (Índice de Massa Corporal) é um método de cálculo simples do seu peso em relação à sua altura.Saxenda pode ser utilizado por adolescentes acima de 12 anos e acima de 60 kg e abaixo de 18 anos com obesidade diagnosticada por um médico, em associação a dieta saudável e aumento de exercício físico.Consulte seu médico para usar Saxenda em adolescentes acima de 12 anos e acima de 60 kg e abaixo de 18 anos.Como usar o Saxenda?Sempre use Saxenda exatamente como orientado por seu médico. Você deve consultar seu médico, farmacêutico ou enfermeiro em caso de dúvida.Seu médico lhe indicará uma dieta e atividade física. Permaneça neste programa enquanto estiver utilizando Saxenda.Saxenda não deve ser utilizado em crianças e adolescentes com menos de 12 anos de idade ou em adolescentes (entre 12 e 18 anos) com peso corporal igual ou abaixo de 60 kg.Saxenda não deve ser usado se a solução não estiver límpida e incolor ou praticamente incolor.Saxenda não deve ser usado se foi congelado.Siga a orientação de seu médico, respeitando sempre os horários, as doses e a duração do tratamento. Não interrompa o tratamento sem o conhecimento do seu médico.Quando não devo usar o Saxenda?Não use Saxenda:Se você for alérgico (hipersensível) à liraglutida ou a qualquer outro componente de Saxenda (vide seção “Composição”).Se você não tiver certeza, converse com seu médico antes de utilizar Saxenda.Este medicamento é contraindicado em caso de gravidez e, se estiver planejando engravidar, o mesmo deve ser descontinuado.SAXENDA 6MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA. MEDICAMENTOS PODEM CAUSAR EFEITOS INDESEJADOS. EVITE A AUTOMEDICAÇÃO: INFORME-SE COM O FARMACÊUTICO.VENDA SOB PRESCRIÇÃO MÉDICA.PRODUTO TERMOLÁBEL. MANTER EM LOCAL RESFRIADO ENTRE 2º C E 8º C."
37,Tadalafila 5mg 30 Comprimidos Medley,7896422501651,MEDLEY - GEN,
38,Dipirona 500mg 10 Comprimidos EMS,7896004703398,EMS GENÉRICO,
39,Aciclovir 50mg Creme 10g Cimed,7896523207629,CIMED,"O aciclovir é indicado para o tratamento de infecções na pele causadas pelo vírus Herpes simplex, incluindo herpes genital e labial, seja o primeiro episódio ou episódios que se repetem.ACICLOVIR 50MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.VENDA SOB PRESCRIÇÃO MÉDICA. MEDICAMENTO GENÉRICO – LEI N.º 9.787/99."
40,Vitamina C Redoxon 200mg/ml Gotas com 20ml,7891106006286,BAYER/SCHERING - OL,"Para que serve o Redoxon?Redoxon® é indicado como suplemento vitamínico nos seguintes casos:Auxiliar do sistema imunológico;Antioxidante;Pós-cirúrgico e cicatrizante;Doenças crônicas e convalescença;Dietas restritivas e inadequadas;Como auxiliar nas anemias carenciais.Redoxon® também é indicado como suplemento vitamínico para recém nascidos, lactentes e crianças em fase de crescimento.Como usar o Redoxon?Posologia e modo de usarRecém-nascidos e prematuros1 a 3 gotas por dia.Crianças1 gota por quilo de peso por dia.As gotas podem ser tomadas com água, suco, alimentos ou ainda de acordo com orientação médica.Siga corretamente o modo de usar. Em caso de dúvidas sobre este medicamento, procure orientação do farmacêutico. Não desaparecendo os sintomas, procure orientação médica ou de seu cirurgião-dentista.Quando não devo usar o RedoxonRedoxon® é contraindicado:Para pacientes com hipersensibilidade (alergia) à susbstância ativa (ácido ascórbico) ou a qualquer um dos componentes da formulação;Para pacientes com cálculo renal (pedra nos rins) por oxalato ou com eliminação de oxalato pela urina;Para pacientes com insuficiência renal grave (deficiência do funcionamento do rim) ou falência renal. O uso de altas doses de vitamina C em pacientes cujos rins não funcionem efetivamente, pode provocar a formação de cristais e/ou pedras nos rins ou levar a insuficiência renal."
41,Indux 50Mg 10Comprimidos,7894916501408,SIGMA PHARMA OL,
