EAN,SKU,Nome,Marca,Descrição,Farmácia,Preço_sem_desconto,Preço_com_desconto,Porcentagem_desconto,Cidade,Região
7891058487096.0,6793,Novalgina 500Mg/Ml Solução Oral Com 10 Ml,NOVALGINA,Novalgina 500Mg/Ml Solução Oral Com 10 M,Farma Conde,15.65,12.83,0.18,São Paulo,Sudeste
,9942,Novalgina 1g string 10 comprimidos efervescentes,NOVALGINA,Novalgina 1G String 10 Comprimidos Efervescente,Farma Conde,99999.0,99999.0,0.0,São Paulo,Sudeste
21423529.0,12992,Novalgina 500Mg 4 Comprimidos,NOVALGINA,Novalgina 500Mg 4 Comprimido,Farma Conde,99999.0,99999.0,0.0,São Paulo,Sudeste
20149314.0,16835,Novalgina Inj 2Ml,NOVALGINA,Novalgina Inj 2M,Farma Conde,99999.0,99999.0,0.0,São Paulo,Sudeste
7898096577017.0,8308,LONCORD RETARD CAPSULAS 2X10 20MG x 20,DIFFUCAP-CHEMOBRAS,Loncord é indicado para o tratamento da pressão arterial elevada e da doença coronária (angina de esforço).LONCORD 20MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA,Farma Conde,29.72,19.69,0.34,São Paulo,Sudeste
7898096577031.0,4446,DEOCIL COMPRIMIDO SUBLINGUAL 10MG x 10,DIFFUCAP-CHEMOBRAS,"Deocil SL está indicado para o controle, em curto prazo, da dor aguda, de intensidade moderada a intensa, que necessite de potência para combatê-la equivalente à de um opioide (por exemplo, morfina), como, ocorre nos pós-operatórios, pós-parto, cirurgias menores, cólica renal, dor lombar, cólica biliar, entre outros. Deocil SL não está indicado para dor crônica (de longa duração).DEOCIL SL 10MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,43.15,27.45,0.36,São Paulo,Sudeste
7898096577840.0,6531,ARFLEX CAPSULAS RETARD 200MG x 6,DIFFUCAP-CHEMOBRAS,"Arflex Retard é indicado para doenças que requerem atividade anti-inflamatória, analgésica ou antipirética. No tratamento de estados inflamatórios acompanhado ou não por febre, inclusive relacionados à articulação. Também é indicado para o tratamento de processos inflamatórios das vias superiores, dores de cabeça, dores musculares localizadas ou não, reações pós-imunização e dor pós-operatória como, por exemplo: na retirada de amígdalas e adenoide.ARFLEX RETARD 200MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,47.89,37.84,0.21,São Paulo,Sudeste
7898096577857.0,6562,ARFLEX CAPSULAS RETARD 2X6 200MG x 12,DIFFUCAP-CHEMOBRAS,"Arflex Retard é indicado para doenças que requerem atividade anti-inflamatória, analgésica ou antipirética. No tratamento de estados inflamatórios acompanhado ou não por febre, inclusive relacionados à articulação. Também é indicado para o tratamento de processos inflamatórios das vias superiores, dores de cabeça, dores musculares localizadas ou não, reações pós-imunização e dor pós-operatória como, por exemplo: na retirada de amígdalas e adenoide.ARFLEX RETARD 200MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,90.91,68.49,0.25,São Paulo,Sudeste
7898096578458.0,5028,NYTEB COMPRIMIDO 5MG x 30,DIFFUCAP-CHEMOBRAS,Nebilet 5Mg 28 Comprimido,Farma Conde,63.78,52.3,0.18,São Paulo,Sudeste
7898096577062.0,4223,PRONAZOL CAPSULAS 150MG x 2,DIFFUCAP-CHEMOBRAS,"Pronazol® 150 mg é indicado para o tratamento de Candidíase vaginal (infecções da vagina causadas por fungos do gênero Candida) aguda e recorrente (de repetição), como profilaxia (prevenção) para reduzir a candidíase vaginal recorrente (3 ou mais episódios por ano), balanite por Candida (infecção fúngica da região conhecida popularmente como “cabeça do pênis”) e Dermatomicoses (infecções fúngicas na pele e nos seus anexos, por exemplo, unha, conhecidas popularmente como micoses) como:Tinea pedis, Tinea corporis, Tinea cruris, Tinea unguium (onicomicoses) e infecções por fungos do gênero Candida.",Farma Conde,26.96,22.11,0.18,São Paulo,Sudeste
7898096578465.0,6158,NYTEB COMPRIMIDO 5MG x 60,DIFFUCAP-CHEMOBRAS,Nebilet 5Mg 56 Comprimido,Farma Conde,122.93,100.8,0.18,São Paulo,Sudeste
7898096577567.0,3901,WINTER AP CAPSULAS 6MG x 8,DIFFUCAP-CHEMOBRAS,"Winter AP está indicado no tratamento da congestão e hipersecreção das mucosas das vias respiratórias superiores, associadas com resfriados, alergias nasais, rinites vasomotoras ou crônicas, sinusites aguda ou crônicas, otite média secretora e obstrução da tuba auditiva (trompa de Eustáquio).WINTER AP É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.",Farma Conde,37.79,30.99,0.18,São Paulo,Sudeste
7898096577024.0,8305,LONCORD RETARD CAPSULAS 2X10 40MG x 20,DIFFUCAP-CHEMOBRAS,Loncord é indicado para o tratamento da pressão arterial elevada e da doença coronária (angina de esforço).LONCORD 40MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA,Farma Conde,69.25,56.79,0.18,São Paulo,Sudeste
7898096577109.0,4872,MICONAL CAPSULAS 100MG x 15,DIFFUCAP-CHEMOBRAS,"Miconal® é indicado no tratamento de infecções fúngicas (micoses) dos olhos, boca, unhas, pele, vagina e órgãos internos.",Farma Conde,101.8,101.8,0.0,São Paulo,Sudeste
7898096577048.0,4749,MICONAL CAPSULAS 100MG x 4,DIFFUCAP-CHEMOBRAS,"Miconal® é indicado no tratamento de infecções fúngicas (micoses) dos olhos, boca, unhas, pele, vagina e órgãos internos.",Farma Conde,39.09,39.09,0.0,São Paulo,Sudeste
7896523209418.0,5152,Maleat.Dexclorf.Mg Xarope 2Mg 120 Ml (/5Ml),MALEAT.DEXCLORF,"O maleato de dexclorfeniramina é destinado para alergia, prurido, rinite alérgica, urticária, picada de inseto, conjuntivite alérgica, dermatite atópica (um tipo de inflamação na pele) e eczemas alérgicos (dermatite).",Farma Conde,21.23,9.99,0.53,São Paulo,Sudeste
7896714201498.0,6224,MALEAT.DEXCLORF.MG COMPRIMIDO 2MG x 20,MALEAT DEXCLORF,"O Maleato de Dexclorfeniramina é um antialérgico que possui uma substância que é produzida pelo próprio corpo.SE PERSISTIREM OS SINTOMAS, O MÉDICO DEVERÁ SER CONSULTADO. MALEATO DE DEXCLORFENIRAMINA É UM MEDICAMENTO. DURANTE SEU USO, NÃO DIRIJA VEÍCULOS OU OPERE MÁQUINAS, POIS SUA AGILIDADE E ATENÇÃO PODEM ESTAR PREJUDICADAS. MEDICAMENTO GENÉRICO - LEI Nº 9.787/99.",Farma Conde,15.25,8.24,0.46,São Paulo,Sudeste
7896004711287.0,6578,MALEAT.DEXCLORF.MG COMPRIMIDO 2MG x 20,MALEAT DEXCLORF,"O maleato de dexclorfeniramina + betametasona é indicado no tratamento adjuvante de doenças alérgicas do aparelho respiratório, como asma brônquica grave e rinite alérgica; nas doenças alérgicas da pele, como dermatite atópica (eczema), dermatite de contato, reações medicamentosas e doença do soro; e nas doenças alérgicas inflamatórias oculares, como ceratites (inflamações da córnea), conjuntiva (conjuntivite) e das porções internas do olho (irite não-granulomatosa, coriorretinite, iridociclite, coroidite e uveíte). Nestas doenças oculares, maleato de dexclorfeniramina + betametasona inibe a fase aguda da inflamação, contribuindo para preservar a integridade funcional do globo ocular, enquanto se realiza o tratamento da infecção ou de distúrbio por outra causa com terapia específica.MALEATO DE DEXCLORFENIRAMINA 2MG + BETAMETASONA 0,25MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,14.57,7.87,0.46,São Paulo,Sudeste
7896004720784.0,5183,Maleat.Dexclorf.Mg Creme 10Mg 30 G (/G),MALEAT DEXCLORF,O Maleato de Dexclorfeniramina 10mg Genérico Ems 30g pertence a uma classe de medicamentos conhecidos como antialérgicos (antihistamínico). Os antialérgicos ajudam a reduzir os sintomas da alergia causados por substâncias estranhas que entram em contato com nosso corpo. Não utilize o maleato de dexclorfeniramina creme dermatológico se você já teve alguma reação incomum a qualquer um dos componentes da fórmula do produto. Este medicamento é contraindicado para menores de 2 anos.,Farma Conde,15.91,8.59,0.46,São Paulo,Sudeste
7896004704999.0,4516,MALEAT.DEXCLORF.MG SOLUCAO ORAL 0.4MG 120 ML x 1 (/ML),MALEAT DEXCLORF,"Indicado para o alívio sintomático de algumas manifestações alérgicas, como urticária, angioedema, rinites vasomotoras, eczemas alérgicos, dermatite atópica, dermatite de contato, reações a drogas, a soros, a sangue, a picadas de insetos e pruridos de origem não-específica.",Farma Conde,21.75,11.75,0.46,São Paulo,Sudeste
7896714203645.0,6656,Maleat.Dexclorf.Mg Xarope 2Mg 120 Ml (/5Ml),MALEAT DEXCLORF,Maleat.Dexclorf.Mg Xarope 2Mg 120 Ml X 1 (/5Ml,Farma Conde,17.84,9.63,0.46,São Paulo,Sudeste
7896422506786.0,4545,MALEAT.DEXCLORF.MG SOLUCAO ORAL 0.4MG 120 ML x 1 (/ML),MALEAT DEXCLORF,"Maleato de Dexclorfeniramina é indicado para alergia, prurido, rinite alérgica, urticária, picada de inseto, conjuntivite alérgica, dermatite atópica (um tipo de inflamação na pele) e eczemas alérgicos (dermatite). Reduz os sintomas da alergia, prevenindo os efeitos da histamina, que é uma substância produzida pelo próprio organismo",Farma Conde,19.53,10.55,0.46,São Paulo,Sudeste
7896004720791.0,5248,Maleat.Dexclorf.Mg Creme 10Mg 30 G (/G),MALEAT DEXCLORF,Maleat.Dexclorf.Mg Creme 10Mg 30 G X 1 (/G,Farma Conde,99999.0,99999.0,0.0,São Paulo,Sudeste
7899095202054.0,15147,Male Dexclorf Geo Gen 120Ml,MALEAT DEXCLORF,Male Dexclorf Geo Gen 120M,Farma Conde,99999.0,99999.0,0.0,São Paulo,Sudeste
7896641804380.0,6677,KALOBA GOTAS 825MG 20 ML x 1 (/ML),HERBARIUM REDE,"Este medicamento é indicado para tratamento dos sintomas (tosse com catarro, tosse seca, coriza, obstrução nasal, dor de cabeça, dor de garganta, dificuldade para engolir, mal estar e indisposição) de infecções agudas do sistema respiratório, tais como resfriado, sinusite, infecção da garganta e bronquite não alérgica, principalmente aquelas causadas por vírus.KALOBA É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,97.26,79.52,0.18,São Paulo,Sudeste
7898908753141.0,6439,TRAUMEEL S COMPRIMIDO x 50,HERBARIUM REDE,Traumeel S Comprimido X 5,Farma Conde,107.73,88.34,0.18,São Paulo,Sudeste
7898908753097.0,6438,VERTIGOHEEL COMPRIMIDO SUBLINGUAL x 50,HERBARIUM REDE,Vertigoheel Comprimido Sublingual X 5,Farma Conde,84.06,68.93,0.18,São Paulo,Sudeste
7898908753172.0,6440,TRAUMEEL S POM POMADA 50 G x 1,HERBARIUM REDE,Traumeel S Pomada Bisnaga Com 50,Farma Conde,80.56,66.06,0.18,São Paulo,Sudeste
7896641804397.0,6676,KALOBA GOTAS 825MG 50 ML x 1 (/ML),HERBARIUM REDE,"Este medicamento é indicado para tratamento dos sintomas (tosse com catarro, tosse seca, coriza, obstrução nasal, dor de cabeça, dor de garganta, dificuldade para engolir, mal estar e indisposição) de infecções agudas do sistema respiratório, tais como resfriado, sinusite, infecção da garganta e bronquite não alérgica, principalmente aquelas causadas por vírus.KALOBA É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,152.52,119.99,0.21,São Paulo,Sudeste
7898908753257.0,6441,TRAUMEEL S AMPOLA 2.2 ML x 10,HERBARIUM REDE,Traumeel S Ampola 2.2 Ml X 1,Farma Conde,246.8,202.38,0.18,São Paulo,Sudeste
7898908753158.0,6442,TRAUMEEL S GOTAS 30 ML x 1,HERBARIUM REDE,Traumeel S Gotas 30 Ml X,Farma Conde,96.93,79.48,0.18,São Paulo,Sudeste
7896083410552.0,5289,COGNITUS COMPRIMIDO REVESTIDO 225MG x 60,HERBARIUM REDE,"Cognitus é indicado para o tratamento de distúrbios de memória que fazem parte do processo fisiológico do envelhecimento. O medicamento é indicado para melhora do desempenho cognitivo, como atenção e retenção da memória auditiva e verbal imediata e tardia em adultos acima de 50 anos.COGNITUS 225MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA",Farma Conde,141.22,115.57,0.18,São Paulo,Sudeste
7898908753134.0,3804,ZEEL COMPRIMIDO SUBLINGUAL x 50,HERBARIUM REDE,"Zeel é indicado nos casos de artrose, em particular gonartrose; poliartrose; espondioartrose; periartrite escapulo-humeral.",Farma Conde,69.25,56.79,0.18,São Paulo,Sudeste
7896641808227.0,3889,KALOBA COMPRIMIDO REVESTIDO 20MG x 21,HERBARIUM REDE,"Este medicamento é indicado para tratamento dos sintomas (tosse com catarro, tosse seca, coriza, obstrução nasal, dor de cabeça, dor de garganta, dificuldade para engolir, mal estar e indisposição) de infecções agudas do sistema respiratório, tais como resfriado, sinusite, infecção da garganta e bronquite não alérgica, principalmente aquelas causadas por vírus.",Farma Conde,112.53,92.27,0.18,São Paulo,Sudeste
7896083410323.0,5302,ANDROSTEN UNO COMPRIMIDO 280MG x 15,HERBARIUM REDE,Androsten Uno 280Mg Com 15 Comprimido,Farma Conde,189.71,155.56,0.18,São Paulo,Sudeste
7896641807404.0,5550,TEBONIN COMPRIMIDO REVESTIDO 120MG x 30,HERBARIUM REDE,Tebonin 120Mg Caixa Com 30 Comprimido,Farma Conde,351.34,288.1,0.18,São Paulo,Sudeste
7896641807381.0,5551,TEBONIN COMPRIMIDO REVESTIDO 80MG x 30,HERBARIUM REDE,Tebonin 80Mg Caixa Com 30 Comprimido,Farma Conde,244.47,200.47,0.18,São Paulo,Sudeste
7896083400720.0,4034,PROSTATAL CAPSULAS 160MG x 30,HERBARIUM REDE,Tratamento de hiperplasia benigna da próstata e dos sintomas associados.PROSTATAL 160MG É UM MEDICAMENTO. SEU USO PODE TRAZER RISCOS. PROCURE UM MÉDICO OU UM FARMACÊUTICO. LEIA A BULA.,Farma Conde,143.78,117.9,0.18,São Paulo,Sudeste
7898908753264.0,18127,ZEEL AMPOLA 2 ML x 10,HERBARIUM REDE,Zeel C/10 Ampola,Farma Conde,238.74,195.77,0.18,São Paulo,Sudeste
7891058016050.0,14837,CEPACOL LIQUIDO ANTISSEPTICO BUCAL TRADICIONAL LEVE 500ML PAGUE 350ML 500 ML x 1,CEPACOL,Cepacol Sol.Trad Lev500 Pg 350M,Farma Conde,16.99,13.93,0.18,São Paulo,Sudeste
7891058016043.0,14836,CEPACOL LIQUIDO ANTISSEPTICO BUCAL MENTA LEVE 500ML PAGUE 350ML 500 ML x 1,CEPACOL,Cepacol Sol Menta Leve 500 Pg 350M,Farma Conde,16.99,13.93,0.18,São Paulo,Sudeste
7891058011437.0,14248,CEPACOL LIQUIDO ANTISSEPTICO BUCAL TRADICIONAL 250 ML x 1,CEPACOL,Cepacol Sol.Trad.250M,Farma Conde,11.99,9.83,0.18,São Paulo,Sudeste
