EAN,SKU,Nome,Marca,Fabricante,Descrição,Preço_sem_desconto,Preço_com_desconto,Porcentagem_desconto,Tipo_desconto
7891317432447,1004807,MUSCULARE 5MG 15 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,"Como age o Don 5mg Eurofarma 30 Comprimidos ?Em pacientes com demência de Alzheimer participantes de estudos clínicos, a administração de doses únicas diárias de 5 mg ou 10 mg de cloridrato de donepezila provoca a inibição no estado de equilíbrio da atividade da acetilcolinesterase (medida nas membranas dos eritrócitos) de 63,6% e 77,3%, respectivamente.IndicaçõesO cloridrato de donepezila é indicado para o tratamento sintomático da demência de Alzheimer de intensidade leve, moderadamente grave e grave. O diagnóstico da demência de Alzheimer deve ser realizado de acordo com os critérios científicos aceitos, como DSM IV, ICD10.ContraindicaçõesO cloridrato de donepezila está contraindicado em pacientes com conhecida hipersensibilidade ao cloridrato de donepezila, derivados de piperidina ou qualquer excipiente usado na formulação. Não deve ser utilizado por mulheres grávidas sem orientação médica ou do cirurgião-dentista.",19.35,16.99,0.12,Normal
7891317478964,1021261,BETINA 24MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,BETINA 24MG 30 CPRS,36.74,32.99,0.1,Normal
7891317455040,1015717,DOMPERIX 10MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,DOMPERIX 10MG 30 CPRS,28.8,25.99,0.1,Normal
7891317000653,1035867,Desve 100Mg 30 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,DESVE 100MG 30 CPRS */B,86.54,81.0,0.06,Normal
7891317464905,1023141,Paco 500Mg/30Mg 24 Cprs */A2,eurofarma-laboratori,EUROFARMA LABORATORI,PACO 500MG/30MG 24 CPRS  */B,56.45,53.0,0.06,Normal
7891317443382,1004865,Amato 50Mg 60 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,"Eudok 15mg União Química 30 Cápsulasé um medicamento indicado para o tratamento e prevenção da recaída ou recorrência da depressão; transtorno do pânico, com ou sem agorafobia; transtorno de ansiedade generalizada (TAG); transtorno de ansiedade social (fobia social); transtorno obsessivo compulsivo (TOC). Eudok é um medicamento da classe dos inibidores seletivos da recaptação de serotonina (ISRS), que é uma classe do grupo dos antidepressivos. O oxalato de escitalopram age no cérebro, onde corrige as concentrações inadequadas de determinadas substâncias denominadas neurotransmissores, em especial a serotonina, que causam os sintomas na situação de doença.",113.75,95.0,0.16,Normal
7891317421526,998615,Pondera 10Mg 20 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,Buprovil 300mg Multilab 20 Comprimidos Revestidos,67.09,54.99,0.18,Normal
7891317421557,1002902,Pondera 15Mg 20 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,"Cloridrato de Loperamida 2mg Genérico Sandoz 12 Comprimidosfaz com que as fezes fiquem mais sólidas e diminui a frequência de evacuações. O cloridrato de loperamida tem seu início de ação desde a primeira tomada, ocorrendo uma redução gradual da diarreia. Estudos clínicos têm demonstrado que o início da ação da loperamida no controle da diarreia aguda ocorre dentro das primeiras 1 a 2 horas seguidas da primeira dose.",67.1,55.0,0.18,Normal
7891317455569,1010657,DUOMO 2MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,Cod Par 500mg + 30mg Supera 24 Comprimidos,40.01,32.99,0.18,Normal
7891317412531,998164,TROK-N CREME 10G,,EUROFARMA LABORATORI,"Isotretinoina 20mg Nova Química 30 Comprimidos contém em sua fórmula uma substância derivada da vitamina A – a isotretinoína. A melhora clínica da acne grave está associada à diminuição da atividade e à redução do tamanho das glândulas produtoras de sebo. O tempo médio de início de ação farmacológica com resultado clínico é variável, mas estimado entre 8 e 16 semanas.",20.61,19.99,0.03,Normal
7891317124236,1022139,HOLMES H 40MG/25MG 30 CPRS,,EUROFARMA LABORATORI,HOLMES H 40MG/25MG 30 CPRS,81.02,64.99,0.2,Normal
7891317132453,1027759,LUGANO 12MCG+250MCG 60 CAPS C/ INALADOR,,EUROFARMA LABORATORI,LUGANO 12MCG+250MCG 60 CAPS C/ INALADOR,116.36,95.0,0.18,Normal
7891317132392,1027758,LUGANO 12MCG+250MCG 60 CAPS REFIL,,EUROFARMA LABORATORI,LUGANO 12MCG+250MCG 60 CAPS REFIL,92.19,80.0,0.13,Normal
7891317465049,1024812,TAMISA 75/20MCG 21 CPRS,,EUROFARMA LABORATORI,TAMISA 75/20MCG 21 CPRS,36.22,31.99,0.12,Normal
7891317476663,1041657,Esc 10Mg 60 Cprs */C1,,EUROFARMA LABORATORI,ESC 10MG 60 CPRS */B,120.46,95.01,0.21,Normal
7891317003739,153077,TAMIRAM 500MG 10 CPRS  */A,,EUROFARMA LABORATORI,"Tamiram 500mg Eurofarma 10 Comprimidos é indicado para o tratamento de sinusite aguda bacteriana (infecção aguda por bactérias das cavidades aeradas dos ossos da face), pneumonia adquirida na comunidade (pneumonia em pessoas que não estão internadas), infecções do trato urinário (bexiga e canais onde passa a urina) complicadas e pielonefrite aguda (infecção aguda dos rins) causadas por cepas susceptíveis de bactérias, em pacientes com funcionamento normal dos rins. O uso deste medicamento é contraindicado em caso de hipersensibilidade conhecida ao levofloxacino, a outros antibióticos quinolônicos e/ou demais componentes da formulação.",166.35,145.01,0.13,Normal
7891317436148,1002958,"ASTRO PO SUSP 900MG 22,5ML  */A",,EUROFARMA LABORATORI,Lactosil tabletes é um suplemento alimentar que auxilia a digestão da lactose. A lactase auxilia a digestão da lactose presente nos alimentos. Seu consumo deve estar associado a uma alimentação equilibrada e hábitos de vida saudáveis.,74.39,66.95,0.1,Normal
7891317444952,1007528,TAMISA 75/30MCG 63 DRGS  $,,EUROFARMA LABORATORI,TAMISA 75/30MCG 63 DRGS  $,86.13,80.0,0.07,Normal
7891317191658,1027247,FORITUS 500MG 14CPRS */A,,EUROFARMA LABORATORI,FORITUS 500MG 14CPRS */A,52.23,45.0,0.14,Normal
7891317123543,1040236,ESIO 20MG 28 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,ESIO 20MG 28 CPRS,87.66,75.0,0.14,Normal
7891317000721,1036296,DEXFER GOTAS 100MG 30ML,eurofarma-laboratori,EUROFARMA LABORATORI,DEXFER GOTAS 100MG 30ML,53.93,46.99,0.13,Normal
7891317465032,1024813,TAMISA 75/20MCG 63 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,TAMISA 75/20MCG 63 CPRS,86.13,71.0,0.18,Normal
7891317443931,1017707,TAMISA 75/30MCG 28 DRGS SEM PARAR $,eurofarma-laboratori,EUROFARMA LABORATORI,TAMISA 75/30MCG 28 DRGS SEM PARAR $,47.06,44.99,0.04,Normal
7891317465650,999567,"SELENE 0,035MG/2,0MG 63 CPRS $",eurofarma-laboratori,EUROFARMA LABORATORI,"Esomeprazol 20mg Genérico EMS 28 Comprimidosé um medicamento indicado para o tratamento de doenças ácido-pépticas e alívio dos sintomas de azia, regurgitação ácida e dor epigástrica. O Esomeprazol magnésico tri-hidratado reduz a produção de ácido no seu estômago, através de um mecanismo de ação específico de inibição da bomba de prótons. Após a dose oral, o início do efeito ocorre dentro de uma hora.",69.5,56.0,0.19,Normal
7891317025540,1001366,TROK POMADA 30G,eurofarma-laboratori,EUROFARMA LABORATORI,TROK POMADA 30G,38.09,36.0,0.05,Normal
7891317445744,1001364,TROK-N POMADA 30G,eurofarma-laboratori,EUROFARMA LABORATORI,"Terolac Solução Oftalmológica 0,5% Latinofarma 5ml é uma solução oftálmica que apresenta ação anti-inflamatória e antialérgica, que começa a agir logo após a aplicação nos olhos. Este medicamento é contraindicado para pessoas que apresentam alergia a qualquer um dos componentes da sua fórmula. Para não contaminar o colírio evite o contato do conta gotas com qualquer superfície. Não permita que a ponta do frasco entre em contato direto com os olhos. O manuseio errado pode contaminar a solução oftálmica e causar infecções nos olhos. Este produto é um medicamento de uso exclusivamente tópico ocular.",39.56,36.0,0.09,Normal
7891317465667,153018,"SELENE 0,035MG/2,0MG 21 CPRS $",eurofarma-laboratori,EUROFARMA LABORATORI,"Selene  diminui a secreção excessiva das glândulas sebáceas, um dos fatores determinantes da acne e da seborreia. Com isso consegue-se, geralmente após 3 - 4 meses, êxito no tratamento das lesões acneicas e impede-se a formação de outras novas. O excesso de gordura na pele e no cabelo geralmente desaparece antes. A queda de cabelo que frequentemente acompanha a seborreia também é diminuída.",33.65,31.0,0.08,Normal
7891317025533,998163,TROK POMADA 10G,eurofarma-laboratori,EUROFARMA LABORATORI,TROK POMADA 10G,18.61,16.99,0.09,Normal
7891317003067,1046423,"TAMISA 15 0,60+0,15MG 28 CPRS",eurofarma-laboratori,EUROFARMA LABORATORI,"TAMISA 15 0,60+0,15MG 28 CPRS",27.55,21.99,0.2,Normal
7891317460495,999657,NOEX 64MCG  120 DOSES,eurofarma-laboratori,EUROFARMA LABORATORI,"Indicado para tratar a Síndrome de Ménière e a sensação de tontura, Betina 24mg Eurofarma 30 comprimidos melhora o fluxo sanguíneo no ouvido interno, diminuindo o acúmulo da pressão. O ativo dicloridrato de betaistina age nos sintomas da vertigem, no zumbido nos ouvidos e na perda ou dificuldade de audição. Algumas vezes é possível observar o resultado após algumas semanas de tratamento, mas os melhores são obtidos depois de alguns meses.",74.87,66.0,0.12,Normal
7891317489595,1020201,GINNA 40GR+7 APLI - EUR,eurofarma-laboratori,EUROFARMA LABORATORI,GINNA 40GR+7 APLI - EUR,45.36,39.99,0.12,Normal
7893189906811,998060,ASTRO 500MG 3 CPRS  */A,eurofarma-laboratori,EUROFARMA LABORATORI,ASTRO 500MG 3 CPRS  */A,23.45,20.99,0.1,Normal
7891317411923,96020,PROFLAM 100MG 12 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,"Proflam está indicado para: odontalgias, traumatismos, dores musculares (ex: lombares), dores pós-cirúrgicas (pós-episiotomia, após extração dentária), periartrite escapuloumeral, reumatismos extra-articulares. Também é eficaz no tratamento crônico de processos inflamatórios como artrite reumatoide, osteoartrite e espondilite anquilosante. É contraindicado para pacientes hipersensíveis ao aceclofenaco e/ou a qualquer componente da formulação. O aceclofenaco não deve ser administrado a pacientes hipersensíveis ao diclofenaco. Relata-se a ocorrência de reações anafiláticas graves, e algumas vezes fatais, em pacientes em tratamento com agentes anti-inflamatórios não-esteroidais.",73.12,66.0,0.1,Normal
7891317488710,1045207,"LEG XPE 0,5MG/ML 60ML",eurofarma-laboratori,EUROFARMA LABORATORI,"LEG XPE 0,5MG/ML 60ML",46.51,40.99,0.12,Normal
7891317451752,1013596,ASTRO 1500MG  SUSP 22ML */A,eurofarma-laboratori,EUROFARMA LABORATORI,ASTRO 1500MG  SUSP 22ML */A,74.39,66.95,0.1,Normal
7891317469238,1015982,SINOT CLAV 400MG+57MG 70ML  */A,eurofarma-laboratori,EUROFARMA LABORATORI,SINOT CLAV 400MG+57MG 70ML  */A,78.38,70.54,0.1,Normal
7891317024277,1046411,Prysma 2Mg 20 Cprs */B1,eurofarma-laboratori,EUROFARMA LABORATORI,PRYSMA 2MG 20 CPRS */B,84.11,76.0,0.1,Normal
7891317133948,1042477,"Pisa Lib Prolong 0,375Mg 30 Cprs */C1",eurofarma-laboratori,EUROFARMA LABORATORI,"PISA LIB PROLONG 0,375MG 30 CPRS */B",90.12,80.0,0.11,Normal
7891317485313,1023267,TAMIRAM 750MG 5 CPRS */A,eurofarma-laboratori,EUROFARMA LABORATORI,TAMIRAM 750MG 5 CPRS */A,120.33,110.01,0.09,Normal
7891317412661,96008,PROFLAM CRME 30G,eurofarma-laboratori,EUROFARMA LABORATORI,"Proflam creme é uma preparação de uso tópico (local) que contém aceclofenaco. É um medicamento que atua em processos locais dolorosos e inflamatórios pois possui potente atividade analgésica (contra a dor), anti-inflamatória (na inflamação) e antirreumática (nos reumatismos).",47.09,44.99,0.04,Normal
7891317412692,998310,ASTRO PO SUSP 600 MG  */A,eurofarma-laboratori,EUROFARMA LABORATORI,"Benalet(®) é um tratamento adjuvante (auxiliar) nos quadros de afecções das vias aéreas superiores, diminuindo a sensação de irritação na garganta, inibindo a tosse e aliviando o processo inflamatório local. A embalagem contém 4 pastilhas com 5mg de cloridrato de difenidramina, 50mg de cloreto de amônio e 10g de citrato de sódio cada",52.23,51.0,0.02,Normal
7891317432362,1004546,MUSCULARE 10MG 15 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,Suplemento Vitamínico Fixare Cálcio 60 Comprimidos,21.57,21.11,0.02,Normal
7891317421618,998792,Pondera 40Mg 20 Cprs */C1 $,eurofarma-laboratori,EUROFARMA LABORATORI,"Daivobet gel é indicado para o tratamento tópico da psoríase do couro cabeludo e para o tratamento tópico da psoríase vulgar leve a moderada no corpo. A psoríase é causada pela produção muito rápida das células da pele, causando vermelhidão, escamação e espessamento da pele.",274.54,210.02,0.24,Normal
7891317197483,1031906,Don 5Mg 30 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,DON 5MG 30 CPRS */B,92.26,72.0,0.22,Normal
7891317197506,1031905,Don 10Mg 30 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,DON 10MG 30 CPRS */B,92.26,72.0,0.22,Normal
7891317421595,1002903,Pondera 25Mg 20 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,"Atip 25mg Supera 30 Comprimidosé indicado para o tratamento da esquizofrenia, como monoterapia ou adjuvante no tratamento dos episódios de mania associados ao transtorno afetivo bipolar, dos episódios de depressão associados ao transtorno afetivo bipolar, no tratamento de manutenção do transtorno afetivo bipolar I (episódios maníaco, misto ou depressivo) em combinação com os estabilizadores de humor lítio ou valproato, e como monoterapia no tratamento de manutenção no transtorno afetivo bipolar (episódios de mania, mistos e depressivos).",137.31,110.0,0.2,Normal
7891317134334,1024938,Quet Xr 50Mg 30 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,QUET XR 50MG 30 CPRS */B,163.35,130.01,0.2,Normal
7891317017484,153052,PANTOCAL 40MG 28 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,PANTOCAL 40MG 28 CPRS,192.41,155.01,0.19,Normal
7891317124281,1022140,"HOLMES H 40MG/12,5MG 30CPRS",eurofarma-laboratori,EUROFARMA LABORATORI,"HOLMES H 40MG/12,5MG 30CPRS",81.02,64.99,0.2,Normal
7891317432461,1004547,MUSCULARE 5MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,"Com o ativo oxalato de escitalopram, Escilex 10mg EMS 60 comprimidos revestidos é indicado para o tratamento do transtorno do pânico com ou sem agorafobia, transtorno de ansiedade generalizada, transtorno de ansiedade social, transtorno obsessivo compulsivo e prevenção da recaída ou recorrência da depressão. Este medicamento é um antidepressivo que age no cérebro e pode demorar 2 semanas para que os efeitos sejam sentidos.",38.72,32.99,0.15,Normal
7891317448714,1017245,Riss 1Mg 30Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,RISS 1MG 30CPRS   */B,55.16,47.0,0.15,Normal
7891317481650,1007159,Sibus 10Mg 30 Caps */B2,eurofarma-laboratori,EUROFARMA LABORATORI,"O  Herpstal 500mg Natures Plus 42 Comprimidos Revestidos  age inibindo vários tipos de herpes-vírus: o vírus do herpes simples (VHS) dos tipos 1 e 2, o vírus varicela-zóster (VVZ), o citomegalovírus (CMV), o vírus de Epstein-Barr (VEB) e o herpes-vírus humano tipo 6 (HVH-6).  Indicações:  Herpstal é um medicamento indicado para o tratamento de herpes-zóster;  tratamento de infecções de pele e mucosa causadas por herpes simples, entre elas o herpes genital, e da recorrência (ou seja, reaparecimento) dessas doenças;  prevenção (e eliminação) da recorrência de infecções por herpes simples, entre elas o herpes genital;  tratamento de herpes labial (vesículas);  prevenção da infecção e da doença causadas por citomegalovírus em pacientes submetidos a transplante.   Contraindicações:   Este medicamento é contraindicado em casos de hipersensibilidade (alergia) a qualquer um dos componentes da fórmula.",52.36,44.99,0.14,Normal
7891317124458,1031266,PRAIVA 400G 7 CPRS */A,eurofarma-laboratori,EUROFARMA LABORATORI,PRAIVA 400G 7 CPRS */A,207.47,180.0,0.13,Normal
7891317485320,1027431,TAMIRAM 750MG 7CPRS */A,eurofarma-laboratori,EUROFARMA LABORATORI,TAMIRAM 750MG 7CPRS */A,168.56,145.01,0.14,Normal
7891317496760,1017065,PLAQ 75MG 30CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,PLAQ 75MG 30CPRS,63.83,55.0,0.14,Normal
7891317478919,1021262,BETINA 16MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,BETINA 16MG 30 CPRS,27.4,22.99,0.16,Normal
7891317013592,1057483,Venlaxin 150Mg 60Caps */C1,eurofarma-laboratori,EUROFARMA LABORATORI,VENLAXIN 150MG 60CAPS */B,257.04,220.03,0.14,Normal
7891317472375,1028213,Venlaxin 75Mg 30 Caps */C1,eurofarma-laboratori,EUROFARMA LABORATORI,VENLAXIN 75MG 30 CAPS */B,112.0,95.0,0.15,Normal
7891317472337,1028214,Venlaxin 150Mg 30Caps */C1,eurofarma-laboratori,EUROFARMA LABORATORI,VENLAXIN 150MG 30CAPS */B,158.76,135.01,0.15,Normal
7896714210018,1006381,DORALGINA 20 CPRS - NEO,neo-quimica,NEO QUIMICA,Nasojet 9mg/mL Natulab 1 Frasco com 50mL,28.11,14.99,0.47000000000000003,Normal
7896714273525,1022657,MIORRELAX 30 CPRS D,neo-quimica,NEO QUIMICA,MIORRELAX 30 CPRS D,19.38,15.5,0.2,Normal
7898947385730,1028318,SUCC METOPROLOL XR 50MG 30CPRS - ACCORD (G),neo-quimica,NEO QUIMICA,SUCC METOPROLOL XR 50MG 30CPRS - ACCORD (G),49.77,40.0,0.2,Normal
7896714223131,1027721,MESALAZINA 800MG 30 CPRS - NEO (G),neo-quimica,NEO QUIMICA,MESALAZINA 800MG 30 CPRS - NEO (G),112.97,95.91,0.15,Normal
7896714219301,1013663,HISTAMIN 2MG 20CPRS - NEO,neo-quimica,NEO QUIMICA,HISTAMIN 2MG 20CPRS - NEO,16.63,14.99,0.1,Normal
7896714230245,222111,"PROPIOSOL 0,5MG PMDA 30G -NEO",neo-quimica,NEO QUIMICA,"PROPIOSOL 0,5MG PMDA 30G -NEO",37.09,34.99,0.06,Normal
"7896714225296,00",1007648,NEOSORO H 3% SOL NASAL 60ML- NEO,neo-quimica,NEO QUIMICA,"O Betadine é indicado para pessoas com problemas de vertigem causado principalmente por labirintite e Síndrome de Ménière, caracterizada pelos sintomas: vertigem, nauseas e vômitos, perda de audição e zumbido.",28.11,24.99,0.11,Normal
7896714215204,1049402,"TOBRAMICINA 0,3% SOL OFTAL 5ML  - NEOQ (G) */A",neo-quimica,NEO QUIMICA,"TOBRAMICINA 0,3% SOL OFTAL 5ML  - NEOQ (G) */A",24.01,21.61,0.1,Normal
7896714205823,1021671,MAL ENALAPRIL 10MG 30 CPRS - NEO (G) (P),neo-quimica,NEO QUIMICA,MAL ENALAPRIL 10MG 30 CPRS - NEO (G) (P),8.78,8.78,0.0,Ausente
7896714239712,1013382,VERTIGIUM 10MG 50 CPRS    -NEO,neo-quimica,NEO QUIMICA,VERTIGIUM 10MG 50 CPRS    -NEO,14.82,14.82,0.0,Ausente
7891317477738,1015110,DEJAVU 50MG 2 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,DEJAVU 50MG 2 CPRS,33.6,33.6,0.0,Ausente
7891317006921,153024,Pondera 20Mg 20 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,PONDERA 20MG 20 CPRS      */B,94.39,84.95,0.1,Normal
7896714234564,1028414,FUROSEMIDA 40MG 30 CPRS - NEO (G),neo-quimica,NEO QUIMICA,FUROSEMIDA 40MG 30 CPRS - NEO (G),21.65,19.99,0.08,Normal
7896714201108,999237,NEO FOLICO 5mg 20 CPRS   -NEO,neo-quimica,NEO QUIMICA,"OFloxicam 200mg Neo Química 15 Cápsulasé um anti-inflamatório eficiente com propriedades analgésicas que elima a dor e reduz a febre já na primeira hora após o consumo. É indicado para o tratamento de inflamações que causam dor, vermelhidão. Sua ação combate distúrbios musco-esqueléticos, gota aguda, dor pós-operatória ou pós-traumática e até cólicas menstruais. Não é indicado para menores de 12 anos, tratar dores consequentes de cirurgia para revascurização do miocárdio, obstrução dos vasos que levam sangue para o coração.",12.88,12.88,0.0,Ausente
7896714205809,1060113,METRONIDAZOL 250MG 20CPRS - NEO (G) */A,neo-quimica,NEO QUIMICA,METRONIDAZOL 250MG 20CPRS - NEO (G) */A,14.34,12.91,0.1,Normal
7896714209456,1029467,PIROXICAM 20MG 15 CAPS - NEO (G) @,neo-quimica,NEO QUIMICA,PIROXICAM 20MG 15 CAPS - NEO (G) @,16.53,16.53,0.0,Ausente
7896714221380,1012370,CLO CIPROFLOXACINO 500MG 14CPRS - NEO(G) $  */A,neo-quimica,NEO QUIMICA,Limiar 75mg Eurofarma 30 Cápsulas,52.42,52.42,0.0,Ausente
7896714230030,1024785,"NEOCOFLAN 11,6MG GEL 60G",neo-quimica,NEO QUIMICA,"NEOCOFLAN 11,6MG GEL 60G",29.44,24.99,0.15,Normal
7896714212098,1023857,PREDNISONA 20MG 20 CPRS - NEOQ (G) @,neo-quimica,NEO QUIMICA,PREDNISONA 20MG 20 CPRS - NEOQ (G) @,48.57,34.99,0.28,Normal
7896714262031,1027692,ATENOLOL 25MG 30 CPRS - NEO (G),neo-quimica,NEO QUIMICA,ATENOLOL 25MG 30 CPRS - NEO (G),7.48,7.48,0.0,Ausente
7896714234557,1033517,FUROSEMIDA 40MG 20 CPRS - NEO(G),neo-quimica,NEO QUIMICA,FUROSEMIDA 40MG 20 CPRS - NEO(G),11.07,9.99,0.1,Normal
7896714267395,1020324,FLOXICAM 20mg 15 CPRS,neo-quimica,NEO QUIMICA,FLOXICAM 20mg 15 CPRS,17.43,14.99,0.14,Normal
7891317455606,1011664,Paco 500Mg/30Mg 12 Cprs */A2,eurofarma-laboratori,EUROFARMA LABORATORI,PACO 500MG/30MG 12 CPRS  */B,31.07,28.99,0.07,Normal
7891317029302,1052592,Antara 250Mg 30 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,ANTARA 250MG 30 CPRS */B,48.13,45.0,0.07,Normal
7891317439033,1004465,MELOCOX 15MG  10 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,"Diost Myralis 30 Comprimidoscontém hormônio (dienogeste) para o tratamento dos sintomas dolorosos das lesões da endometriose (migração e crescimento do tecido da parede interna do útero fora da cavidade uterina). A ingestão de um comprimido por dia de Diost leva à redução do tecido afetado (endométrio) e diminui os sintomas associados, como por exemplo, dor pélvica e sangramentos menstruais dolorosos.",47.96,45.0,0.06,Normal
7891317005191,1052585,SUBTRAX 800MG+160MG 10 CPRS */A,eurofarma-laboratori,EUROFARMA LABORATORI,SUBTRAX 800MG+160MG 10 CPRS */A,24.87,22.99,0.08,Normal
7891317421748,1010974,SINOT CLAV 875MG+125MG 14CPRS  */A,eurofarma-laboratori,EUROFARMA LABORATORI,Clazi XR 30mg Brace Pharma 30 Cápsulas,113.95,105.01,0.08,Normal
7891317477172,1019973,PIEMONTE 5MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,PIEMONTE 5MG 30 CPRS,70.5,66.0,0.06,Normal
7898146826867,1021650,"STUB 0,4MG 30 CAPS",eurofarma-laboratori,EUROFARMA LABORATORI,"STUB 0,4MG 30 CAPS",132.64,125.0,0.06,Normal
7891317477202,1019972,PIEMONTE 4MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,PIEMONTE 4MG 30 CPRS,70.5,66.0,0.06,Normal
7891317007232,1054273,Desve 100Mg 60 Cprs */C1,eurofarma-laboratori,EUROFARMA LABORATORI,DESVE 100MG 60 CPRS */B,151.43,145.01,0.04,Normal
7891317140885,1028653,PIEMONTE 10MG 30 CPRS,eurofarma-laboratori,EUROFARMA LABORATORI,PIEMONTE 10MG 30 CPRS,70.5,66.0,0.06,Normal
7896714270104,222097,NEOSORO SOL ADULTO 30ML-NEO,neo-quimica,NEO QUIMICA,"Neosoro é indicado no tratamento da congestão nasal (obstrução nasal) para o alívio dos sintomas em resfriados, quadros alérgicos nasais, rinites e rinossinusites.",11.4,8.99,0.21,Normal
7896714226705,1027701,CITRATO SILDENAFILA 50MG 4CPRS - NEOQ (G),neo-quimica,NEO QUIMICA,CITRATO SILDENAFILA 50MG 4CPRS - NEOQ (G),32.7,5.99,0.8200000000000001,Normal
7896714218267,1015159,TORSILAX 12CPRS - NEO,neo-quimica,NEO QUIMICA,"Sensaz 15mg 30 Comprimidosé um medicamento indicado para o tratamento de esquizofrenia, transtorno bipolar e para manutenção clínica de episódios de mania associados ao transtorno bipolar do tipo I.Contraindicações:Este medicamento é contraindicações:",16.35,9.99,0.39,Normal
7896714211978,1019441,HIDROCLOROTIAZIDA 25MG 30CPRS - NEOQ(G) @,neo-quimica,NEO QUIMICA,HIDROCLOROTIAZIDA 25MG 30CPRS - NEOQ(G) @,4.08,4.08,0.0,Ausente
7896714224459,1019459,COLIRIO NEO BRASIL 20ML,neo-quimica,NEO QUIMICA,COLIRIO NEO BRASIL 20ML,16.5,14.99,0.09,Normal
