SKU,Marca,Nome,Categoria,produto_id,valor_ini,valor_fim,perc_desc,tipo_desc
512732,BIOSINTETICA,Totti 10MG 20Comprimidos,ANALGÉSICOS E ANTITÉRMICOS,512732,70.66,70.66,,
510895,,Benegrip Multi Febre E Dor Gotas 15ML,GRIPE E RESFRIADO,510895,19.98,15.99,19.97,dePorValor
504744,,Benegrip Imuno Energy 10Comprimidos Efervecente,GRIPE E RESFRIADO,504744,21.02,19.34,7.99,dePorValor
511088,VICK,Vick Mel Xarope 100ML,GRIPE E RESFRIADO,511088,36.01,35.29,2.00,dePorValor
510694,HERBARIUM,Traumeel S Arnica 15MG Gotas 30ML,ANALGÉSICOS E ANTITÉRMICOS,510694,87.32,87.32,,
16845,SANOFI AVENTIS,Novalgina Supositorio 5 Unidades,ANALGÉSICOS E ANTITÉRMICOS,16845,19.27,15.36,20.29,dePorValor
19038,TAKEDA,Neosaldina Gotas 15Ml,ANALGÉSICOS E ANTITÉRMICOS,19038,39.98,38.15,4.58,dePorValor
61891,BAYER,Gyno Icaden 1 Ovulo,MICOSES E FUNGOS,61891,109.54,96.40,12.00,dePorValor
256986,APSEN,Retemic Ud 10Mg 30Comprimidos,ANALGÉSICOS E ANTITÉRMICOS,256986,129.54,102.34,21.00,dePorValor
284580,ALLERGAN,"Relestat 0,05% Colírio 5Ml",ALERGIA E INFECÇÕES,284580,78.89,67.06,15.00,dePorValor
244708,EMS ,Cetoconazol Creme 30G,MICOSES E FUNGOS,244708,26.01,14.10,45.79,dePorValor
58475,JANSSEN,Sporanox 4Capsulas,MICOSES E FUNGOS,58475,117.98,103.82,12.00,dePorValor
341353,APSEN,"Moment Creme 0,075% 50G",ANALGÉSICOS E ANTITÉRMICOS,341353,108.49,92.22,15.00,dePorValor
402716,LEGRAND,Ibuflex 400Mg 8Capsulas,ANALGÉSICOS E ANTITÉRMICOS,402716,25.07,12.51,50.10,dePorValor
505099,GENOM,"Clilon 0,4 Colírio 5Ml",ANTIINFLAMATÓRIO OLHOS E OUVIDOS,505099,39.63,34.87,12.01,dePorValor
363178,GERMED,Bimatoprosta Colirio 3ml,INFECÇÃO OLHOS E OUVIDOS,363178,114.92,86.19,25.00,dePorValor
386135,GERMED,Dorzolamida 2% Colirio 5ml,INFECÇÃO OLHOS E OUVIDOS,386135,72.54,54.41,24.99,dePorValor
229202,GENOM,Cetrolac Colírio 5Ml,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,229202,65.20,60.02,7.94,dePorValor
292540,ALLERGAN,Acular Ls Colírio 10Ml,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,292540,143.32,123.11,14.10,dePorValor
505100,GENOM,"Clilon 0,5 Colírio 5Ml",ANTIINFLAMATÓRIO OLHOS E OUVIDOS,505100,48.66,42.82,12.00,dePorValor
423840,MEDLEY,Bimatoprosta Colirio 3ml,INFECÇÃO OLHOS E OUVIDOS,423840,97.23,61.83,36.41,dePorValor
507490,MEDLEY,Bimatoprosta Colirio 5ml,INFECÇÃO OLHOS E OUVIDOS,507490,132.84,92.99,30.00,dePorValor
184527,ALLERGAN,Colirio Lumigan Solução Oftálmica Estéril 3ML,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,184527,189.80,159.43,16.00,dePorValor
500087,MOMENTA,Percoide 40mg 7 Comprimidos,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,500087,61.63,52.39,14.99,dePorValor
500089,MOMENTA,Percoide 5mg 20 Comprimidos,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,500089,20.90,17.77,14.98,dePorValor
500088,MOMENTA,Percoide 20mg 10 Comprimidos,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,500088,27.01,22.96,14.99,dePorValor
226165,CRISTALIA,Oftpred 5ML Solução,INFECÇÃO OLHOS E OUVIDOS,226165,52.22,45.98,11.95,dePorValor
470180,EMS ,Dorzolamida 2% Colirio 5ml,INFECÇÃO OLHOS E OUVIDOS,470180,70.73,37.72,46.67,dePorValor
225991,LATINOFARMA,"Maxilerg 0,1% Colírio 5Ml",ANTIINFLAMATÓRIO OLHOS E OUVIDOS,225991,39.83,33.46,15.99,dePorValor
289175,ALLERGAN,Colirio Lumigan  5ML Solução Oftálmica Estéril Gotas 5Ml,INFECÇÃO OLHOS E OUVIDOS,289175,284.76,239.20,16.00,dePorValor
340515,NEO QUIMICA,Tart Brimonidina Solução Oftalmica 2MG 5ML,INFECÇÃO OLHOS E OUVIDOS,340515,69.27,51.96,24.99,dePorValor
368956,OFTA VISION HEALTH,"Glamigan 0,3+5MG/ML Solução Oftálmica 3ML",INFECÇÃO OLHOS E OUVIDOS,368956,111.62,89.30,20.00,dePorValor
503126,BIOLAB LIB,Otiblock Spray 45ML,INFECÇÃO OLHOS E OUVIDOS,503126,80.09,77.53,3.20,dePorValor
422658,OFTA VISION HEALTH,"Latonan 0,05MG + 5MG Solução Oftálmica Com 2,5ML",INFECÇÃO OLHOS E OUVIDOS,422658,201.39,189.31,6.00,dePorValor
434160,ALCON,Duo Travatan Bak Free Colírio 5ml,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,434160,365.12,321.31,12.00,dePorValor
425172,ALCON,"Travatan Bak Free 0,4mg/ml 5ml",INFECÇÃO OLHOS E OUVIDOS,425172,351.06,294.89,16.00,dePorValor
503282,LATINOFARMA,Plenigell Solucao Oftalmica 5ML,INFECÇÃO OLHOS E OUVIDOS,503282,29.23,27.94,4.41,dePorValor
505854,GENOM,Teroquatro Colírio 5Ml,ANTIINFLAMATÓRIO OLHOS E OUVIDOS,505854,43.59,37.05,15.00,dePorValor
376091,BIOSINTETICA,Hemax Eritron 4000UI Injetavel Intravenoso Ou Subcutaneo,ONCOLOGIA,376091,243.21,73.81,69.65,dePorValor
327036,BIOLAB LIB,Hidratante Corporal Para Gestantes Materskin 200G,POLIVITAMÍNICOS,327036,148.84,128.72,13.52,dePorValor
510951,EMS ,Complexo B12 Xarope120ml,POLIVITAMÍNICOS,510951,38.18,36.27,5.00,dePorValor
304867,BALDACCI,Metadoxil 500Mg 30Comprimidos,HEPATOPROTETOR,304867,71.61,61.90,13.56,dePorValor
417157,ACHE,Dayvit Kids Suspensão 120Ml,POLIVITAMÍNICOS,417157,64.99,49.23,24.25,dePorValor
329751,MERCK,Levotiroxina Sodica 112Mcg 30Comprimidos,TIREOIDE,329751,19.27,10.80,43.95,dePorValor
505548,EMS ,Sitol Com 30 Sachês Ache,ANEMIA,505548,163.94,160.99,1.80,dePorValor
322776,MERCK,Levotiroxina Sodica 150Mcg 30Comprimidos,TIREOIDE,322776,15.48,9.69,37.40,dePorValor
509032,DIVCOM,Eximia Fortalize S 90 Comprimidos,POLIVITAMÍNICOS,509032,350.99,324.56,7.53,dePorValor
14680,,Droxaine Suspensão 240ml,ANTIÁCIDOS,14680,42.90,37.75,12.00,dePorValor
360457,MYRALIS,Puravit Multi 120Ml,POLIVITAMÍNICOS,360457,56.90,55.90,1.76,dePorValor
510912,MARJAN,Caldê Max 30Comprimidos,OSTEOPOROSE,510912,166.54,163.54,1.80,dePorValor
2950,EPOCLER,Epocler Flaconete 10ML Abacaxi,HEPATOPROTETOR,2950,3.87,3.63,6.20,dePorValor
510967,SUPRA ERVAS,Hidract Uva 450Ml,REIDRATANTES,510967,23.68,18.23,23.02,dePorValor
237400,FARMASA,Peridal 10Mg 60Comprimidos,NAUSEAS,237400,49.79,42.99,13.66,dePorValor
146374,MEDLEY,Puran T4 25Mcg 30Comprimidos,TIREOIDE,146374,17.20,14.29,16.92,dePorValor
26972,BAYER,Beneroc 100 Drageas,POLIVITAMÍNICOS,26972,42.79,37.66,11.99,dePorValor
396265,SANDOZ,Simeticona Sandoz 125Mg 10Capsulas,ANTIGASES,396265,15.79,13.42,15.01,dePorValor
512803,EPATIVAN,Ressaliv 1 Flaconete 10ML Abacaxi,HEPATOPROTETOR,512803,1.19,1.19,,
503127,BIOLAB,Esthep 800MG 30 Capsulas,POLIVITAMÍNICOS,503127,96.79,93.91,2.98,dePorValor
146420,MERCK,Euthyrox 25Mcg 50Comprimidos,TIREOIDE,146420,36.00,30.30,15.83,dePorValor
117056,GASTROL,Gastrol 20 Pastilhas,ANTIÁCIDOS,117056,19.68,16.20,17.68,dePorValor
180467,MEDLEY,Puran T4 175Mcg 30Comprimidos,TIREOIDE,180467,32.28,31.28,3.10,dePorValor
505673,BIOLAB LIB,Areds 60Comprimidos,OSTEOPOROSE,505673,115.84,104.26,10.00,dePorValor
111805,TAKEDA,Noripurum 30Comprimidos,ANEMIA,111805,71.12,58.17,18.21,dePorValor
146404,MEDLEY,Puran T4 150Mcg 30Comprimidos,TIREOIDE,146404,25.52,25.02,1.96,dePorValor
173037,ASPEN PHARMA,Leite Magnesia Phillips 120Ml Hortelã,ANTIÁCIDOS,173037,14.90,14.90,,
510290,BIOLAB,Pantogar Resist Silicio 10G 30Saches,POLIVITAMÍNICOS,510290,233.85,197.00,15.76,dePorValor
373125,JANSSEN,Resolor 2Mg 28Comprimidos,LAXANTES,373125,363.53,290.82,20.00,dePorValor
509471,BRACEPHARMA,"Sigmatriol 0,25MCG 90Capsulas Mole",OSTEOPOROSE,509471,430.80,316.94,26.43,dePorValor
326313,MARJAN,Magnen B6 30Comprimidos,POLIVITAMÍNICOS,326313,116.48,92.92,20.23,dePorValor
263125,MOMENTA,Emama 400Mg 30Capsulas,POLIVITAMÍNICOS,263125,47.10,41.45,12.00,dePorValor
441958,BORG,Borg Magnesio Pa 60Capsulas,POLIVITAMÍNICOS,441958,54.90,49.41,10.00,dePorValor
468584,EMS ,Restitue 40Mg 30Comprimidos Revestidos,HEPATOPROTETOR,468584,72.10,62.73,13.00,dePorValor
311243,FARMOQUIMICA,Calcitran D3 400UI 60Comprimidos,OSTEOPOROSE,311243,89.11,82.28,7.66,dePorValor
271560,APSEN,MECLIN 50MG 15COMPRIMIDOS,NAUSEAS,271560,50.84,47.97,5.65,dePorValor
17973,JANSSEN,Imosec 12Comprimidos,DIARREIA,17973,11.66,10.47,10.21,dePorValor
322784,MERCK,Levotiroxina Sodica 200Mcg 30Comprimidos,TIREOIDE,322784,33.80,17.42,48.46,dePorValor
392046,CENTRUM,Centrum FG 150 Comprimidos,POLIVITAMÍNICOS,392046,238.55,209.92,12.00,dePorValor
184500,EMS ,Gerovital 60Capsulas,POLIVITAMÍNICOS,184500,99.90,69.89,30.04,dePorValor
445688,HERBARIUM,Cran-B CR 30 Saches,POLIVITAMÍNICOS,445688,171.99,171.99,,
291218,HYPERA,Pepsamar 50Comprimidos,ANTIÁCIDOS,291218,35.49,27.34,22.96,dePorValor
405963,MEDLEY,"Puran T4 37,5Mcg 30Comprimidos",TIREOIDE,405963,10.88,10.38,4.60,dePorValor
510281,MEDLEY,Ondansetrona 8Mg 10Comprimidos,NAUSEAS,510281,45.94,32.72,28.78,dePorValor
374930,APIS FLORA,Guaraflora Extra Forte 4 capsulas,POLIVITAMÍNICOS,374930,5.99,5.99,,
501322,BIOLAB,Nautex 8Mg 10Cpr,NAUSEAS,501322,64.03,54.43,14.99,dePorValor
279242,SUPERA,Phosfoenema 130Ml,LAXANTES,279242,19.47,17.89,8.12,dePorValor
356503,MOMENTA,Teina 10Mg 30Comprimidos,POLIVITAMÍNICOS,356503,179.99,158.39,12.00,dePorValor
408403,EMS ,Domperidona 10MG 60Comprimidos,NAUSEAS,408403,39.90,38.90,2.51,dePorValor
503632,UQ GENOM,Cognix 60 Capsulas,POLIVITAMÍNICOS,503632,129.90,117.79,9.32,dePorValor
357671,TAKEDA,Dramin 25Mg Caixa 10Capsulas,NAUSEAS,357671,19.73,18.32,7.15,dePorValor
511970,BIOLAB,AtivB 1000MCG 30Comprimidos,POLIVITAMÍNICOS,511970,89.48,89.48,,
406361,CRISTALIA,Tacita 30Comprimidos,POLIVITAMÍNICOS,406361,108.10,95.13,12.00,dePorValor
367959,TAKEDA,Dramin 50Mg Caixa 10Capsulas,NAUSEAS,367959,19.73,18.27,7.40,dePorValor
34061,ASPEN PHARMA,Leite Magnesia Phillips 350Ml Tradicional,ANTIÁCIDOS,34061,30.79,27.50,10.69,dePorValor
383842,GROSS,Adeforte 60 Capsulas,POLIVITAMÍNICOS,383842,42.10,39.81,5.44,dePorValor
399622,FARMAX,Sal Amargo Farmax 30G,LAXANTES,399622,3.25,3.25,,
121096,,Caltrate D 60Comprimidos,OSTEOPOROSE,121096,130.00,109.20,16.00,dePorValor
324060,MERCK,Euthyrox 88Mcg 50Comprimidos,TIREOIDE,324060,41.63,33.85,18.69,dePorValor
511761,APSEN,Meclin Jet 25MG 10Comprimidos Mastigáveis,NAUSEAS,511761,17.81,17.81,,
164771,MEDLEY,Puran T4 125Mcg 30Comprimidos,TIREOIDE,164771,23.79,23.29,2.10,dePorValor
411837,ZAMBON,Ursacol 150Mg 30Comprimidos,HEPATOPROTETOR,411837,155.07,127.16,18.00,dePorValor
501100,APSEN,Probians 30 Capsulas,POLIVITAMÍNICOS,501100,114.63,98.77,13.84,dePorValor
391441,MARJAN,Normaten Fit 10 Saches 10g,LAXANTES,391441,57.90,50.95,12.00,dePorValor
261432,EMS ,Simeticona 125Mg 10Capsulas,ANTIGASES,261432,21.61,10.59,50.99,dePorValor
290211,ACHE,Levoid 88Mcg 30Comprimidos,TIREOIDE,290211,25.42,22.70,10.70,dePorValor
441946,BORG,Borg Calcio Vitamina K Vitamina D Magnesio 60Cap,POLIVITAMÍNICOS,441946,99.90,69.90,30.03,dePorValor
268941,UNIAO QUIMICA,Bisalax 20Drageas,LAXANTES,268941,8.50,7.23,14.94,dePorValor
310093,MEDLEY,Simeticona 40mg 20 Comprimidos,ANTIGASES,310093,10.81,10.69,1.11,dePorValor
511235,HERBAMED,Flexigold 40MG Special Pack 30+30 Grátis Herbamed*,POLIVITAMÍNICOS,511235,47.90,38.92,18.75,dePorValor
283240,BIOLAB,Pantogar 30Capsulas,POLIVITAMÍNICOS,283240,108.46,88.94,18.00,dePorValor
508699,HL CAPS,Kioto Super Vitaminas A a Z E Minerais 60Capsulas,POLIVITAMÍNICOS,508699,109.14,108.14,0.92,dePorValor
290041,MARJAN,Endofolin 5Mg 30Comprimidos,ANEMIA,290041,44.99,38.24,15.00,dePorValor
326860,TAKEDA,Dramin B6 30Comprimidos,NAUSEAS,326860,24.29,21.31,12.27,dePorValor
102610,GROSS,Adefort 1 Ampola 3Ml,POLIVITAMÍNICOS,102610,25.76,24.27,5.78,dePorValor
415555,MYRALIS,Unizinco Solução 100Ml,POLIVITAMÍNICOS,415555,33.07,29.10,12.00,dePorValor
13145,MEDLEY,Digesan Gotas 20Ml,NAUSEAS,13145,45.26,39.83,12.00,dePorValor
509520,ASSIFLORA,Supra Spector Xarope 150ML,POLIVITAMÍNICOS,509520,24.90,17.99,27.75,dePorValor
147761,LUFTAL,Luftal Gotas 15ML,ANTIGASES,147761,29.99,26.36,12.10,dePorValor
104620,BALDACCI,Pidomag Flac 12 Flaconetes 10ML,POLIVITAMÍNICOS,104620,83.78,75.40,10.00,dePorValor
509140,BAYER,Preservit 60 Capsulas,POLIVITAMÍNICOS,509140,100.44,100.44,,
15717,GLAXO,Slow-K  20Drageas,POLIVITAMÍNICOS,15717,17.87,16.58,7.22,dePorValor
430062,LAVITAN,Lavitan A-Z 60 Comprimidos Revestidos,POLIVITAMÍNICOS,430062,39.91,19.90,50.14,dePorValor
146455,MERCK,Euthyrox 100Mcg 50Comprimidos,TIREOIDE,146455,47.07,37.42,20.50,dePorValor
438426,LUFTAL,Luftal Gotas 30ML,ANTIGASES,438426,55.90,51.37,8.10,dePorValor
260347,MANTECORP,Eparema Flaconete Hortelã Tradicional 10ML,HEPATOPROTETOR,260347,4.28,4.19,2.10,dePorValor
457066,,Ferrovitan Com Colina 60Ml,ANEMIA,457066,65.90,57.99,12.00,dePorValor
285340,EMS ,Risedross 35Mg 4Comprimidos,OSTEOPOROSE,285340,74.03,52.32,29.33,dePorValor
416393,ACHE,Avide 100Mg 9Capsulas,DIARREIA,416393,52.91,44.98,14.99,dePorValor
468449,MOMENTA,Forfig 200Mg 60 capsulas,HEPATOPROTETOR,468449,189.73,166.87,12.05,dePorValor
34894,TAKEDA,Xantinon 12 Flaconetes,HEPATOPROTETOR,34894,34.79,30.62,11.99,dePorValor
312983,BAGO,Tiorfan 30Mg 18 Saches,DIARREIA,312983,61.99,53.00,14.50,dePorValor
351495,NATULAB,Hidraplex Po Agua de Coco 4Env,REIDRATANTES,351495,16.85,16.68,1.01,dePorValor
344540,MOMENTA,Forfig 200Mg 20Capsulas,HEPATOPROTETOR,344540,137.00,111.01,18.97,dePorValor
256021,EMS ,Simeticona 75Mg/Ml Gotas 15Ml,ANTIGASES,256021,17.65,8.69,50.76,dePorValor
184349,EMS ,Bromoprida 4Mg/Ml Gotas 20Ml,NAUSEAS,184349,19.73,8.06,59.15,dePorValor
290130,ACHE,Levoid 112Mcg 30Comprimidos,TIREOIDE,290130,32.09,29.22,8.94,dePorValor
447425,NATULAB,Hidralyte 45 Agua de Coco 500Ml,REIDRATANTES,447425,23.68,18.93,20.06,dePorValor
503069,SANOFI AVENTIS,Mobility Oscal D 500Mg/1000Ui 60Comprimidos,OSTEOPOROSE,503069,129.90,116.91,10.00,dePorValor
150967,BAGO,Tiorfan 100Mg 9Capsulas,DIARREIA,150967,53.57,45.40,15.25,dePorValor
164070,ACHE,Flagass 75Mg/Ml Gotas 10Ml,ANTIGASES,164070,25.31,22.27,12.01,dePorValor
509793,POLINIZE,Floral Therapi Chora Nao 30ml,POLIVITAMÍNICOS,509793,29.90,23.92,20.00,dePorValor
509483,EQUALIV,Equaliv Body Protein 440G Sabor Vanilla,POLIVITAMÍNICOS,509483,249.90,249.90,,
509965,SANOFI AVENTIS,Mobility OS-Cal D 500MG+400UI 60Comprimidos Revestidos,POLIVITAMÍNICOS,509965,105.99,105.99,,
146390,MEDLEY,Puran T4 75Mg 30Comprimidos,TIREOIDE,146390,20.76,20.05,3.42,dePorValor
506877,FEMIBION,Femibion 2 28 Comprimidos,POLIVITAMÍNICOS,506877,119.90,108.99,9.10,dePorValor
502652,POLINIZE,Floral Therapi Fasenova 30ml,POLIVITAMÍNICOS,502652,29.90,23.92,20.00,dePorValor
511765,APSEN,Meclin Jet 50MG 10Comprimidos Mastigáveis,NAUSEAS,511765,32.11,32.11,,
504983,MEDLEY,Flatulon 125mg 15 Capsulas,ANTIGASES,504983,17.34,8.67,50.00,dePorValor
20338,LIBBS,Plamet 20Comprimidos,NAUSEAS,20338,49.74,40.79,17.99,dePorValor
509484,SUPORT,Creatina Suport 100% Pura 100G,POLIVITAMÍNICOS,509484,49.00,49.00,,
468390,ACHE,Steaton 200Mg 30Capsulas,HEPATOPROTETOR,468390,111.55,98.15,12.01,dePorValor
509507,MARJAN,Calde MDK 2000UI 90Comprimidos,POLIVITAMÍNICOS,509507,206.16,175.24,15.00,dePorValor
500657,LUFTAL,Luftal Gel 125MG 20Capsulas Gelatinosas,ANTIGASES,500657,51.90,45.65,12.04,dePorValor
282855,ASPEN PHARMA,Magnesia Bissurada 10 Pastilhas,ANTIÁCIDOS,282855,10.51,10.37,1.33,dePorValor
508838,TEUTO,Ferronil 40MG 50Comprimidos Revestido,ANEMIA,508838,17.90,13.49,24.64,dePorValor
505088,ZAMBON,Fisiogen Ferro Forte 30 Capsulas,POLIVITAMÍNICOS,505088,136.34,129.52,5.00,dePorValor
509815,POLINIZE,Floral Therapi Medo Noite 30ml,POLIVITAMÍNICOS,509815,29.90,23.92,20.00,dePorValor
270997,BIOLAB,Vonau Flash 8Mg 10Comprimidos,NAUSEAS,270997,89.74,70.49,21.45,dePorValor
509803,POLINIZE,Floral Therapi Eu Desculpo 30ml,POLIVITAMÍNICOS,509803,29.90,23.92,20.00,dePorValor
34134,HYPERA,Pepsamar 10Comprimidos,ANTIÁCIDOS,34134,7.19,6.43,10.57,dePorValor
509795,POLINIZE,Floral Therapi Deu Saudade 30ml,POLIVITAMÍNICOS,509795,29.90,23.92,20.00,dePorValor
509805,POLINIZE,Floral Therapi Preocupa Não 30ML,POLIVITAMÍNICOS,509805,34.90,27.92,20.00,dePorValor
503379,MYRALIS,Folagest 400MCG 45 Comprimidos,POLIVITAMÍNICOS,503379,58.90,58.90,,
505911,MYRALIS,"Peg-Lax Lachante Sem Sabor Solução Oral 14 Envelope 8,75G Cada",LAXANTES,505911,36.50,31.70,13.15,dePorValor
371890,EMS ,Domperidona 10Mg 30Comprimidos,NAUSEAS,371890,21.04,9.48,54.94,dePorValor
503571,BESINS HEALTHCARE,Ogestan Gold 30Capsulas,POLIVITAMÍNICOS,503571,152.99,119.99,21.57,dePorValor
509512,GLAXO,Centrum Energia Corpo E Mente 60 Comprimidos,POLIVITAMÍNICOS,509512,89.90,87.65,2.50,dePorValor
202835,MEDLEY,Simeticona 75Mg/Ml Gotas 15Ml,ANTIGASES,202835,15.93,12.59,20.97,dePorValor
510464,SANOFI AVENTIS,Dulcolax Gotas 30Ml,LAXANTES,510464,33.99,32.99,2.94,dePorValor
404490,CENTRUM,Centrum Select Mulher 30Comprimidos,POLIVITAMÍNICOS,404490,109.90,95.03,13.53,dePorValor
510449,EMS ,Condres Performa 30 Saches,POLIVITAMÍNICOS,510449,206.00,206.00,,
376127,,Domperidona 10Mg 30Comprimidos,NAUSEAS,376127,21.07,18.69,11.30,dePorValor
310484,GROSS,Adeforte Gotas 15Ml,POLIVITAMÍNICOS,310484,95.18,85.66,10.00,dePorValor
511958,GLOSS,Milde 50 000UI C/4Capsulas,POLIVITAMÍNICOS,511958,46.50,46.50,,
360433,MYRALIS,Myrafer Gotas 30Ml,ANEMIA,360433,51.45,45.88,10.83,dePorValor
342814,TAKEDA,Dramin B6 Gotas 30Ml,NAUSEAS,342814,23.17,22.17,4.32,dePorValor
349815,,Domperix 10Mg 30Comprimidos,NAUSEAS,349815,29.20,26.29,9.97,dePorValor
500057,EMS ,Condres Ultra 90 Capsulas,POLIVITAMÍNICOS,500057,341.35,240.82,29.45,dePorValor
504896,,Suplemento Alimentar Fortice com 30 Cps,POLIVITAMÍNICOS,504896,179.99,161.99,10.00,dePorValor
322725,MERCK,Levotiroxina Sodica 25Mcg 30Comprimidos,TIREOIDE,322725,10.40,6.09,41.44,dePorValor
369220,LACTO PURGA,Lacto Purga 16Comprimidos,LAXANTES,369220,12.40,12.06,2.74,dePorValor
79111,SUPERA,Rehidrat 50 Natural 4Env,REIDRATANTES,79111,34.65,30.89,10.85,dePorValor
504253,MARJAN,Dozemast 1000Mcg 90Comprimidos Sublinguais,POLIVITAMÍNICOS,504253,245.17,181.11,26.13,dePorValor
417096,MEDLEY,Baristar 30 Capsulas,POLIVITAMÍNICOS,417096,58.30,46.39,20.43,dePorValor
452779,EQUALIV,Equaliv Reinforce Cabelos/Unhas 30Capsulas,POLIVITAMÍNICOS,452779,89.90,89.90,,
88862,MARJAN,Vitergan Zinco Plus 30Comprimidos,POLIVITAMÍNICOS,88862,110.93,86.08,22.40,dePorValor
446709,MOMENTA,Quelatus Bari 60Comprimidos,POLIVITAMÍNICOS,446709,157.99,144.07,8.81,dePorValor
98744,MARJAN,Vitergan Zinco 30Comprimidos,POLIVITAMÍNICOS,98744,98.16,82.45,16.00,dePorValor
452780,EQUALIV,Equaliv Colageno Hidrolisado 30Saches,POLIVITAMÍNICOS,452780,159.00,159.00,,
164372,BIOLAB LIB,Revitan Junior 120Ml,POLIVITAMÍNICOS,164372,58.09,32.96,43.26,dePorValor
452890,EQUALIV,Equaliv Body Protein 450g Sabor Neutro,POLIVITAMÍNICOS,452890,219.90,219.90,,
500369,MYRALIS,Dprev 5.000UI 30 Capsulas Moles,POLIVITAMÍNICOS,500369,87.41,78.67,10.00,dePorValor
149608,SUPERA,Rehidrat Laranja 4Env,REIDRATANTES,149608,33.95,30.58,9.93,dePorValor
468865,EXELTIS,Regenesis Pre 30 Capsulas Moles,POLIVITAMÍNICOS,468865,98.90,98.90,,
389296,MARJAN,Barivit 60 Comprimidos Mastigavel Sabor Menta,POLIVITAMÍNICOS,389296,112.90,107.49,4.79,dePorValor
453300,TAKEDA,Dramin 50Mg Cartela 10Capsulas Gel,NAUSEAS,453300,18.05,17.51,2.99,dePorValor
439044,EMS ,Fixare 60 Comprimidos,OSTEOPOROSE,439044,175.32,161.70,7.77,dePorValor
509827,POLINIZE,Floral Therapi Focus 30ML,POLIVITAMÍNICOS,509827,29.90,23.92,20.00,dePorValor
509029,BIOLAB LIB,Fly 250mg 10Capsulas Gelatinosas,ANTIGASES,509029,30.35,27.92,8.01,dePorValor
509964,SANOFI AVENTIS,Mobility OS-Cal 500MG 60Comprimidos,POLIVITAMÍNICOS,509964,84.99,84.99,,
509801,POLINIZE,Floral Therapi Fase Femme 30ML,POLIVITAMÍNICOS,509801,29.90,23.92,20.00,dePorValor
15075,SUPERA,Simeco Plus 240Ml,ANTIÁCIDOS,15075,58.40,53.65,8.13,dePorValor
447462,NATULAB,Hidralyte 45 Uva 500Ml,REIDRATANTES,447462,23.68,18.23,23.02,dePorValor
512752,XPLODE,Xplode Energetico Energy Pump 1Sache 5G,POLIVITAMÍNICOS,512752,3.50,3.50,,
152978,EMS ,Neutrofer 250Mg Gotas 30Ml,ANEMIA,152978,61.41,49.29,19.74,dePorValor
511255,RENOVITAN,Renovitan Ella T.P.M. 20Capsulas,POLIVITAMÍNICOS,511255,39.90,39.90,,
509817,POLINIZE,Floral Therapi Come Certo 30ml,POLIVITAMÍNICOS,509817,34.90,27.92,20.00,dePorValor
