Título,Código,Preço com Desconto,Preço Sem Desconto,Promoção,Descrição,Marca
"TRAVOPROSTA COLÍRIO MEDLEY 0,04MG/ML 2,5ML",cod. do produto: 42879,"R$ 36,82","R$ 97,22",62%,"TRAVOPROSTA COLÍRIO 0,04MG/ML 2,5ML em promoção parcelado sem juros é no Drogão Super!
A travoprosta solução oftálmica é indicada para redução da pressão intraocular em pacientes com glaucoma de ângulo aberto, glaucoma de ângulo fechado em pacientes submetidos previamente a iridotomia e hipertensão ocular.
Travoprosta Colírio 0,04mg/mL 2,5mL Genérico Medley é no Drogão Super!",
NOPLAK MAX SOLUÇÃO BUCAL 250ML,cod. do produto: 28084,"R$ 22,33","R$ 22,50",1%,"NOPLAK MAX SOLUÇÃO BUCAL 250ML em promoção parcelado sem juros é no Drogão Super!
Anti-séptico, anti-microbiano e adstringente, prevenindo a gengivite, problemas periodontais e cáries.",
BEPANTOL DERMA HIDRATANTE RESTAURADOR LOÇÃO CORPORAL 200ML,cod. do produto: 54645,"R$ 47,31","R$ 67,00",29%,Hidrate sua pele com o novo Bepantol Derma Hidratante Restaurador Diário. Possui textura leve e não oleosa. Especialmente formulado para pele seca e sensível.,
CAPTOPRIL 50 MG EMS 30 COMPRIMIDOS,cod. do produto: 14320,"R$ 8,86","R$ 48,80",82%,"CAPTOPRIL 50 MG 30 COMPRIMIDOS em promoção parcelado sem juros é no Drogão Super!
Reduz a pressão arterial nos casos de: HIPERTENSÃO: o captopril é indicado para o tratamento da hipertensão.
INSUFICIÊNCIA CARDÍACA: o captopril é indicado no tratamento de insuficiência cardíaca congestiva em associação com diuréticos e digitálicos.
O efeito benéfico de captopril na insuficiência cardíaca não requer a presença de digitálicos.
INFARTO DO MIOCÁRDIO: o captopril é indicado como terapia pós-infarto do miocárdio em pacientes clinicamente estáveis, com disfunção ventricular esquerda assintomática ou sintomática, para melhorar a sobrevida, protelar o início da insuficiência cardíaca sintomática, reduzir internações por insuficiência cardíaca e diminuir a incidência de infarto do miocárdio recorrente e as condutas de revascularização coronariana.
NEFROPATIA DIABÉTICA: o captopril é indicado para o tratamento de nefropatia diabética (proteinúria > 500 mg/dia) em pacientes com diabetes mellitus insulino-dependentes.
Nestes pacientes, o captopril previne a progressão da doença renal e reduz sequelas clínicas associadas (diálise, transplante renal e morte).",EMS Genéricos
PANTOGAR MEN 30 CÁPSULAS,cod. do produto: 48432,"R$ 143,02","R$ 186,50",23%,"Pantogar Men é um suplemento vitamínico a base de Biotin, Zinco e complexo de vitaminas que tem a função de auxiliar o tratamento relacionado à queda capilar e alopecia. Pantogar Men foi especialmente desenvolvido para ajudar a suprir as necessidades nutricionais em situações que favorecem a queda de cabelo.",
ROSUVASTATINA CÁLCICA 20MG SANDOZ 30 COMPRIMIDOS,cod. do produto: 39104,"R$ 15,54","R$ 69,12",78%,"ROSUVASTATINA CÁLCICA 20MG 30 COMPRIMIDOS em promoção parcelado sem juros é no Drogão Super!
A rosuvastatina cálcica está indicada para reduzir altos níveis de substâncias gordurosas no sangue, chamadas lipídios (principalmente colesterol e triglicérides), geralmente quando mudanças na dieta e a prática de exercícios não foram suficientes para reduzir os níveis de substâncias gordurosas no sangue.
Se os altos níveis de lipídios não são tratados, podem ocorrer depósitos gordurosos nas paredes dos vasos sanguíneos que, com o passar do tempo, podem estreitar a passagem do sangue nestes vasos.
Este fato é uma das causas mais comuns de doença de coração.
Rosuvastatina Cálcica 20mg c/ 30 Comprimidos Genérico Sandoz é no Drogão Super!",Sandoz Generico
ATORVASTATINA CÁLCICA 40MG 30 COMPRIMIDOS,cod. do produto: 38954,"R$ 27,16","R$ 141,37",81%,"A atorvastatina cálcica em comprimidos revestidos é indicada para tratamento de: Hipercolesterolemia (aumento da quantidade de colesterol no sangue) isolada. Hipercolesterolemia associada à hipertrigliceridemia (aumento dos níveis sanguíneos de outro tipo de gordura). Hipercolesterolemia associada à redução dos níveis sanguíneos de HDL (tipo de colesterol). Hipercolesterolemia associada à hipertrigliceridemia e associado também à redução dos níveis sanguíneos de HDL. Inclusive hipercolesterolemias de transmissão genética/familiar (familiar homozigótica, disbetalipoproteinemia, etc), quando a resposta à dieta e outras medidas não-farmacológicas forem inadequadas. A atorvastatina cálcica é indicada para prevenção secundária (aquela que é instituída depois de um evento para evitar que ele ocorra novamente) de síndrome coronária aguda (doença em que o músculo cardíaco recebe menor fluxo de sangue). A atorvastatina cálcica também pode ser usada para prevenção de complicações cardiovasculares (vasos sanguíneos e coração) em pacientes sem doença cardiovascular ou dislipidemia preexistente, mas com múltiplos fatores de risco (tabagismo, hipertensão, diabetes, HDL baixo ou história familiar de doença cardíaca precoce). A atorvastatina cálcica é indicada para o tratamento de pacientes com doença cardíaca (do coração) e coronariana (dos vasos do coração) para reduzir o risco de complicações como: Infarto do miocárdio não fatal, de acidente vascular cerebral (derrame) fatal e não fatal, de procedimentos de revascularização (para desobstrução das artérias), de hospitalização por insuficiência cardíaca congestiva (doença em que o músculo cardíaco não consegue bombear o sangue para o corpo) e de angina (dor no peito devido a problemas no coração e seus vasos).",
ATORVASTATINA CÁLCICA 20MG 30 COMPRIMIDOS,cod. do produto: 37376,"R$ 16,04","R$ 70,68",77%,"ATORVASTATINA CÁLCICA 20MG 30 COMPRIMIDOS em promoção parcelado sem juros é no Drogão Super!
Adjunto à dieta para a redução de níveis elevados de colesterol total, LDL: colesterol, apolipoproteína B e triglicérides em pacientes com hipercolesterolemia primária; hiperlipidemia combinada (mista); e hipercolesterolemia familiar heterozigótica e homozigótica, quando a resposta à dieta e outras medidas não farmacológicas forem inadequadas.",
DICLOFENACO CLOESTIRAMINA 70MG MEDLEY 14 CÁPSULAS,cod. do produto: 16102,"R$ 10,41","R$ 26,70",61%,"O Diclofenaco Colestiramina pode ser usado no tratamento das seguintes condições Dor reumática ou degenerativa das articulações (artrite); Dor nas costas, síndrome do ombro congelado, cotovelo de tenista e outros tipos de reumatismo de tecidos moles; Crises de gota; Entorses, distensões e outras lesões; Dor e inchaço após a cirurgia; Condições inflamatórias dolorosas em ginecologia, incluindo períodos menstruais doloridos; Dor causada por câncer.",
LOÇÃO FACIAL DIÁRIA BEPANTOL DERMA REVITALIZANTE FPS25 50ML,cod. do produto: 54647,"R$ 47,22","R$ 66,30",29%,"Bepantol Derma Hidratante Revitalizante Diário com FPS25, protege a pele dos danos causados pelo sol, com textura leve e de rápida absorção.",
ATENOLOL 100MG + CLORTALIDONA 25MG SANDOZ,cod. do produto: 48371,"R$ 17,25","R$ 59,51",71%,O atenolol + clortalidona está indicado para o controle da hipertensão (pressão alta).,
