Título,Código,Preço com Desconto,Preço Sem Desconto,Promoção,Descrição,Marca
MALVATRIKIDS BABY GEL DENTAL INFANTI ANTICÁRIE TUTTI FRUTTI 70G,cod. do produto: 26206,"R$ 16,99","R$ 19,50",13%,"O Gel Dental Malvatrikids Baby é indicado para a higiene bucal de bebês e crianças. O cuidado com a boca da criança é indispensável a partir do primeiro dentinho, para que ele se acostume e se habitue com a higiene bucal.

O Gel Dental Malvatrikids Baby não possui flúor em sua fórmula e é indicado para crianças até 4 anos de idade. Cientificamente testado, é eficiente contra cáries. Não contém sacarina e tem um sabor suave e agradável de tutti-frutti.",Megalabs
SABONETE LÍQUIDO GRANADO GLICERINA BEBÊ TRADICIONAL 250ML,cod. do produto: 45298,"R$ 16,05","R$ 19,20",16%,"SABONETE LÍQUIDO GRANADO GLICERINA BEBÊ TRADICIONAL 250ML em condições especiais é no Drogão Super!
O sabonete granado líquido bebê tradicional possui fórmula suave, com glicerina pura, o que promove uma hidratação muito mais efetiva e segura, pois não irrita a pele do bebê.
Testado e aprovado dermatologicamente e recomendado por pediatras.
O Sabonete líquido granado bebê tradicional refil foi desenvolvido especialmente para a pele delicada dos bebês.",
LENÇOS UMEDECIDOS JOHNSON`S BABY RECÉM-NASCIDO SEM FRAGÂNCIA 48 UNIDADES,cod. do produto: 39687,"R$ 19,12","R$ 22,49",15%,"Os lenços umedecidos johnson’s baby recém-nascido possuem tecnologia spunlace que torna os lenços mais resistentes, macios e mais absorventes.
Promovendo uma limpeza eficiente e suave.
Dermatologicamente testado, não irrita a pele do bebê.
Embalagem com sistema puxa-fácil.
Os lenços umedecidos johnson’s baby recém-nascido foram especialmente desenvolvidos para o cuidado com a pele sensível do recém-nascido.",
LEITE EM PÓ NINHO FASES 1+ 400G,cod. do produto: 4201,"R$ 35,60","R$ 36,10",1%,"O Composto Lácteo Ninho Fases 1+ destaca o relacionamento entre mãe e filho que e mostra como os laços afetivos fazem com que as mães conheçam cada necessidade da criança, cuidando do filho para que ele possa aproveitar esta importante fase de descobertas e brincadeiras. Afinal, Ninho Fases 1+ é inspirado no amor que só mãe tem.",
GEL DENTAL INFANTIL CALÊNDULA WELEDA 50ML,cod. do produto: 48048,"R$ 29,55","R$ 38,90",24%,"O Gel Dental Weleda Infantil Calêndula, oferece proteção natural para os dentes de leite e para a harmonia da flora bucal dos pequenos.",Weleda
LEITE EM PÓ NAN espessAR NESTLÉ 0 A 12 MESES 800G,cod. do produto: 37844,"R$ 82,98","R$ 84,10",1%,"A Formula infantil nan anti regurgitante diminui as regurgitações e ajuda a suprir as necessidades nutricionais que o leite materno possui e auxilia no crescimento e desenvolvimento do bebê.
Pode ser consumido a partir do nascimento, apenas com indicação expressa de um médico ou nutricionista.
O aleitamento materno evita infecções e fortalece o vínculo entre mãe e filho.
Formula Infantil nan anti regurgitante, foi desenvolvido para bebês de 0 a 12 meses, que regurgitam com frequência ou que tenham refluxo.",
COMPOSTO LÁCTEO MILNUTRI PREMIUM,cod. do produto: 42637,"R$ 63,51","R$ 63,99",1%,"O Composto lácteo milnutri é rico em vitaminas c, d, além de fonte de cálcio, zinco e vitaminas a, b2, b12, b5, e e k.
Possui maior nível de ômega 3.
O Composto lácteo milnutri pronutra da danone, é um conjunto de nutrientes que contribuem para o desenvolvimento físico e mental das crianças.
Sem adição de açúcar, é indicado para crianças até 5 anos de idade.",Danone
SABONETE LÍQUIDO JOHNSON’S BABY HORA DO SONO 200ML,cod. do produto: 14940,"R$ 22,58","R$ 25,19",10%,"O sabonete líquido infantil johnson’s hora do sono auxilia na higiene diária do bebê com a exclusiva fórmula chega de lágrimas que garante um banho mais tranquilo, sem causar ardência nos olhos do bebê. Dermatologicamente testado e hipoalergênico. O sabonete líquido infantil johnson’s hora do sono conta com a exclusiva essência naturalcalm que libera aromas suaves e relaxantes para o bebê dormir melhor.",
TOALHAS UMEDECIDAS JOHNSON’S BABY LIMPEZA E SUAVIDADE 44 UNIDADES,cod. do produto: 51121,"R$ 14,19","R$ 16,69",15%,"Toalhas Umedecidas Johnson's Baby Limpeza e Suavidade promove uma higienização de qualidade removendo todas as impurezas prejudiciais a pele do bebê, oferecendo toda segurança que seu bebê merece deixando-o fresquinho e confortável.",
TOALHA UMEDECIDA PIQUITUCHO PRATIC 48 UN,cod. do produto: 51157,"R$ 7,50","R$ 9,00",17%,"As Toalhinhas Umedecidas Piquitucho Premium C48, são formuladas com ingredientes suaves, Glicerídeos da Manteiga de Karité, extratos de Capim Limão e Aloe Vera, proporcionando um toque macio e uma limpeza delicada e eficaz. Sua fragrância foi especialmente desenvolvida com tecnologia exclusiva, contendo ingredientes que remetem a uma sensação de conforto, suavidade e que ajudam a preparar o bebê para uma tranquila noite de sono. Sua formulação é testada dermatologicamente.",Feelclean
SUSTAGEN KIDS SABOR CHOCOLATE LATA 350G,cod. do produto: 58640,"R$ 19,90","R$ 26,20",24%,"Sustagen Kids complementa sua alimentação com vitaminas, minerais e proteínas que contribuem para o desenvolvimento físico e mental. Além disso Sustagen Kids é uma deliciosa bebida, com 3 sabores: chocolate, morango e baunilha, adequados ao paladar infantil. É saudável e influencia positivamente nos hábitos alimentares do seu filho. Sustagen KidsPara consumo diário, ideal para reforçar a alimentação. É aliado das mães cujos filhos não comem bem e por isso podem apresentar leves problemas nutricionais.Conheça Sustagen Kids, além de nutritivo e gostoso tem o sabor que as crianças adoram.",Mead Johnson
TOALHA UMEDECIDA JOHNSON’S BABY HORA DO SONO 96 UNIDADES,cod. do produto: 46231,"R$ 37,69","R$ 39,99",6%,"Os lenços umedecidos johnson’s baby hora do sono, possui fórmula hipoalergênica para não irritar a pele delicada do bebê.
A essência naturalcalm libera uma suave fragrância que proporciona uma sensação de relaxamento, deixando o bebê delicadamente perfumado e tranquilo. Os Lenços umedecidos johnson’s baby hora do sono é ideal para ser utilizado antes do bebê dormir.",
SABONETE EM BARRA PROTEX BABY,cod. do produto: 53894,"R$ 3,34","R$ 4,00",17%,"O Novo Sabonete em Barra Protex Baby Proteção Delicada possui fórmula suave, livre de conservantes, álcool e parabenos, é hipoalergênica e testada por dermatologistas e pediatras. O Novo Sabonete em Barra Protex Baby Proteção Delicada mantém a barreira de proteção natural da pele do seu bebê garantindo uma pele saudável e protegida.",Colgate-Palmolive
CAMOMILINA C 20 CÁPSULAS,cod. do produto: 10700,"R$ 52,99","R$ 60,13",12%,"""Tranquilidade que a mamãe precisa e que o bebê sente!
Camomilina® C é a aliada de mamães, papais e pediatras durante os desconfortos da fase de nascimento dos dentinhos do bebê. Com propriedades calmantes,  Camomilina é segura e alivia os sintomas da primeira dentição. Há mais de 40 anos no mercado, ela é um medicamento que possui estudos clínicos que comprovam sua eficácia, possuindo ação anti-inflamatória, analgésica e antisséptica, além de aliviar também o prurido (a coceira) na gengiva dos pequenos.
A Camomilina® C é eficaz porque possui extratos de Camomila, Alcaçuz e Vitamina C, que juntos, aliviam inflamações na gengiva e reduzem o desconforto causado pelos dentinhos. E o melhor, não contém anestésico sintético, diminuindo assim o risco de inibir o reflexo de deglutição.",
CONDICIONADOR INFANTIL HUGGIES EXTRA SUAVE 200ML,cod. do produto: 30453,"R$ 15,78","R$ 18,30",14%,"Fórmula com tecnologia Huggies, dermatológica e oftalmogicamente testada, possui ingredientes suaves, sem a presença de corantes. Não irrita os olhos nem a pele, deixando os cabelos fáceis de pentear.",Kimberly-Clark
COMPOSTO LÁCTEO NINHO FASES 3+ INFANTIL COM 400G,cod. do produto: 4586,"R$ 35,60","R$ 36,10",1%,"Ninho Fases 3+ Composto Lácteo foi desenvolvido para atender especialmente às necessidades de crianças entre 3 a 5 anos de idade. Sua fórmula contém nutrientes especiais para o desenvolvimento saudável, em especial o cálcio (que auxilia na formação dos ossos e dos dentes), e o ferro, que ajuda na redução do risco de anemia ferropriva (anemia causada pela deficiência de ferro). Não tem adição de açúcares ou aromatizantes.",
SHAMPOO INFANTIL JOHNSON`S BABY CHEIRINHO PROLONGADO 200ML,cod. do produto: 41672,"R$ 19,56","R$ 21,89",11%,"SHAMPOO INFANTIL JOHNSON`S BABY CHEIRINHO PROLONGADO 200ML em condições especiais é no Drogão Super!
O shampoo johnsons baby cheirinho prolongado, é enriquecido com vitamina e, que é uma vitamina fundamental na proteção dos cabelos e essência fix, que prolonga o cheirinho de banho por mais tempo.
Conta com a fórmula chega de lágrimas, que não irrita os olhos do bebê.
Testado dermatologicamente.
O Shampoo johnsons baby cheirinho prolongado foi especialmente desenvolvido para limpar os cabelos dos bebês com eficiência e manter aquele cheirinho de bebê por muito mais tempo.",
SABONETE BABY DOVE HIDRATAÇÃO ENRIQUECIDA 75G,cod. do produto: 45208,"R$ 3,64","R$ 4,10",11%,"O sabonete hidratante dove baby hidratação enriquecida possui ¼ de creme hidratante em sua fórmula.
É hipoalergênico e indicado para bebês com pele normal a seca, devido a alta hidratação que promove na pele do bebê, deixando-a macia e suave.
O Sabonete hidratante dove baby, hidratação enriquecida além delicioso cheirinho de bebê, é o sabonete mais suave e hidratante do que qualquer outro sabonete comum para bebê.",Unilever
SABONETE LÍQUIDO JOHNSON’S BABY DA CABEÇA AOS PÉS 400ML,cod. do produto: 46230,"R$ 35,04","R$ 43,80",20%,"O sabonete líquido johnsons baby da cabeça é dermatologicamente testado e hipoalergênico, podendo ser utilizado desde o primeiro banho do bebê. Contém glicerina, que ajuda a higienizar a delicada pele do bebê sem deixá-la ressecada. O sabonete líquido johnsons baby da cabeça aos pés limpa suavemente a pele delicada do bebê e possui a fórmula chega de lágrimas, que não irrita os olhos do bebê.",
SHAMPOO INFANTIL HUGGIES EXTRA SUAVE COM 200ML,cod. do produto: 30452,"R$ 12,77","R$ 15,20",16%,O Shampoo Huggies Extra Suave foi especialmente desenvolvido para limpar delicadamente aos cabelos do bebê.,Kimberly-Clark
LOÇÃO ANTIMOSQUITO JOHNSON’S BABY 200ML,cod. do produto: 47845,"R$ 61,95","R$ 68,99",10%,A Loção Antimosquito Johnson’s baby é um repelente seguro e eficiente para a pele sensível dos bebês; ele pode ser utilizado à partir dos 6 meses.,
COLIC CALM 59 ml,cod. do produto: 52839,"R$ 155,51","R$ 162,20",4%,"O Colic Calm é um remédio homeopático que alivia imediatamente todos os desconfortos causados por gases, cólicas ou indigestão.",MRJ Farma
LEITE PO NINHO FASES 3+ 800GR,cod. do produto: 52061,"R$ 56,60","R$ 59,10",4%,"Ninho Fases 3+ é um composto lácteo voltado para as crianças a partir de 3 anos. Contém fibras alimentares prebióticas (que auxiliam no funcionamento do intestino), um mix de 18 imunonutrientes (vitaminas e minerais), que atuam no organismo ajudando a fortalecer as defesas naturais do corpo, além de óleos vegetais especiais.",
LOÇÃO HIDRATANTE JOHNSON`S BABY RÉCEM NASCIDO 200ML,cod. do produto: 44768,"R$ 42,92","R$ 47,99",11%,"LOÇÃO HIDRATANTE JOHNSON`S BABY RÉCEM NASCIDO 200ML em condições especiais é no Drogão Super!
A loção hidratante johnsons baby recém-nascido além de hidratar, fortalece a pele do bebê desde o primeiro dia de vida.
Oferece proteção suave e eficaz.
Fórmula dermatologicamente testada, livre de corantes e álcool.
A loção hidratante johnsons baby recém-nascido hidrata a pele sensível do recém-nascido e cria uma leve barreira protetora contra agentes externos.",
LENÇOS UMEDECIDOS NASAIS SALSEP KIDS COM 30 UNIDADES,cod. do produto: 55109,"R$ 6,23","R$ 18,90",67%,"Salsep Lenços umedecidos Nasais Kids, contém solução salina, vitamina E, Aloe Vera e Camomila. Narizinho bem cuidado sempre!",
LENÇO UMEDECIDO PIQUITUCHO PRATIC 96 UNIDADES,cod. do produto: 51158,"R$ 13,69","R$ 16,20",15%,Toalha umedecida piquitucho pratic 96 unidades Com aloe Vera e vitamina E. As Toalhinhas umedecidas Piquitucho Pratic foram especialmente desenvolvidas para a higiene da pele delicada do bebê. Sua fórmula suave é enriquecida com Extrato de Aloe Vera e Vitamina E que hidratam e protegem a pele do bebê.,Feelclean
SHAMPOO INFANTIL HUGGIES EXTRA SUAVE COM 400ML,cod. do produto: 37225,"R$ 20,44","R$ 24,40",16%,"O SHAMPOO INFANTIL HUGGIES EXTRA SUAVE com qualidade Huggies, é um shampoo que foi desenvolvido com suaves ingredientes, tornando-se ideal para limpar delicadamente os cabelos dos bebês. Sua exclusiva fórmula com tecnologia Huggies, dermatológica testada, não irrita os olhos nem a pele do bebê, proporcionando assim uma limpeza suave e segura dos cabelos e couro cabeludo. Além disso, tem embalagem inovadora que distrai o seu bebê, oferecendo um banho muito mais divertido.",Kimberly-Clark
POMADA PARA PREVENÇÃO DE ASSADURAS BABYMED AMÊNDOAS COM 40G,cod. do produto: 1002918,"R$ 8,66","R$ 13,90",38%,"Babymed Amêndoas Pomada é ideal para proteger a pele irritada do bebê, além de prevenir as assaduras. Possui fórmula com Vitaminas A e E que ajudam a deixar a pele do seu bebê sempre hidratada e bem nutrida. É fácil de usar, espalhar, limpar e remover! Uso externo, tópico e dermatológico.",
CREME PREVENTIVO CONTRA ASSADURAS HIPOGLÓS AMÊNDOAS NUTRE E RECUPERA 80 gramas,cod. do produto: 52822,"R$ 42,80","R$ 51,99",18%,"omada Hipoglós Amêndoas com óxido de zinco, vitaminas A, E, lanolina e óleo de amêndoas para proteger a pele do bebê das assaduras. É fácil de usar, espalhar, limpar e remover.",
Sabonete Granado Glicerina Bebê Camomila Refil 250 ml,cod. do produto: 51397,"R$ 16,05","R$ 19,20",16%,"Formulado com glicerina vegetal e pH da pele, o sabonete limpa com suavidade a pele do bebê, deixando-a macia e perfumada. Enriquecido com extrato natural de camomila, que tem propriedade relaxante. Especialmente desenvolvido para a pele delicada do bebê. Dermatologicamente testado. Livre de parabenos e ingredientes de origem animal. Conteúdo: 250ml.",
CONDICIONADOR JOHNSON’S BABY INFANTIL 400ML,cod. do produto: 39090,"R$ 30,39","R$ 37,99",20%,"O condicionador infantil johnson’s além de deixar os cabelos macios e com o cheirinho único de bebê, conta também com a exclusiva fórmula chega de lágrimas que garante um banho mais tranquilo, sem causar ardência nos olhos do bebê. Dermatologicamente testado e hipoalergênico. O Condicionador infantil johnson’s é suave para pele do bebê, pois possui ph balanceado, além de ser livre de álcool. Deixa os cabelos macios sem agredir a pele delicada do bebê.",
SABONETE LÍQUIDO BABY DOVE HIDRATAÇÃO RELAXANTE COM 400ML,cod. do produto: 54981,"R$ 17,87","R$ 24,90",28%,O Sabonete Líquido de Glicerina Baby Dove Hora de Dormir foi formulado com uma fragrância calmante para ajudar o bebê a relaxar antes de dormir. Nossa fórmula é hipoalergênica e ajuda a manter a pele saudável desde o primeiro banho.,
SHAMPOO JOHNSONS BABY CABELOS CLAROS 400ML,cod. do produto: 37363,"R$ 27,11","R$ 27,49",1%,"SHAMPOO JOHNSON BABY CLAROS 400ML em condições especiais é no Drogão Super!
O shampoo johnsons baby cabelos claros, possui fórmula chega de lágrimas, que não arde os olhinhos do bebê.
Limpa de maneira eficiente sem provocar alergias.
É dermatologicamente testado e hipoalergênico.
O Shampoo johnsons baby cabelos claros possui camomila para ajudar a realçar a cor dos cabelos claros do bebê.",
SHAMPOO BABY DOVE HIDRATAÇÃO ENRIQUECIDA 400ML,cod. do produto: 45220,"R$ 16,90","R$ 19,90",15%,"SHAMPOO BABY DOVE HIDRATAÇÃO ENRIQUECIDA 400ML em condições especiais é no Drogão Super!
O shampoo baby dove hidratação enriquecida é hipoalergênico e como possui ph neutro, não irrita os olhos.
Foi testado por oftalmologistas, dermatologistas e pediatras e ainda repõe a hidratação e os nutrientes essenciais do couro cabeludo.
O Shampoo baby dove hidratação enriquecida limpa suavemente o couro cabeludo dos bebês e crianças deixando-o mais saudável e perfumado.",Unilever
SHAMPOO INFANTIL JOHNSON’S BABY CHEIRINHO PROLONGADO 400ML,cod. do produto: 45810,"R$ 27,11","R$ 30,39",11%,"O Shampoo Infantil Johnson’s Cheirinho Prolongado conta com a exclusiva Essência Fix e Vitamina E, que limpa delicadamente os cabelos das crianças deixando um cheirinho de banho tomado por mais tempo.",
POMADA PARA ASSADURAS GERIADERM 135G,cod. do produto: 58018,"R$ 22,54","R$ 25,60",12%,"POMADA PARA ASSADURAS GERIADERM em condições especiais é no Drogão Super!
A pomada geriaderm é indicada para combater assaduras.",
LENÇO UMEDECIDAS JOHNSON`S BABY HORA DO SONO 48 UNIDADES,cod. do produto: 39685,"R$ 23,16","R$ 24,69",6%,"Os lenços umedecidos johnson’s baby hora do sono possuem fórmula hipoalergênica para não irritar a pele delicada do bebê.
A essência naturalcalm libera uma suave fragrância que proporciona uma sensação de relaxamento, deixando o bebê delicadamente perfumado e tranquilo.
Os Lenços umedecidos johnson’s baby hora do sono são ideais para serem utilizados antes do bebê dormir.",
REPELENTE EM GEL EXPOSIS BEBE COM 117ML,cod. do produto: 52818,"R$ 48,42","R$ 65,00",26%,"Exposis Bebê é um repelente em gel desenvolvido especialmente para proteger a pele do bebê. Possui alta eficácia contra picadas de insetos transmissores de vírus, entre os quais a dengue, a zika e a chikungunya, que podem transmitir doenças e causar irritações na pele. Com 10% de icaridina (substância hipoalergênica reconhecidamente eficaz na proteção contra insetos), Exposis Bebê oferece até 6 horas de proteção diária, se usado corretamente. É dermatologicamente testado e hipoalergênico, diminuindo as chances de possíveis irritações ou alergias.",Exposis
SABONETE EM BARRA NIVEA ANTIBACTERIANO 3 EM 1 85G,cod. do produto: 56250,"R$ 2,69","R$ 3,20",16%,"Sabonete em barra antibacteriano 3 em 1: limpa, cuida e protege contra bactérias. Sensação de pele macia e hidratada. Sua fórmula elimina 99,9% das bactérias.",
CREME CONTRA ASSADURA HIPOGLÓS TRANSPARENTE 30 gramas,cod. do produto: 52962,"R$ 18,39","R$ 22,99",20%,"Onovo Hipoglós Transparente forma uma barreira multi-reparadora, enriquecida com lanolina e vitaminas, super eficaz na proteção e hidratação, auxiliando na regeneração natural da pele.Sua fórmula exclusiva forma uma segunda pele protetora, promovendo alivio imediato e fortalecendo a defesa natural da pele.",
DERSANI BABY ÓLEO PARA PREVENÇÃO DE ASSADURAS 50 ML,cod. do produto: 39938,"R$ 21,05","R$ 23,50",10%,"DERSANI BABY ÓLEO PARA PREVENÇÃO DE ASSADURAS 50 ML em promoção parcelado sem juros é no Drogão Super!
Dermatologicamente testada e hipoalergênica.
Dersani Baby protege e hidrata a pele do bebê, é facilmente removido e permite a visualização da pele.",
SABONETE LÍQUIDO GRANADO BEBÊ CAMOMILA,cod. do produto: 51396,"R$ 21,51","R$ 25,70",16%,"Sabonete Líquido Granado Infantil Bebê Relaxante é formulado com glicerina vegetal e pH da pele, o sabonete limpa com suavidade a pele do bebê, deixando-a macia e perfumada. Testado dermatologicamente é livre de Parabenos e de ingredientes de origem animal.",
CREME PREVENÇÃO DE ASSADURA DESITIN MÁXIMA PROTEÇÃO 57G,cod. do produto: 52066,"R$ 51,25","R$ 55,99",8%,"Desitin original é uma pomada que forma uma camada protetora de longa duração na pele do bebê, ajudando a prevenir irritações e assaduras.Sua fórmula contém 40% de óxido de zinco, ingrediente que ajuda a prevenir irritações e assaduras na área da fralda. Hipoalergênico.",
SHAMPOO INFANTIL POM POM SUAVE 200ML,cod. do produto: 45579,"R$ 10,65","R$ 12,30",13%,"O Shampoo Suave Pompom garante cabelos saudáveis, limpos e cheirosos. É desenvolvido com pH balanceado, sem adição de corantes na composição, e hipoalergênico. Com sistema sem lágrimas, o produto é suave e neutro, ideal para bebês. Testado oftalmo e dermatologicamente.",
KIT ESCOVA DENTAL INFANTIL COLGATE SMILES MINIONS 2 UNIDADES,cod. do produto: 49792,"R$ 21,75","R$ 26,00",16%,"A Escova Dental Infantil Colgate Smiles Minions foi desenvolvida especialmente para crianças a partir de 6 anos de idade, proporcionando muito mais eficiência e segurança na hora da escovação.",Colgate-Palmolive
LENÇOS UMEDECIDOS GRANADO BEBÊ C/ 50 UNIDADES,cod. do produto: 42981,"R$ 11,36","R$ 13,60",16%,"Os lenços umedecidos granado bebê possui fórmula com derivados do óleo de oliva e extrato de rosas-brancas, que proporcionam uma hidratação calmante, deixando a pele do bebê muito suave e macia.
Não contém corantes, álcool etílico e parabenos.
Possui uma suave fragrância tradicional para bebês.
Dermatologicamente testado.
Os Lenços umedecidos granado bebê são extremamente macios, flexíveis e resistentes, para promover uma limpeza suave e muito eficiente na pele do bebê.",
POMADA VICK BABYRUB - 12GR,cod. do produto: 51289,"R$ 16,41","R$ 18,90",13%,"Vick BabyRub Bálsamo Para Bebês à partir de 3 meses - Pomada para hidratar e para massagem que ajuda a relaxar e confortar o seu bebê, contém Aloe Vera e fragrância de eucalipto e camomila - Adiciona a pomada Vick BabyRub na rotina da troca de fraldas, aplique também após o banho do bebê.

- Para a massagem que ajuda a relaxar e confortar seu bebê.
- Hidratante para a Pele.
- Para bebês a partir de 3 meses.
- Contém fragrância de eucalipto e camomila.
- Use na rotina da troca de fraldas.",P&G
PASTA DAGUA SIMPLES ADV 135G,cod. do produto: 57994,"R$ 11,08","R$ 12,50",11%,"PASTA DAGUA SIMPLES ADV 135G em condições especiais é no Drogão Super!
Pasta dágua simples adv 135g é um medicamento.
Seu uso pode trazer riscos.
Procure o médico e o farmacêutico.
Leia a bula.
(informações da bula estão impressos no rótulo e/ou no cartucho).
Medicamento de notificação simplificada rdc anvisa nº199/2006.
afe 1.
00210-4.",
SABONETE LÍQUIDO DOVE BABY HIDRATAÇÃO ENRIQUECIDA 400ML,cod. do produto: 45214,"R$ 17,87","R$ 24,90",28%,"SABONETE LÍQUIDO DOVE BABY HIDRATAÇÃO ENRIQUECIDA 400ML em condições especiais é no Drogão Super!
O dove sabonete líquido dove baby hidratação enriquecida possui uma exclusiva formula que retém a hidratação por até 24 horas.
Deixando a pele nutrida, hidratada, macia e delicadamente perfumada.
Limpando a pele suavemente sem agredi-la.
O Dove sabonete líquido dove baby hidratação enriquecida é hipoalergênico e com ph neutro.
Ideal para limpeza e cuidado da pele do bebê na hora do banho.",
SABONETE LÍQUIDO BARUEL BABY GLICERINA 210ML,cod. do produto: 54322,"R$ 13,88","R$ 16,60",16%,O Sabonete Líquido com Glicerina Baruel Baby foi cuidadosamente desenvolvido para limpar e perfumar a pele delicada do bebê e da criança sem agredi-la.,Baruel
TOALHAS UMEDECIDAS DRY BABY PLUS COM 100 LEVE MAIS POR MENOS,cod. do produto: 51632,"R$ 10,43","R$ 12,20",15%,"As Toalhinhas Dry Baby possuem toque macio e é delicadamente perfumada. Limpa profundamente oferecendo a sensação de banho a cada troca de fralda, e com extrato de aloe vera não resseca a pele do bebê.",Essity
SABONETE LÍQUIDO DOVE BABY HIDRATAÇÃO GLICERINADA COM 400ML,cod. do produto: 52294,"R$ 17,87","R$ 24,90",28%,"O sabonete líquido Dove Baby Hidratação Glicerinada da cabeça aos pés foi desenvolvido com uma fórmula que combina Glicerina com nutrientes naturalmente encontrados na pele do bebê. Ainda, conta com um perfume suave e delicado, possui pH neutro, é livre de corantes artificiais, parabenos, ftalatos, sulfatos e é sem lágrimas, ou seja, não irrita os olhos dos pequenos.",
MALVATRIKIDS GEL DENTAL INFANTIL COM FLÚOR E XILITOL TUTTI FRUTTI 70G,cod. do produto: 26207,"R$ 16,99","R$ 19,50",13%,"MALVATRIKIDS GEL DENTAL INFANTIL COM FLÚOR E XILITOL TUTTI FRUTTI 70G em promoção parcelado sem juros é no Drogão Super!
O Gel Dental Malvatrikids Infantil, é indicado para a higiene bucal de crianças a partir de 4 anos.",Megalabs
