,Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmácia,Região,Cidade,Unnamed: 0
12,Maleato de Dexclorfeniramina Creme 10mg Cimed 30g,7898075310000,DEXCLORFENIRAMINA,O maleato de dexclorfeniramina creme dermatológico pertence a uma classe de medicamentos conhecidos como antialérgicos (anti-histamínico). Os antialérgicos ajudam a reduzir os sintomas da alergia causados por substâncias estranhas que entram em contato com nosso corpo.,15.36,10.82,30,Drogaria Globo,Sudeste,São Paulo,
13,Escova Marco Boni Raquete Degradê Soft Touch,7896025523937,MARCO BONI,"Marco Boni Escova Raquete Almofada Degrade proporciona conforto e aderência no momento de desembaraçar os fios. Sua base é almofadada e suas cerdas tem um acabamento com bolinha nas pontas, protegendo o couro cabeludo contra agressões.",36.99,36.99,0,Drogaria Globo,Sudeste,São Paulo,
14,Aspirina Prevent 300mg 30 Comprimidos,7891106005616,ASPIRINA,"Indicada para diminuir o agrupamento das plaquetas, principalmente: na angina de peito instável; no infarto agudo do miocárdio; para redução do risco de novo infarto em doentes que já sofreram infarto; após cirurgias ou outras intervenções nas artérias; para evitar a ocorrência de distúrbios transitórios da circulação cerebral e de infarto cerebral após as primeiras manifestações.",68.52,53.09,23,Drogaria Globo,Sudeste,São Paulo,
15,Creme Pentear Niely Gold Cachos Seu Jeito 250G,7899706178754,NIELY GOLD,"A hidratação profunda é certa na semana da cacheada/crespa e essencial para quem deseja ter e manter cachos saudáveis, indicado para ser utilizado após o uso do shampoo e condicionador o Creme de Tratamento Niely Cachos do Seu Jeito de 1 Kg é a nutrição do poder que deixa os cachos super saudáveis, definidos, emolientes, desembaraçados, nutridos e macios.",8.19,8.19,0,Drogaria Globo,Sudeste,São Paulo,
16,Escova de Cabelo Prada Cristal Ventilada Ref: 174,7897517901745,BELLIZ,Cerdas de nylon com pontas protetoras. Cabo com suporte anti-derrapante. Ideal para finalizar penteados.,25.49,25.49,0,Drogaria Globo,Sudeste,São Paulo,
17,Condicionador Pantene Colágeno Hidrata e Resgata 250ml,7500435197007,PANTENE,"O condicionador sem sal  Pantene Pro-v Miracles Colágeno Hidrata & Resgata, resgata profundamente o cabelo, reduz as pontas duplas, fecha as cutículas e hidrata e revitaliza. Com colágeno natural, biotina, Pró-vitaminas B5, repara e revitaliza os cabelos deixando-os brilhantes e saudáveis. Inspirados nos benefícios mais renomados do mundo junto ao poder da Pro-Vitamina B5, os produtos Pantene Pro-V Miracles Colágeno Hidrata & Resgata te ajudarão com a nutrição capilar da raiz até as pontas, graças a uma poderosa fórmula com Colágeno 100% natural; Pró-vitamina B5 e Biotina que protege o cabelo dos danos associados às constantes transformações.",26.39,26.39,0,Drogaria Globo,Sudeste,São Paulo,
18,"Carvedilol 6,25mg com 30comprimidos Genérico Biolab",7898146823040,CAVERDILOL,"Carvedilol é indicado para tratamento de hipertensão arterial, isoladamente ou em associação a outros agentes anti-hipertensivos, especialmente diuréticos tiazídicos.",28.9,12.81,56,Drogaria Globo,Sudeste,São Paulo,
19,Atlansil 100mg 20 Comprimidos,7897595901439,ATLANSIL,"Indicado para casos: distúrbios graves do ritmo cardíaco,inclusive aqueles resistentes a outras terapêuticas; taquicardia ventricular sintomática ; taquicardia supraventricular sintomática; alterações do ritmo cardíaco associadas à síndrome de Wolff-Parkinson-White (uma forma de arritmia, que é uma alteração na frequência ou no ritmo dos batimentos cardíacos).",23.89,20,16,Drogaria Globo,Sudeste,São Paulo,
20,"Brometo De Ipratropio 0,25Mg Solução Para Inalação Genérico Biosintetica 20ml",7896181913252,BIOSINTETICA - GENERICO,"Indicado para o tratamento de manutenção do broncoespasmo (falta de ar repentina) associado à Doença Pulmonar Obstrutiva Crônica (DPOC), que inclui bronquite crônica (inflamação dos canais das vias respiratórias), enfisema (doença pulmonar crônica que destrói a estrutura dos pulmões e geralmente afeta pessoas que fumam há muito tempo).",16.51,5.68,66,Drogaria Globo,Sudeste,São Paulo,
21,Piranha Ricca Onça Pequena,7897517908812,RICCA,"Piranha ricca média estampada 4cm, para cabelos de médio volume e comprimento, com molas resistentes e duráveis .",11.39,11.39,0,Drogaria Globo,Sudeste,São Paulo,
22,Creme de Limpeza Vichy Dercos 300ml,7899706190602,DERCOS,"O Dercos Sensi-Scalp creme de limpeza calmante de Vichy é indicado para lavar e condicionar todos os tipos de cabelos, hidratando sem pesar os fios. Além de acalmar e reduzir a coceira no couro cabeludo por 48h.",116.49,116.49,0,Drogaria Globo,Sudeste,São Paulo,
23,Shampoo a Seco Ricca Maçã do Amor com 150ml,7897517928520,RICCA,"O Shampoo a Seco Love is in the Hair é ideal para limpar e renovar a aparência dos fios, deixando o cabelo leve e solto. Fragrância de Maçã do amor.",22.79,22.79,0,Drogaria Globo,Sudeste,São Paulo,
24,Máscara Capilar Siage Matizadora Loiro Expert 250g,7891033926107,SIAGE,A Máscara Capilar Matizadora Siàge Loiro Expert faz parte de uma linha feita especialmente para tratar cabelos descoloridos.,68.19,68.19,0,Drogaria Globo,Sudeste,São Paulo,
25,Shampoo Dove Ritual Alívio Refrescante 200ml,7891150079205,DOVE,"Com babosa, conhecida pelas suas poderosas propriedades de tornar o cabelo mais brilhante, suave e condicionado; Ideal para quem busca uma limpeza profunda e refrescante; Aumenta a defesa natural do couro cabeludo contra a caspa e a coceira*; Fórmula enriquecida com vinagre de maçã, conhecido por  contribuir para o crescimento saudável do cabelo; Couro cabeludo com caspa.",13.79,13.79,0,Drogaria Globo,Sudeste,São Paulo,
26,Escova Raquete Marco Boni Deluxe,7896025523302,MARCO BONI,"A Escova Raquete Marco Boni Deluxe 8074 é ideal para pentear cabelos compridos e volumosos. Possui base almofadada e cerdas flexíveis com acabamento de bolinha nas pontas, para não agredir o couro cabeludo. Seu cabo Soft Touch proporciona conforto e aderência no momento de desembaraçar os fios.  Seu uso deixa os fios macios, leves com brilho e volume controlado, sem danificar ou quebrar seus cabelos.",27.39,27.39,0,Drogaria Globo,Sudeste,São Paulo,
27,Cloridrato de Pioglitazona 30mg Genérico EMS 15 Comprimidos,7896004731704,PIOGLITAZONA,"O Cloridrato de Pioglitazona é um medicamento antidiabético usado para tratar diabetes mellitus tipo II (não insulino dependente), quando a metformina não for adequada ou falhou no controle adequado do diabetes. Este é um tipo de diabetes que usualmente se desenvolve na vida adulta.",79.91,63.09,21,Drogaria Globo,Sudeste,São Paulo,
28,Glimepirida Genérico Cimed 30 Comprimidos 4Mg,7896523210940,CIMED,"Este medicamento é indicado para o tratamento oral de diabetes mellitus não insulino-dependente (Tipo 2 ou diabetes do adulto), quando os níveis de glicose não podem ser adequadamente controlados por meio de dieta alimentar, exercícios físicos e redução de peso.",49.98,18.68,63,Drogaria Globo,Sudeste,São Paulo,
29,Diclofenaco Potasio 50Mg Genérico Cimed 20 Comprimidos,7896523214092,DICLOFENACO,"Diclofenaco Potássico é um anti-inflamatório para o tratamento de curto prazo nos distúrbios relacionados a entorses, distensões e lesões.Ainda é eficiente no alívio das dores e inflamação no pós-operatório, condições ginecológicas dolorosas, incluindo períodos menstruais, e diferentes tipos de reumatismos.",14.89,9.61,35,Drogaria Globo,Sudeste,São Paulo,
30,Bramicar 80Mg 30 Comprimidos,7894916508940,BRAMICAR,É indicado para o tratamento da hipertensão arterial (pressão alta). Pode ser usado isoladamente ou em associação com outros medicamentos com a mesma finalidade. Indicado também para a prevenção de mortalidade e lesão cardiovascular (doenças ou afecções que acometem o coração e/ou vasos sanguíneos) em pacientes com idade igual ou superior a 55 anos.,100.53,81.99,18,Drogaria Globo,Sudeste,São Paulo,
31,Condicionador Pantene Nutrient Blends Extrato de Rosas 235ml,7500435184694,PANTENE,"A Nutrient Blends Extrato de Rosas é uma coleção exclusiva de produtos Pantene, inspirada na tradição do Ramadã, que proporciona controle instantâneo do frizz.  Composta por shampoo e condicionador, esta linha contém Colágeno, Pantenol e Extrato de Rosa proveniente das pétalas e botões da Rosa Gallica, que prospera no Oriente Médio.",46.79,46.79,0,Drogaria Globo,Sudeste,São Paulo,
32,Cloridrato De Nebivolol 5Mg Genérico Biosintetica 30 Comprimidos,7896181927822,NEBIVOLOL,"Este medicamento é destinado para o tratamento da hipertensão arterial (pressão sanguínea alta) e da insuficiência cardíaca
(alteração da função cardíaca) em idosos (acima de 70 anos), com fração de ejeção (quantidade de sangue que sai do coração e vai
para todo o organismo através dos vasos quando ocorre o batimento cardíaco) abaixo ou igual 35%.",95.29,48.91,49,Drogaria Globo,Sudeste,São Paulo,
33,Bromoprida 4mg/ml Solução Oral Pediatrico Genérico Biosintética 20ml,7896181913306,BROMOPRIDA,"A bromoprida está indicada para: Distúrbios da motilidade gastrintestinal, refluxo gastroesofágico e náuseas e vômitos de origem central e periférica",24.1,8.62,64,Drogaria Globo,Sudeste,São Paulo,
34,Ezetimiba 10Mg+Sivastatina +10Mg Genérico Ems 30 Comprimidos,7896004747040,EZETIMIBA,"Indicada para diminuir os níveis sanguíneos de colesterol total, colesterol LDL (mau colesterol) e substâncias gordurosas denominadas triglicérides. Além disso, ezetimiba + sinvastatina aumenta os níveis de colesterol HDL (bom colesterol).Também é indicada para pacientes com uma condição na qual os rins não estão funcionando adequadamente.",104.98,99.73,5,Drogaria Globo,Sudeste,São Paulo,
35,Creme de Tratamento Seda Colágeno e Vitamina C 300g,7891150080119,SEDA,"Agora em uma nova linha feita com uma combinação de COLÁGENO E VITAMINA C,co-criada com a experta em make up e cabelo Niina Secrets,para um cuidado profundo do seu cabelo.",12.49,12.49,0,Drogaria Globo,Sudeste,São Paulo,
36,Metildopa 250mg Genérico EMS 30 Comprimidos,7896004703480,METILDOPA,O seu médico lhe receitou metildopa para tratar sua hipertensão (pressão alta).,29.75,28.26,5,Drogaria Globo,Sudeste,São Paulo,
37,Ácido Acetilsalicílico 100mg Genérico EMS 10 Comprimidos,7896004710907,ACIDO ACETIL,"É indicado para o alívio sintomático de dores de intensidade leve a moderada, como dor de cabeça, dor de dente, dor de garganta, dor menstrual, dor muscular, dor nas articulações, dor nas costas, dor da artrite; e o alívio sintomático da dor e da febre nos resfriados ou gripes.",3.8,3.61,5,Drogaria Globo,Sudeste,São Paulo,
38,Citrato de Sildenafila 100mg Genérico Medley 4 Comprimidos,7896422525237,SILDENAFILA,"O citrato de sildenafila está indicado para o tratamento da disfunção erétil, que se entende como sendo a incapacidade de obter ou manter uma ereção (rigidez do pênis) suficiente para um desempenho sexual satisfatório.",90.45,53.57,41,Drogaria Globo,Sudeste,São Paulo,
39,Hair Spray Care Liss Normal 150ml,7896010175646,CHARMING,"O Hair Spray Care Liss Fixação Forte é ideal para montagem de penteados possui um conjunto inédito de novas tecnologias, com ativos de alta qualidade que conferem fixação intensa sem acúmulo de produto no cabelo, além de finalizar e modelar os fios de maneira natural, permitindo criar os mais diversos estilos. Care Liss Fixação Forte forma um filme flexível e brilhante, com alta resistência à umidade, sem agredir ou ressecar os cabelos.",14.39,14.39,0,Drogaria Globo,Sudeste,São Paulo,
40,Aldomet 250mg 30 Comprimidos,7895858005917,ALDOMET,Indicado para hipertensão (pressão alta).,43.09,35.19,18,Drogaria Globo,Sudeste,São Paulo,
41,Lisinopril 5mg Genérico Medley 30 Comprimidos,7896422506731,LISINOPRIL,Hipertensão: o lisinopril é indicado para o tratamento da hipertensão (pressão alta) e hipertensão renovascular. Pode ser usado como monoterapia (sozinho) ou associado a outras classes de medicamentos anti-hipertensivos.,36.81,20.22,45,Drogaria Globo,Sudeste,São Paulo,
42,Brasart HCT 320MG/25MG 30 Comprimidos,7894916508377,BRASART,Brasart HCT é usado para tratar a pressão arterial elevada.,100.14,92.13,8,Drogaria Globo,Sudeste,São Paulo,
43,Condicionador Instance Abacate e Oliva 300ml,7891033471935,INSTANCE,"O cabelo quebradiço e seco está te incomodando e você não sabe mais o que fazer para deixá-lo cheio de vida e resistente? Instance apresenta a linha Nutrição Reparadora com produtos repletos de benefícios para a sua rotina de cuidados capilares!    Enriquecido com Abacate e Oliva, o condicionador para cabelos quebrados possui fórmula que nutre os fios em instantes, deixando-os encorpados, macios e com brilho.",28.79,28.79,0,Drogaria Globo,Sudeste,São Paulo,
44,Bala Fruit-Tella Herbs Limão e Ervas 9 Unidades,7895144207346,FRUITTELLA,,4.29,4.29,0,Drogaria Globo,Sudeste,São Paulo,
45,Bissulfato de Clopidogrel 75mg Genérico Medley 28 Comprimidos,7896422516112,CLOPIDOGREL,"Indicado para a prevenção secundária dos eventos aterotrombóticos [infarto agudo do miocárdio (IM), acidente vascular cerebral (AVC) e morte vascular] em pacientes adultos que apresentaram IM ou AVC recente ou doença arterial periférica estabelecida.",91.38,56.65,38,Drogaria Globo,Sudeste,São Paulo,
46,Atorvastatina Cálcica 20mg Genérico Eurofarma 30 Comprimidos,7891317489366,EUROFARMA - GEN?RICO,Indicada para hipercolesterolemia (aumento da quantidade de colesterol no sangue) isolada; hipercolesterolemia associada à hipertrigliceridemia (aumento dos níveis sanguíneos de outro tipo de gordura); hipercolesterolemia associada à redução dos níveis sanguíneos de HDL (tipo de colesterol); hipercolesterolemia associada à hipertrigliceridemia e associado a redução dos níveis sanguíneos de HDL.,75.85,30.11,60,Drogaria Globo,Sudeste,São Paulo,
47,Hemifumarato Bisoprolol 10Mg Genérico Medley 30 Comprimidos,7896422522687,HEMIFUMARATO DE BISOPROLOL,"Tratamento de insuficiência cardíaca crônica estável com função ventricular sistólica esquerda reduzida, em adição a inibidores da ECA, diuréticos e, opcionalmente, glicosídeos cardíacos.",65.64,44.88,32,Drogaria Globo,Sudeste,São Paulo,
48,Cloridrato Ciclobenzaprina 10Mg Genérico Cimed 30 Comprimidos,7896523214658,CICLOBENZAPRINA,"Este medicamento é destinado ao tratamento de espasmos musculares associados com dor aguda e de etiologia musculoesquelética, como nas lombalgias, torcicolos, fibromialgia, periartrite escapulo umeral, cervicobraquialgias. Além disso, é indicado como coadjuvante de outras medidas para o alívio dos sintomas, tais como fisioterapia e repouso.",28.23,16.3,42,Drogaria Globo,Sudeste,São Paulo,
49,Acertanlo 14MG+10MG 30 Comprimidos,7898029550353,ACERTANLO,Acertanlo é indicado no tratamento da hipertensão arterial em adultos.,147.02,135.26,8,Drogaria Globo,Sudeste,São Paulo,
50,Condicionador Pantene Restauração 175ml,7500435125451,PANTENE,"Aproveite esta fórmula com nova tecnologia, rica em textura e com cor dourada, que confere mais condicionamento sem deixar os cabelos pesados. Experimente uma hidratação profunda sem deixar os cabelos pesados ou oleosos, com uma textura rica. A coleção Restauração foi formulada para restaurar o cabelo com aminoácidos, óleo de argan e a exclusiva provitamina da Pantene.",15.69,12.15,23,Drogaria Globo,Sudeste,São Paulo,
51,Escova de Cabelo Belliz Flex Pocket Cassis,7897517904869,BELLIZ,"Escova Belliz Flex Pocket Cassis Características Escova de cabelo tamanho de bolsa com cerdas flexíveis de dupla altura. Desembaraça os fios secos ou molhados com maior facilidade, desfazendo os nós e diminuindo a quebra dos fios.  Função Desembaraça os fios mais facilmente sem puxá-los minimizando a quebra.  Diferencial Possui tampa que protege as cerdas, sendo perfeita para carregar na bolsa ou nécessaire.",28.19,28.19,0,Drogaria Globo,Sudeste,São Paulo,
52,Shampoo Dove Hidratação Intensa Oxigênio 200ml,7891150054462,DOVE,O Shampoo Dove Hidratação Intensa com Infusão de Oxigênio e ingredientes hidratantes que proporciona nutrição profunda e cabelos mais fortes. É indicado para cabelos enfraquecidos.,13.79,13.79,0,Drogaria Globo,Sudeste,São Paulo,
53,Condicionador Elseve Liso Dos Sonhos 200Ml,7899706180962,ELSEVE,"A Linha Elseve Liso Dos Sonhos alinha os fios, elimina o frizz por 48H e remove as curvas indesejadas do cabelo.",17.99,17.99,0,Drogaria Globo,Sudeste,São Paulo,
54,"Clormadinona+Etinilestradiol 2mg+0,03mg com 21 Comprimidos Ems Genérico",7896004781761,CLORMADINONA+ETINIL,,40.75,24.85,39,Drogaria Globo,Sudeste,São Paulo,
55,"Meloxicam 15mg/ml Injetável Genérico Eurofarma 5 Ampolas de 1,5ml",7891317424565,MELOXICAM,"Meloxicam é indicado para o tratamento dos sintomas da artrite reumatoide e osteoartrite (doenças das articulações), aliviando a dor e a inflamação.",50.87,30.24,41,Drogaria Globo,Sudeste,São Paulo,
56,Piranha Ricca Lisa Pequena,7897517908614,RICCA,"Piranha Ricca é ideal para prender as madeixas com estilo. Feita de material resistente, é perfeira para criar diferentes penteados e manter os fios afastados do rosto. O produto possui dentes largos que se encaixam com firmeza, sem danificar ou quebrar o cabelo.",3.99,3.99,0,Drogaria Globo,Sudeste,São Paulo,
57,Shampoo Amend Luxe Creations Blonde Care 250ml,7896852622285,AMEND,"Shampoo Amend Luxe Creations Blonde Care é formulado com o exclusivo blonde anti-porosity system, cuida dos cabelos descoloridos que foram agredidos por processos químicos causadores dos profundos danos na estrutura dos fios. Repõe os aminoácidos perdidos, proporciona proteção da cor, fortalece e melhora a penteabilidade. Recupera a fibra e aumenta o diâmetro dos fios, deixando-os macios e brilhantes. Limpa suavemente enquanto o ativo Hydro-Protector, presente na fórmula age de forma similar à algumas flores do deserto, pois do mesmo modo que os dissacarídeos protegem a planta quando está desidratada, não deixam que a água interna saia dos fios, mantendo-os hidratados por muito mais tempo, dando aos cabelos uma nova vida.",56.29,56.29,0,Drogaria Globo,Sudeste,São Paulo,
58,Leave-in Siàge Hidratação Micelar 100ml,7891033302079,SIAGE,"Leave-In Siàge Hidratação Micelar 100ml Com resultados imediatos, o Leave-In Siàge Hidratação Micelar blinda a fibra capilar contra as agressões externas, recuperando os fios e deixando-os super macios, hidratados e com brilho. Na mesma hora, você vai perceber a saúde sendo devolvida às suas madeixas.     O leave-in é enriquecido com Algas Marinhas e Ativos Biomiméticos que previnem o ressecamento e protegem contra qualquer dano que possa ser causado aos fios. Ele age como um protetor térmico até 230ºC. Assim, você pode usar o secador, prancha ou babyliss sem se preocupar com prejuízos aos cabelos.     Conheça toda a linha Siàge e garanta a saúde diária dos seus cabelos.",48.19,48.19,0,Drogaria Globo,Sudeste,São Paulo,
59,Loratadina 1mg/ml Xarope Genérico Biosintetica 100ml,7896181911128,BIOSINTETICA - GENERICO,"Loratadina é um medicamento indicado para o tratamento de diversos sintomas que estão relacionados à rinite alérgica. É efetivo no combate a problemas como coceira no nariz, coriza, ardor e coceira nos olhos. Ainda pode ser indicado para o tratamento de alergias na pele e problemas como a urticária.",36.09,12.45,66,Drogaria Globo,Sudeste,São Paulo,
60,Shampoo Clear Limpeza Diária 400ml,7891150014138,CLEAR,"Os cuidados com a aparência dos cabelos são essenciais para um look completo. Contudo, manter o couro cabeludo em exposição direta a tratamentos químicos pode acabar prejudicando sua saúde capilar e trazendo problemas pontuais como a caspa. O Shampoo Anticaspa Clear Men permite ativar a proteção natural do couro cabeludo, oferecendo cabelos mais saudáveis e livres da caspa todos os dias.",28.39,28.39,0,Drogaria Globo,Sudeste,São Paulo,
61,Esomeprazol 20mg Medley com 28comprimidos,7891058004422,ESOMEPRAZOL,"O esomeprazol é indicado para o tratamento de doenças ácido-pépticas e alívio dos sintomas de azia, regurgitação ácida e dor epigástrica. Doença do refluxo gastroesofágico (refluxo do estomago para o esôfago) (DRGE): Tratamento da esofagite (inflamação do esôfago) de refluxo erosiva. Tratamento de manutenção para prevenir a recidiva de esofagite. Tratamento dos sintomas da DRGE, tais como: pirose/azia (queimação retroesternal), regurgitação ácida e dor epigástrica.",79.93,50.38,37,Drogaria Globo,Sudeste,São Paulo,
62,Refil Creme de Limpeza Calmante Vichy Dercos Sensi-Scalp 200ml,7908615000527,VICHY,"Indicado para todos os tipos de cabelo. Lava, condiciona e acalma. Reduz a coceira por até 48 horas. Hidrata os fios sem pesar. Contém Sensirine + Madecassoside.",74.19,74.19,0,Drogaria Globo,Sudeste,São Paulo,
63,Ezetimiba+Sivastatina 10Mg+20Mg Genérico Ems 30 Comprimidos,7896004747057,EZETIMIBA,"Indicada para diminuir os níveis sanguíneos de colesterol total, colesterol LDL (mau colesterol) e substâncias gordurosas denominadas triglicérides. Além disso, ezetimiba + sinvastatina aumenta os níveis de colesterol HDL (bom colesterol).Também é indicada para pacientes com uma condição na qual os rins não estão funcionando adequadamente.",104.51,99.28,5,Drogaria Globo,Sudeste,São Paulo,
64,Creme de Pentear Dove Texturas Reais Crespos 355ml,7891150087293,DOVE,"O creme de pentear Dove Texturas Reais Crespos é um creme nutritivo e liberado, que fortalece* e dá volume para cabelos crespos.",20.39,20.39,0,Drogaria Globo,Sudeste,São Paulo,
65,Creme de Tratamento TRESemmé Hidratação Profunda 400g,7891150023338,TRESEMME,"Indicada para todo tipo de cabelo, a Máscara TRESemmé Hidratação Profunda hidrata profundamente e restaura os fios. Sua fórmula conta com Pantenol e Aloe Vera, que juntos vão dar um boost de hidratação e maciez aos seus cabelos. Tudo isso sem pesar nos fios.",22.59,22.59,0,Drogaria Globo,Sudeste,São Paulo,
66,Shampoo Aussie Smooth 360Ml,7500435130745,AUSSIE,"O Shampoo Aussie Smooth possui fórmula com extrato de óleo de Jojoba, Aloe Vera e Alga Marinha Australiana, que proporciona uma infusão de hidratação, nutrição e muito mais brilho para deixar os seus cabelos lisos e brilhantes, além de livre do frizz.",51.39,51.39,0,Drogaria Globo,Sudeste,São Paulo,
67,Condicionador Pantene Hidrocauterização 175ml,7500435125390,PANTENE,"A coleção Hidro-Cauterização sem sal da Pantene foi criada para cabelos danificados e tratados quimicamente. Sua fórmula Pro-vitamina com óleo de argan hidrata profundamente os cabelos desde a raiz, protegendo-os dos efeitos gerados por tratamentos químicos. Tenha cabelos sedosos, sem aspereza e sem medo de danificá-los ao alisá-los ou penteá-los. Controla o frizz a cada uso!",15.69,12.15,23,Drogaria Globo,Sudeste,São Paulo,
68,Bivolet 5mg 90 Comprimidos,7896112406983,BIVOLET,"Este medicamento é indicado para o tratamento da hipertensão arterial (pressão sanguínea alta) e da insuficiência cardíaca (alteração da função cardíaca) em idosos (acima de 70 anos), com fração de ejeção (quantidade de sangue que sai do coração e vai para todo o organismo através dos vasos quando ocorre o batimento cardíaco) abaixo ou igual 35%.",144.05,119.9,17,Drogaria Globo,Sudeste,São Paulo,
69,Cardilol 25mg 30 Comprimidos,7896094200975,CARDILOL,"Cardilol é um medicamento usado para tratar insuficiência cardíaca congestiva (insuficiência do coração), angina do peito (dor no peito de origem cardíaca) e hipertensão arterial (pressão alta).",74.09,60.49,18,Drogaria Globo,Sudeste,São Paulo,
70,Levotiroxina Sódica 150mcg Genérico Merck 30 Comprimidos,7891721020148,LEVOTIROXINA,Reposição Hormonal,16.62,15.79,5,Drogaria Globo,Sudeste,São Paulo,
71,"Latanoprosta 50mcg/ml + Maleato de Timolol 5mg/ml Genérico Geolab Solução Oftálmica 2,5ml",7899095238312,LATANOPROSTA,"A latanoprosta + maleato de timolol é indicada no tratamento de glaucoma de ângulo aberto (doença crônica do olho em que a pressão dentro deste aumenta, o que pode levar à morte das fibras do nervo óptico e redução progressiva do campo de visão até a perda total da visão) ou hipertensão ocular (condições em que a pressão dentro dos olhos está aumentada, mas sem lesão do nervo óptico).",170.25,105.1,38,Drogaria Globo,Sudeste,São Paulo,
