farmacia,cidade,nome,sku,preco_com_desconto,preco_sem_desconto,desconto,descricao
Oncolog Medicamentos,São Paulo,ACETATO DE ABIRATERONA 250MG - 120 COMPRIMIDOS SUN PHARMA, SKU: 7898272945166,2392.93,2452.75,2.4388951177250107,"PARA QUE ESTE MEDICAMENTO É INDICADO?Acetato de abiraterona, em combinação com os medicamentos prednisona ou prednisolona, é indicado para: - o tratamento de pacientes com câncer de próstata que se disseminou para outras partes do corpo, que não apresentam sintomas ou apresentam sintomas leves, após falha à terapia de privação de androgênios (um hormônio sexual); - o tratamento de pacientes com câncer de próstata que se disseminou para outras partes do corpo e que já receberam quimioterapia com o medicamento docetaxel; Acetato de abiraterona, em combinação com prednisona e terapia de privação androgênica (agonista de hormônio liberador de gonadotrofina ou castração cirúrgica), é indicado para: - o tratamento de pacientes com câncer de próstata metastático de alto risco, com diagnóstico recente, não tratados anteriormente com hormônios (mHNPC) ou pacientes que estavam em tratamento hormonal por não mais que três meses e continuam respondendo à terapia hormonal (mHSPC).VENDA SOB PRESCRIÇÃO MÉDICA.  NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ACETATO DE CIPROTERONA 50MG - 20 COMPRIMIDOS BERGAMO, SKU: 7898149934514,"R$ 70,60",,,"PARA QUE ESTE MEDICAMENTO É INDICADO?O acetato de ciproterona apresenta propriedades antiandrogênicas, ou seja, atua no tratamento de doenças associadas aos hormônios sexuais masculinos, os quais também estão presentes no organismo feminino em pequena quantidade. Converse com o seu médico para obter maiores esclarecimentos sobre a ação do produto e sua utilização.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,AFINITOR - EVEROLIMO 5 MG COM CT BL AL/AL X 30 NOVARTIS, SKU: 7896261016538,"R$ 8.699,10",,,"PARA QUE ESTE MEDICAMENTO FOI INDICADO?Afinitor é indicado para tumores neuroendócrinos avançados (NET) localizados no estômago e intestino, pulmão ou pâncreas.Câncer avançado do(s) rim(ns) (Carcinoma avançado de Células Renais (CCR)) cuja doença tenha progredido durante ou após o tratamento com VEGFR – TKI, quimioterápicos ou imunoterápicos.Astrocitoma subependimário de células gigantes (SEGA, um tumor cerebral específico) associado à esclerose tuberosa (TS).VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ACLASTA - ACIDO ZOLEDRÔNICO 5 MG / 100 ML SOL INJ CT FR PLAS COM 100 ML, SKU: 7896261010451,"R$ 923,75",,,"PARA QUE ESTE MEDICAMENTO ÉINDICADO?Aclasta é utilizado para: • tratamento da osteoporose em mulheres na pós-menopausa para reduzir a incidência de fraturas do quadril, vertebrais e não vertebrais e para aumentar a densidade mineral óssea; • prevenção de fraturas clínicas após fratura de quadril em homens e mulheres na pós-menopausa; • tratamento para aumentar a densidade óssea em homens com osteoporose; • tratamento e prevenção de osteoporose induzida por glicocorticoides; • prevenção de osteoporose em mulheres com osteopenia na pós-menopausa; • tratamento da doença de Paget do osso. COMO ESTE MEDICAMENTO FUNCIONA? A substância ativa do Aclasta® é o ácido zoledrônico. Aclasta® pertence a uma classe de medicamentos denominada bisfosfonatos. Para o tratamento da osteoporose, no tratamento e prevenção da osteoporose induzida por glicocorticoides e na prevenção de fraturas clínicas após fratura de quadril em homens e mulheres na pós-menopausa. Aclasta® age por um ano e você precisará da próxima dose após um ano. Na doença de Paget, Aclasta® pode agir por mais de um ano e seu médico lhe informará se você precisa ser tratado novamente. Para prevenção de osteoporose em mulheres com osteopenia na pós-menopausa, Aclasta® é administrado uma vez, como aplicação única. Após um ano, seu médico decidirá se você precisa de outra dose, com base na sua resposta ao tratamento. Osteoporose e prevenção de fraturas clínicasVENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA, NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ADCETRIS - BRENTUXIMABE VEDOTINA 50 MG PO LIOF INJ CX 1 FA VD TRANS, SKU: 7896641810275,"R$ 22.035,00",,,"PARA QUE ESTE MEDICAMENTO É INDICADO?Este medicamento é indicado para o tratamento de pacientes adultos com:  Linfoma de Hodgkin (LH) CD30+ estadio IV não tratados previamente em combinação com doxorrubicina, vimblastina e dacarbazina.  Linfoma de Hodgkin (LH) com risco aumentado de recidiva ou progressão após transplante autólogo de células tronco.  Linfoma de Hodgkin (LH) CD30+ recidivado ou refratário que: - retornou ou nunca respondeu depois que você recebeu uma infusão de suas próprias células-tronco (transplante autólogo de células-tronco) ou - retornou ou nunca respondeu a pelo menos dois tratamentos anteriores, se você não pode receber quimioterapia combinada para o câncer ou transplante autólogo de células-tronco. Linfoma anaplásico de grandes células sistêmico (LAGCs) não tratados previamente, ou outros linfomas de células T periféricas (LCTP) CD30+, em combinação com ciclofosfamida, doxorrubicina e prednisona (CHP). Linfoma anaplásico de grandes células sistêmico que é encontrado em seus linfonodos e/ou em outras partes de seu corpo que: - nunca respondeu a outros tipos de tratamentos para o câncer ou - retornou depois do último tratamento para o câncer. O linfoma de Hodgkin e o linfoma anaplásico de grandes células sistêmico são tipos de câncer das células brancas do sangue. ï Linfoma anaplásico de grandes células cutâneo primário ou micose fungoide que expressam CD30+ que receberam terapia sistêmica prévia.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,"AFINITOR - EVEROLIMO 2,5 MG COM CT BL AL/AL X 30 NOVARTIS", SKU: 7896261018075,"R$ 3.997,70",,,"PARA QUE ESTE MEDICAMENTO FOI INDICADO?Afinitor é indicado para tumores neuroendócrinos avançados (NET) localizados no estômago e intestino, pulmão ou pâncreas.Câncer avançado do(s) rim(ns) (Carcinoma avançado de Células Renais (CCR)) cuja doença tenha progredido durante ou após o tratamento com VEGFR – TKI, quimioterápicos ou imunoterápicos.Astrocitoma subependimário de células gigantes (SEGA, um tumor cerebral específico) associado à esclerose tuberosa (TS).VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,"AFINITOR - EVEROLIMO 2,5 MG COM CT BL AL/AL X 30 NOVARTIS", SKU: 7896261018075,"R$ 3.997,70",,,"PARA QUE ESTE MEDICAMENTO FOI INDICADO?Afinitor é indicado para tumores neuroendócrinos avançados (NET) localizados no estômago e intestino, pulmão ou pâncreas.Câncer avançado do(s) rim(ns) (Carcinoma avançado de Células Renais (CCR)) cuja doença tenha progredido durante ou após o tratamento com VEGFR – TKI, quimioterápicos ou imunoterápicos.Astrocitoma subependimário de células gigantes (SEGA, um tumor cerebral específico) associado à esclerose tuberosa (TS).VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,AFINITOR - EVEROLIMO 5 MG COM CT BL AL/AL X 30 NOVARTIS, SKU: 7896261016538,"R$ 8.699,10",,,"PARA QUE ESTE MEDICAMENTO FOI INDICADO?Afinitor é indicado para tumores neuroendócrinos avançados (NET) localizados no estômago e intestino, pulmão ou pâncreas.Câncer avançado do(s) rim(ns) (Carcinoma avançado de Células Renais (CCR)) cuja doença tenha progredido durante ou após o tratamento com VEGFR – TKI, quimioterápicos ou imunoterápicos.Astrocitoma subependimário de células gigantes (SEGA, um tumor cerebral específico) associado à esclerose tuberosa (TS).VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ALECENSA - RABEPRAZOL SÓDICO 150 MG C/224 CÁPSULA DURA, SKU: 7613326002486,33452.48,34571.5,3.2368280230825803,"PARA QUE ESTE MEDICAMENTO É INDICADO? Alecensa  está indicado para o tratamento de pacientes com câncer de pulmão do tipo de “não pequenas células”, que esteja localmente avançado ou metastático e que seja ALK positivo. Alecensa® também está indicado para o tratamento de pacientes com câncer de pulmão do tipo de “não pequenas células”, que esteja localmente avançado ou metastático e que seja ALK positivo e que tenham progredido durante o uso de outro medicamento chamado crizotinibe, ou que sejam intolerantes a ele.COMO ESTE MEDICAMENTO FUNCIONA? Alecensa inibe a atividade do receptor tirosina quinase ALK, o que leva ao bloqueio de vias responsáveis pelo crescimento e sobrevivência do tumor. Além disso, Alecensa  induz a morte das células tumorais. Alectinibe, subtância ativa de Alecensa®, demonstrou atividade contra formas mutantes de ALK, que incluem mutações responsáveis pela resistência ao crizotinibe. Alecensa demonstrou ser capaz de se distribuir e permanecer dentro do sistema nervoso central. Alecensa® levou à regressão do tumor em estudos realizados com camundongos, isso incluiu atividade antitumoral no cérebro e prolongamento da vida animais com tumor intracraniano. Depois que você ingere a cápsula de Alecensa®, a medicação é absorvida e atinge a quantidade máxima no sangue entre 4 (quatro) e 6 (seis) horas. Após 7 (sete) dias de uso, um estado de equilíbrio da quantidade de medicação é atingido no seu sangue.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO PROFISSIONAL. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,ALFAEPOETINA - ERITROPOETINA 4.000UI - 1 FRASCO COM 1ML, SKU: 7896014660179,29.99,32.0,6.28125,"PARA QUE ESTE MEDICAMENTO É INDICADO?A alfaepoetina injetável (rHu EPO) esta destinada para o tratamento de anemia em pacientes com insuficiência renal e que se submetem ao regime de diálise. Também é destinada para o tratamento de anemia associado ao câncer e utilização de quimioterápicos, anemia em portador de AIDS submetido ao AZT, em procedimentos pré e perioperatórios, em doenças crônico-degenerativas (artrite-reumatoide).VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,AVASTIN - BEVACIZUMABE 100MG - 1 FRASCO COM 4ML, SKU: 7896226505015,1920.0,2384.61,19.48368915671746,"PARA QUE ESTE MEDICAMENTO É INDICADO?Câncer colorretal metastático (CCRm) Avastin® , em combinação com quimioterapia à base de fluoropirimidina, é indicado para o tratamento de pacientes com carcinoma metastático do cólon ou do reto.Câncer de pulmão de não pequenas células localmente avançado, metastático ou recorrente Avastin® , em combinação com quimioterapia à base de platina, é indicado para o tratamento de primeira linha de pacientes com câncer de pulmão de não pequenas células, não escamoso, irressecável, localmente avançado, metastático ou recorrente. Avastin® , em combinação com erlotinibe, é indicado para o tratamento de primeira linha de pacientes com câncer de pulmão de não pequenas células, não escamoso, irressecável, avançado, metastático ou recorrente com mutações ativadoras de EGFR (receptor do fator de crescimento epidérmico).Câncer de mama metastático ou localmente recorrente (CMM) Avastin® , em combinação com paclitaxel, é indicado para o tratamento em primeira linha de pacientes com câncer de mama localmente recorrente ou metastático que não tenham recebido quimioterapia prévia para doença metastática ou localmente recorrente. Avastin® , em combinação com capecitabina, é indicado para o tratamento em primeira linha de pacientes com câncer de mama localmente recorrente ou metastático para os quais o tratamento com outras opções de quimioterapia, incluindo taxanos e antraciclinas, não seja considerado apropriado. Pacientes que tenham recebido regimes de tratamento adjuvante contendo taxanos e antraciclinas 2 nos últimos 12 meses não são elegíveis ao tratamento com Avastin® em combinação com capecitabina.Câncer de células renais metastático e/ ou avançado (mRCC) Avastin® , em combinação com alfainterferona 2a, é indicado para o tratamento de primeira linha de pacientes com câncer de células renais avançado e/ ou metastático.Câncer epitelial de ovário, tuba uterina e peritoneal primário Avastin® , em combinação com carboplatina e paclitaxel, é indicado para o tratamento de primeira linha de pacientes com câncer epitelial de ovário, tuba uterina e peritoneal primário avançados (International Federation of Gynecology and Obstetrics – FIGO – III B, III C e IV). Avastin® , em combinação com carboplatina e gencitabina, é indicado para o tratamento de pacientes adultos com câncer epitelial de ovário, tuba uterina e peritoneal primário com primeira recorrência e sensível à platina, sem terapia prévia com bevacizumabe ou outros inibidores de VEGF ou agentes direcionados a receptores de VEGF. Avastin® , em combinação com paclitaxel, topotecana ou doxorrubicina lipossomal peguilada, é indicado para o tratamento de pacientes com câncer epitelial de ovário, tuba uterina e peritoneal primário, recorrentes e resistentes à platina, que não tenham recebido mais do que dois regimes prévios de quimioterapia e que não receberam terapia prévia com bevacizumabe ou outros inibidores de VEGF ou agentes direcionados a receptores de VEGF.Câncer de colo do útero Avastin® , em combinação com paclitaxel e cisplatina ou, alternativamente, paclitaxel e topotecana em pacientes que não podem receber terapia com platina, é indicado para o tratamento de câncer de colo do útero persistente, recorrente ou metastático.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO. "
Oncolog Medicamentos,São Paulo,AVASTIN - BEVACIZUMABE 400MG - 1 FRASCO COM 16ML, SKU: 7896226505022,"R$ 8.485,00",,,"PARA QUE ESTE MEDICAMENTO É INDICADO?Câncer colorretal metastático (CCRm) Avastin® , em combinação com quimioterapia à base de fluoropirimidina, é indicado para o tratamento de pacientes com carcinoma metastático do cólon ou do reto.Câncer de pulmão de não pequenas células localmente avançado, metastático ou recorrente Avastin® , em combinação com quimioterapia à base de platina, é indicado para o tratamento de primeira linha de pacientes com câncer de pulmão de não pequenas células, não escamoso, irressecável, localmente avançado, metastático ou recorrente. Avastin® , em combinação com erlotinibe, é indicado para o tratamento de primeira linha de pacientes com câncer de pulmão de não pequenas células, não escamoso, irressecável, avançado, metastático ou recorrente com mutações ativadoras de EGFR (receptor do fator de crescimento epidérmico).Câncer de mama metastático ou localmente recorrente (CMM) Avastin® , em combinação com paclitaxel, é indicado para o tratamento em primeira linha de pacientes com câncer de mama localmente recorrente ou metastático que não tenham recebido quimioterapia prévia para doença metastática ou localmente recorrente. Avastin® , em combinação com capecitabina, é indicado para o tratamento em primeira linha de pacientes com câncer de mama localmente recorrente ou metastático para os quais o tratamento com outras opções de quimioterapia, incluindo taxanos e antraciclinas, não seja considerado apropriado. Pacientes que tenham recebido regimes de tratamento adjuvante contendo taxanos e antraciclinas 2 nos últimos 12 meses não são elegíveis ao tratamento com Avastin® em combinação com capecitabina.Câncer de células renais metastático e/ ou avançado (mRCC) Avastin® , em combinação com alfainterferona 2a, é indicado para o tratamento de primeira linha de pacientes com câncer de células renais avançado e/ ou metastático.Câncer epitelial de ovário, tuba uterina e peritoneal primário Avastin® , em combinação com carboplatina e paclitaxel, é indicado para o tratamento de primeira linha de pacientes com câncer epitelial de ovário, tuba uterina e peritoneal primário avançados (International Federation of Gynecology and Obstetrics – FIGO – III B, III C e IV). Avastin® , em combinação com carboplatina e gencitabina, é indicado para o tratamento de pacientes adultos com câncer epitelial de ovário, tuba uterina e peritoneal primário com primeira recorrência e sensível à platina, sem terapia prévia com bevacizumabe ou outros inibidores de VEGF ou agentes direcionados a receptores de VEGF. Avastin® , em combinação com paclitaxel, topotecana ou doxorrubicina lipossomal peguilada, é indicado para o tratamento de pacientes com câncer epitelial de ovário, tuba uterina e peritoneal primário, recorrentes e resistentes à platina, que não tenham recebido mais do que dois regimes prévios de quimioterapia e que não receberam terapia prévia com bevacizumabe ou outros inibidores de VEGF ou agentes direcionados a receptores de VEGF.Câncer de colo do útero Avastin® , em combinação com paclitaxel e cisplatina ou, alternativamente, paclitaxel e topotecana em pacientes que não podem receber terapia com platina, é indicado para o tratamento de câncer de colo do útero persistente, recorrente ou metastático.VENDA SOB PRESCRIÇÃO MÉDICA. NÃO FAÇA USO DE NENHUM MEDICAMENTO SEM ORIENTAÇÃO MÉDICA. NÃO COLOQUE SUA SAÚDE EM RISCO."
Oncolog Medicamentos,São Paulo,AVENTAL DESCARTÁVEL  NÃO ESTÉRIL- 40 G/M² COM 10 UNIDADES - COR BRANCA - NAYR SAUDE, SKU: 7899356900521,49.9,59.9,16.694490818030047,"Indicação: Ideal para uso em área médica, odontológicaCondições de armazenamento:Armazenar em local limpo, seco, fresco, protegido da luz, umidade e calor excessivo.Prazo de validade 5 anos após a data de fabricaçãoA validade do produto é garantida enquanto as embalagens permanecerem íntegras, dentro do prazo estabelecido na rotulagem do produto."
