,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
6,DULCOLAX C/20 DRAGEAS*,SANOFI CONSUMO,,"R$ 14,99",101029,80986
7,EPOCLER FLACO UNITA,HYPERA PHARMA,,"R$ 3,77",618747,81250
8,ATROVERAN DIP 1G ENVE C/4 CPR,HYPERA PHARMA,,"R$ 6,75",6070850,98717
9,ESTOMAZIL GUARANA 1ENV C/5G,HYPERA PHARMA,,"R$ 3,08",9991771,104480
10,ENO PROBIOTICO 30CAPS,HALEON,"R$ 82,90","R$ 41,45",9995215,107049
11,SAL DE FRUTA ENO TRAD C/2 SACHES,HALEON,,"R$ 4,38",4998609,88392
12,SAL DE FRUTA ENO LARANJA C/2ENV,HALEON,,"R$ 4,38",4998608,88383
13,SAL DE FRUTA ENO LIMAO C/2 ENV,HALEON,,"R$ 4,38",4998611,88386
14,SIMETICONA GEN BIO GTS 10ML**,BIOSINTÉTICA,,"R$ 12,00",558879,88849
15,ESTOMAZIL LARANJA ENV 5G,HYPERA PHARMA,,"R$ 3,08",1698636,81948
16,SAL DE FRUTA ENO ABACAXI C/2ENV*,HALEON,,"R$ 4,38",4998663,88377
17,Probiotico Enterogermina Plus com 10 frascos de 5ml cad...,SANOFI CONSUMO,"R$ 70,99","R$ 57,99",373101,99091
18,REPOFLOR 100MG C/12 CAPSULAS**,LEGRAND,"R$ 56,53","R$ 48,05",9189518,87618
19,SAL DE FRUTA ENO TONICA C/2 ENV,HALEON,,"R$ 3,91",9993866,106532
20,EPAREMA FLAC UNIT 10ML,HYPERA PHARMA,,"R$ 4,17",218705,81226
21,LUFTAFEM 200/500MG C/6CPR,RECKITT,"R$ 15,99","R$ 13,59",9991794,104508
22,GASTROL LIMAO ENV 5G,HYPERA PHARMA,,"R$ 3,54",6070860,98744
23,"DULCOLAX 7,5MG GTS 30ML",SANOFI CONSUMO,,"R$ 29,99",9993826,105555
24,"MINILAX C/7 BISN 6,5GR**",MOMENTA,"R$ 49,48","R$ 42,06",9078802,85064
25,LUFTAGASTROPRO C/12 SACHE 10ML,RECKITT BENCKISER,,"R$ 39,89",7160807,95521
26,SAL DE FRUTA ENO GUARANA C/2 ENV*,HALEON,,"R$ 4,38",4990215,88380
27,LUFTAL 125MG C/20 CAPS GELATINOSAS*,RECKITT BENCKISER,"R$ 51,90","R$ 38,50",9989941,102618
28,ESTOMAZIL S/ SABOR ENV 5G,HYPERA PHARMA,,"R$ 3,08",9993096,105136
29,LACTO PURGA ENV C/6CPR,HYPERA PHARMA,,"R$ 5,27",1698628,83788
30,PASTILHAS MASTIGAVEIS ENO MENTA C/4,ENO,,"R$ 4,86",9991186,103872
31,GASTROL PASTILHA ENV C/10,HYPERA PHARMA,,"R$ 9,79",6070862,98746
32,ENO PROBIOTICO 10CAPS,HALEON,"R$ 48,90","R$ 24,45",9995214,107048
33,HIDRALYTE 45 GUARANA 500ML,NATULAB,,"R$ 14,89",9992226,105618
34,MUVINLAX C/20SACHES 14G**,LIBBS,,"R$ 49,40",1838816,85209
35,Pepsamar 20 blisteres com 10 comprimidos,HYPERA PHARMA,,"R$ 6,58",178711,86576
36,EPAREMA 10ML GUARANA,HYPERA PHARMA,,"R$ 4,17",218727,81217
37,FLOMICIN 100MG 12 CAPS,NEO QUIMICA,,"R$ 54,24",9990489,103165
38,"PEG LAX 8,5G SEM SABOR 14ENV",MYRALIS PHARMA,"R$ 37,90","R$ 34,90",9991590,104286
39,PHOSFOENEMA 130ML**,SUPERAFARMA,,"R$ 19,47",11001,86609
40,VONAU FLASH 4MG C/10 CPR SABOR MENTA*,BIOLAB,"R$ 45,56","R$ 38,73",9990163,102839
41,LOPERAMIDA GEN 2MG C/12CPR SANDOZ,SANDOZ,"R$ 6,93","R$ 4,84",9438844,95460
42,VONAU FLASH 8MG 10CPR**,BIOLAB,"R$ 89,73","R$ 76,27",808825,90401
43,ENGOV C/6CPR,HYPERA PHARMA,,"R$ 8,86",1698629,81191
44,ESOMEPRAZOL MAG GEN 20MG C/14 ASTRAZENECA,SANDOZ,"R$ 68,90","R$ 24,99",4950105,81802
45,LUFTAL 40MG C/20CPR*,RECKITT BENCKISER,,"R$ 36,90",501031,84509
46,GASTROL LARANJA ENV 5G,HYPERA PHARMA,,"R$ 3,54",6070856,98742
47,LUFTAFEM 200/500MG C/12CPR,RECKITT,"R$ 29,99","R$ 4,99",9991793,104507
48,SIMBIOFLORA C/15 SACHES**,FARMOQUIMICA,"R$ 85,99","R$ 73,09",4411802,88840
49,CLORIDRATO DE ONDANSETRONA GEN 4MG 10CPR MEDLEY,MEDLEY,"R$ 23,31","R$ 15,09",9994054,106707
50,DEXILANT 30MG C/30 CAPS RETARD,TAKEDA,"R$ 120,63","R$ 102,54",218733,96251
51,DOMPERIDONA GEN 1MG SUSP MEDLEY 100ML**,MEDLEY,"R$ 33,97","R$ 17,50",538881,80865
52,EPOCLER FLACONETES C/6,HYPERA PHARMA,,"R$ 22,05",6078301,81251
53,DEXILANT 60MG C/30 CAPS RETARD,TAKEDA,"R$ 120,63","R$ 102,54",218732,94171
54,SONRISAL LIMAO C/2 COMP,HALEON,,"R$ 2,69",4998665,89013
55,Supositorio de Glicerina Adulto com 12 Unidades,PONTELAND,,"R$ 24,90",1778621,89232
56,GASTROL ABACAXI ENV 5G,HYPERA PHARMA,,"R$ 3,54",6070858,98740
57,LEITE MAGNE LIQ 120ML*,ASPEN PHARMA,,"R$ 18,93",4998707,83948
58,EPAREMA 10ML LARANJA FLAC,HYPERA PHARMA,,"R$ 4,17",218725,81218
59,HIDRALYTE 45 UVA 500ML,NATULAB,,"R$ 14,89",9992228,105620
60,XANTINON C/10CPR,UNIAO QUIMICA,,"R$ 5,53",218842,90430
61,NEXIUM 40MG C/28 CPR **,ASTRAZENECA,"R$ 380,49","R$ 323,42",1591428,85523
62,OLEO MINERAL 100ML UNIAO QUIMICA**,UNIAO QUIMICA,"R$ 21,57","R$ 18,33",9184302,86128
63,SAL DE FRUTA ENO TRAD VIDRO 100GR,HALEON,,"R$ 28,91",4990211,88393
64,ENTEROGERMINA 5ML COM 10 FLACONETES*,SANOFI CONSUMO,"R$ 44,99","R$ 36,99",626801,81205
65,ESOMEPRAZOL MAG GEN 40MG C/28 MEDLEY,MEDLEY,"R$ 170,04","R$ 127,50",9993666,106350
66,BICARBONATO DE SODIO 100G ADV,COLGATE,,"R$ 8,99",1257868,93645
67,DIGESAN GOTAS 20ML,EUROFARMA,"R$ 45,26","R$ 38,47",161102,80733
68,ESTOMAZIL ABACAXI ENV,HYPERA PHARMA,,"R$ 3,08",1698624,81945
69,EPOCLER ABACAXI C/12FLAC,HYPERA PHARMA,,"R$ 43,22",618726,81249
70,MYLANTA PLUS MORANGO 240ML*,JOHNSON & JOHNSON - OTC,,"R$ 52,92",540232,85214
71,NUJOL 200ML**,HYPERA PHARMA,,"R$ 113,45",578612,85814
72,VONAU FLASH 8MG C/10 CPR SABOR MENTA,BIOLAB,"R$ 89,73","R$ 76,27",9990164,102840
73,Tiorfan 100mg com 9 Comprimidos,BAGO,"R$ 53,57","R$ 45,53",568727,89674
74,DRAMIN B6 C/30CPR **,HYPERA PHARMA,"R$ 24,29","R$ 20,65",218834,80959
75,MYLANTA PLUS 240ML*,JOHNSON & JOHNSON - OTC,,"R$ 52,92",540230,85213
76,NAUSEDRON 8MG C/10CPR,CRISTALIA,"R$ 81,75","R$ 69,49",10404,85280
77,XANTINON C/30CPR,UNIAO QUIMICA,,"R$ 14,99",218680,90431
78,DRAMIN 50MG CAIXA C/10 CAPSGEL*,HYPERA PHARMA,"R$ 19,73","R$ 16,77",210303,80957
79,NEXIUM 20MG C/28 CPR*,ASTRAZENECA,"R$ 182,04","R$ 154,73",1591427,85520
80,NEXIUM 40MG C/14 CPR,ASTRAZENECA,"R$ 190,29","R$ 161,75",1591423,85522
81,SAL DE FRUTA ENO LARANJA 100GR*,HALEON,,"R$ 28,91",4991401,88381
83,SAL DE FRUTA ENO TABS C/48CPR MAST,HALEON,,"R$ 40,32",538849,88845
84,SIMETICONA GEN 125MG C/10CPS MEDLEY**,MEDLEY,"R$ 23,16","R$ 12,90",4998605,89011
85,SONRISAL C/2 COMP,HALEON,,"R$ 2,69",998769,91034
86,Ursacol 150mg 30 comprimidos,ZAMBON,"R$ 155,07","R$ 131,81",808824,90400
87,Vonau flash 4mg com 10 Comprimidos,BIOLAB,"R$ 45,56","R$ 38,73",4417401,83794
88,LACTOFOS C/15 SACHES 6GR**,FARMOQUIMICA,,"R$ 84,90",2651005,89332
89,Tamarine 12mg com 20 Capsulas,HYPERA PHARMA,,"R$ 89,60",800807,98480
90,VONAU FLASH 4MG C/30 CPR**,BIOLAB,"R$ 111,68","R$ 94,93",800808,98481
91,Vonau Flash 8mg com 30 comprimidos,BIOLAB,"R$ 219,90","R$ 186,92",218621,81223
92,EPAREMA C/12 FLAC 10ML,HYPERA PHARMA,,"R$ 47,15",9992286,105652
93,LISTO 8MG C/10CPR,BIOLAB,"R$ 51,82","R$ 44,05",9990551,103227
94,LUFTAL INFANTIL GTS 15ML,RECKITT BENCKISER,,"R$ 34,90",7252801,96037
95,METAMUCIL POTE ORIGINAL 210G,PROCTER&GAMBL-OTC,"R$ 113,50","R$ 49,90",9992232,105622
96,HIDRALYTE 45 AGUA COCO 500ML,NATULAB,,"R$ 14,89",9991574,104270
97,INZELM 20MG 30CPR,TAKEDA,"R$ 216,34","R$ 183,89",6070817,96345
98,TAMARINE ZERO ACUCAR GEL 250GR **,HYPERA PHARMA,,"R$ 113,54",9993176,105231
99,CLORIDRATO DE ONDANSETRONA 4MG 10CPR,BIOLAB,"R$ 27,13","R$ 16,28",9993177,105232
100,CLORIDRATO DE ONDANSETRONA 8MG 10CPR,BIOLAB,"R$ 53,43","R$ 32,06",348627,82248
101,FLAGASS 75MG GTS 10ML**,ACHE,,"R$ 25,31",9992233,105623
102,HIDRALYTE 45 LARANJA 500ML,NATULAB,,"R$ 17,30",4998708,83949
103,LEITE MAGNE LIQ 350ML*,ASPEN PHARMA,,"R$ 29,90",9351411,88850
104,SIMETICONA GEN GTS 15ML EMS,EMS,"R$ 20,05","R$ 8,99",638688,88936
105,"Slow-K 600mg, 20 comprimidos",GENOM,"R$ 17,87","R$ 15,19",9991526,104218
106,SUPOSITORIO DE GLICERINA INFANTIL P/LACTENTES GRANADO C...,GRANADO,,"R$ 20,14",6070816,96344
107,TAMARINE ZERO ACUCAR GEL 150GR**,HYPERA PHARMA,,"R$ 84,64",203801,96935
108,Carverol 250mg com 20 Comprimidos,UNIAO QUIMICA,,"R$ 31,99",9994053,106706
109,CLORIDRATO DE ONDANSETRONA GEN 8MG 10CPR MEDLEY,MEDLEY,"R$ 45,94","R$ 35,29",218730,94172
110,DEXILANT 60MG C/60 CAPS RETARD,TAKEDA,"R$ 241,24","R$ 205,05",161101,80731
111,DIGESAN 10MG C/20CAPS**,EUROFARMA,"R$ 51,77","R$ 44,00",1868727,94693
112,Floratil At 250mg 10 Saches,FARMOQUIMICA,"R$ 87,08","R$ 69,90",7160804,95525
113,LUFTAL GTS 30ML,RECKITT BENCKISER,"R$ 55,90","R$ 46,90",1808816,85156
114,MOTILIUM 10MG C/90CPR**,CELLERA FARMA,"R$ 85,75","R$ 72,89",9351410,86169
115,OMEPRAZOL GEN 20MG C/28CAPS EMS*,EMS,"R$ 28,92","R$ 16,70",530819,91584
116,OMEPRAZOL GEN 20MG C/42 CAPS MEDLEY*,MEDLEY,"R$ 57,95","R$ 39,99",4991411,88375
117,SAL DE FRUTA ENO ABACAXI 100GR*,HALEON,,"R$ 28,91",2651002,89334
118,Tamarine 6mg com 20 Capsulas,HYPERA PHARMA,,"R$ 87,20",568733,89676
119,Tiorfan 30mg 18 Saches,BAGO,"R$ 61,99","R$ 52,69",201002,67839
120,BISALAX 5MG C/20CPR**,UNIAO QUIMICA,,"R$ 8,50",9989925,102605
121,CAMILIA C/10 FLACONETES SOLUCAO ORAL,BOIRON,,"R$ 84,90",218731,94170
122,DEXILANT 30MG C/60 CAPS RETARD,TAKEDA,"R$ 241,24","R$ 205,05",6070801,81190
123,ENGOV C/24CPR,HYPERA PHARMA,,"R$ 27,70",1580606,95235
124,LACDAY TAB C/30 CPR MAST,EMS,,"R$ 84,90",4998705,83947
125,LEITE MAGNE HORTE 350ML **,ASPEN PHARMA,,"R$ 29,90",531416,86164
126,OMEPRAZOL GEN 10MG C/14CAPS MEDLEY,MEDLEY,"R$ 20,36","R$ 13,99",9993828,106499
127,PANTOPRAZOL GEN 20MG 28CPR NOVARTIS,NOVARTIS BIOCIENCIAS,"R$ 32,74","R$ 21,96",1300101,98210
128,"PEG-LAX 14ENV 17,5GR",MYRALIS PHARMA,"R$ 44,87","R$ 42,90",1778622,89234
129,Supositório de Glicerina Infantil 12 supositórios,PONTELAND,,"R$ 22,90",9991471,104163
130,CULTURELLE PROBIOTICO SAUDE DIGESTIVA C/10 CAPS,CELLERA FARMA,"R$ 77,37","R$ 61,90",9358754,80859
131,DOMPERIDONA GEN 10MG C/30CPR EMS,EMS,"R$ 21,04","R$ 9,84",210302,80955
132,DRAMIN 25MG CAIXA C/10 CAPSGEL,HYPERA PHARMA,"R$ 19,73","R$ 16,77",1978603,81008
133,DUSPATALIN 200MG C/30CAPS**,ABBOTT,"R$ 204,46","R$ 173,79",9990763,103442
134,ENGOV AFTER SABOR BERRY VIBES 250ML,HYPERA PHARMA,,"R$ 10,90",6078605,95238
135,LACTO PURGA C/16 CP,HYPERA PHARMA,,"R$ 12,40",9990198,102874
136,LEITE DE MAGNESIA ENO SABOR HORTELA 120ML,HALEON,,"R$ 14,99",9990199,102875
137,LEITE DE MAGNESIA ENO SABOR HORTELA 350ML,HALEON,,"R$ 23,90",9992285,105651
138,LISTO 4MG 10CPR,BIOLAB,"R$ 27,60","R$ 23,46",501035,84511
139,LUFTAL 125MG C/10 CAPS GELATINAS*,RECKITT BENCKISER,"R$ 27,90","R$ 19,90",171408,86578
140,PEPSAMAR C/50CPR,HYPERA PHARMA,,"R$ 35,49",211002,86880
141,PLANTABEN 30 SACHES 5G*,MYLAN LABORATÓRIOS LTDA,"R$ 175,33","R$ 149,03",9189522,87619
142,REPOFLOR INFANTIL C/4 ENV,LEGRAND,"R$ 41,05","R$ 34,89",6071002,91934
143,TAMARINE FIBRAS 250G,HYPERA PHARMA,,"R$ 98,50",6071001,91288
144,TAMARINE FIBRAS C/10 SACHES **,HYPERA PHARMA,,"R$ 52,37",349501,93546
145,AVIDE 100MG C/9 CAPSULAS,ACHE,"R$ 52,91","R$ 44,97",9990253,102929
146,BEBIDA ENGOV AFTER SABOR CITRUS 250ML,HYPERA PHARMA,,"R$ 10,90",9990254,102930
147,BEBIDA ENGOV AFTER SABOR TANGERINA 250ML,HYPERA PHARMA,,"R$ 10,90",9992302,105659
148,CAMILIA C/30 FLACONETES SOLUCAO ORAL,BOIRON,,"R$ 150,89",9994067,106718
149,CLORIDRATO DE ONDANSETRONA GEN 8MG 10CPR ALTHAIA,ALTHAIA,"R$ 45,92","R$ 27,55",340121,80730
150,DIGEPLUS C/30 CAPS,ACHE,"R$ 53,12","R$ 45,15",218501,80961
151,DRAMIN B6 GTS PED 30ML**,HYPERA PHARMA,"R$ 23,17","R$ 19,69",1971001,81000
152,DUPHALAC 200ML **,ABBOTT,,"R$ 57,44",340173,82073
153,FAMOX 20MG 10CPR,ACHE,"R$ 32,64","R$ 27,74",1868638,82367
154,FLORATIL 200MG PED C/4 ENVELOPES,FARMOQUIMICA,"R$ 40,54","R$ 34,49",2038716,83227
155,Humectol D com 20 Drageas,HYPERA PHARMA,,"R$ 18,16",9993465,105396
156,LACDAY TAB C/60 CPR MAST,CHIESI,,"R$ 129,90",1580613,96801
157,LACDAY TAB C/8 CPR MAST,EMS,,"R$ 25,99",1848612,83800
158,LACTULONA XPE 120ML AMEIXA**,DAIICHI-SANKYO,,"R$ 58,46",9990201,102877
159,LEITE DE MAGNESIA ENO SABOR TRADICIONAL 350ML,HALEON,,"R$ 23,90",138621,84424
160,LONIUM 40MG C/30CPR,APSEN DO BRASIL,"R$ 78,77","R$ 66,95",1591431,95512
161,Losec Mups 10mg 28 Comprimidos,BIOPAS BRASIL PRODUTOS FARMACE,"R$ 285,20","R$ 242,42",1591422,85519
162,NEXIUM 20MG C/14 CPR*,ASTRAZENECA,"R$ 91,02","R$ 77,37",9071424,86344
163,PANTOCAL 20MG C/28CPR,EUROFARMA,"R$ 110,44","R$ 93,87",9071426,86346
164,PANTOCAL 40MG C/28CPR,EUROFARMA,"R$ 194,76","R$ 165,55",211402,86374
165,PANTOZOL 20MG C/28CPR**,TAKEDA,"R$ 241,24","R$ 205,05",910207,86650
166,PIDOMAG C/12 FLACONETES,BALDACCI,,"R$ 78,61",1805601,87631
167,Resolor 2mg 28 Comprimidos,JANSSEN-CILAG,"R$ 363,53","R$ 309,00",4991402,88378
168,SAL DE FRUTA ENO GUARANA 100GR*,HALEON,,"R$ 28,91",4991403,88384
169,SAL DE FRUTA ENO LIMAO 100GR*,HALEON,,"R$ 28,91",1890802,97611
170,Silimalon 100mg + 70mg 30 drageas,ZYDUS,"R$ 77,92","R$ 66,23",9993805,106478
171,SIMETICONA 125MG 10CPS BIOLAB,BIOLAB,"R$ 12,88","R$ 9,90",1581402,89138
172,Sucrafilm 2g com 20 flaconetes de 10mL,EMS,"R$ 112,31","R$ 95,46",218682,90432
173,XANTINON COMPLEX 100ML,UNIAO QUIMICA,,"R$ 17,00",9991474,104166
174,"CULTURELLE PROBIOTICO JUNIOR C/6 SACHES 1,2G",CELLERA FARMA,"R$ 41,12","R$ 36,90",538895,80728
175,DIGEDRAT 200MG COM 60 CAPSULAS,HYPERA PHARMA,"R$ 252,18","R$ 214,35",9993665,106349
176,ESOMEPRAZOL MAG GEN 20MG C/28 MEDLEY,MEDLEY,"R$ 74,49","R$ 55,85",1580803,94466
177,ESOMEX 20MG C/28 COMP REV,EMS,"R$ 148,09","R$ 125,88",9990969,103649
178,ESTOMAZIL ABACAXI 6 ENV,HYPERA PHARMA,,"R$ 14,00",130816,99669
179,INILOK 40MG C/60 CPR REV,APSEN,"R$ 123,60","R$ 105,06",4998704,83946
180,LEITE MAGNE HORTE 120ML**,ASPEN PHARMA,,"R$ 15,16",9993446,106193
181,LOGNIS 60CPR REV,APSEN DO BRASIL,,"R$ 283,41",218735,99972
182,MESACOL 500MG C/15 SUP,TAKEDA,"R$ 151,85","R$ 129,07",578607,85813
183,NUJOL 120ML*,HYPERA PHARMA,,"R$ 85,89",9991124,103809
184,OMEPRAZOL GEN 40MG C/7CAPS GERMED,GERMED - GENERICO,"R$ 60,09","R$ 11,59",9078762,92765
185,PROMESTRIENO GEN CR VAG 30G+20 APLIC EUR,EUROFARMA,"R$ 68,15","R$ 64,20",9993865,106531
186,SAL DE FRUTA ENO TONICA 100G,HALEON,,"R$ 28,91",6078614,98726
187,TAMARINE PROBIUM 250MG C/30 CAPS,HYPERA PHARMA,,"R$ 107,10",211410,89399
188,Tecta 40mg 60 Comprimidos,TAKEDA,"R$ 528,69","R$ 449,39",998770,91035
189,Ursacol 300mg 30 Comprimidos,ZAMBON,"R$ 306,53","R$ 260,55",9992422,105745
190,ABRILAR LIQ 200ML MENTA,FARMOQUIMICA,"R$ 81,86","R$ 69,58",6070853,98716
191,ATROVERAN DIP 1G 20CPR,HYPERA PHARMA,,"R$ 25,51",1970703,67752
192,BETASERC 24MG C/60CPR,ABBOTT,"R$ 118,51","R$ 100,73",9991472,104164
193,CULTURELLE PROBIOTICO JUNIOR C/10 CPR,CELLERA FARMA,"R$ 64,87","R$ 51,99",520804,94228
194,DUSPATALIN 200MG C/60 CAPS,ABBOTT,"R$ 408,89","R$ 347,56",9994048,106701
195,ENTEROGERMINA ADULTO 9ENV 2GR,SANOFI +,"R$ 70,99","R$ 47,99",9993762,106436
196,EPOCLER TODO DIA 60 CPR,HYPERA PHARMA,"R$ 25,90","R$ 16,90",6078701,94494
197,ESTOMAZIL ABACAXI POTE 100G,HYPERA PHARMA,,"R$ 25,25",9991103,103788
198,ESTOMAZIL SEM SABOR 6ENV,HYPERA PHARMA,"R$ 14,00","R$ 11,99",9358627,83172
199,HIDROXIDO ALUMINIO SUSP 240ML EMS**,EMS,"R$ 21,45","R$ 13,62",9991573,104269
200,INZELM 10MG 60CPR,TAKEDA,"R$ 373,84","R$ 317,76",1848637,83801
201,LACTULONA XPE 120ML SALADA FRUTAS **,DAIICHI-SANKYO,,"R$ 58,46",538805,101243
202,LANSOPRAZOL GEN 15MG C/28CAPS MEDLEY,MEDLEY,"R$ 109,74","R$ 68,90",218637,83911
203,LEGALON SUSP 100ML,MYLAN LABORATÓRIOS LTDA,,"R$ 99,20",9990200,102876
204,LEITE DE MAGNESIA ENO SABOR TRADICIONAL 120ML**,HALEON,,"R$ 14,99",1591430,95513
205,LOSEC MUPS 20MG C/28 COMP REV**,BIOPAS BRASIL PRODUTOS FARMACE,"R$ 487,70","R$ 414,54",210204,84966
206,MESACOL 800MG C/30CPR,TAKEDA,"R$ 253,32","R$ 215,32",9994023,106678
207,OMEPRAZOL GEN 20MG C/28CAPS GERMED,GERMED - GENERICO,"R$ 28,92","R$ 25,90",531418,86176
208,OMEPRAZOL GEN 40MG C/7CAPS MEDLEY **,MEDLEY - GENERICO,"R$ 37,80","R$ 25,99",9993759,106433
