,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
39,COLONIA BABY J&J LAVANDA 400ML,JOHNSON & JOHNSON-HIGIENE,"R$ 70,40","R$ 65,90",9993603,106297
40,"ADVIPRO AERO 11,6MG/G 85ML",HALEON,"R$ 52,91","R$ 26,99",9994402,107159
41,LAVITAN CABELO BARBA HOMEM 60CPR,CIMED,"R$ 24,00","R$ 16,99",9994389,108229
42,CREME DENTAL COLGATE LUMINOUS WHITE LOVERS MANCHAS DE C...,COLGATE,"R$ 22,43","R$ 15,90",9992091,104813
43,GEL CAB BOZZANO A/PROLONG 300G,COTY BRASIL -RISQUE,"R$ 17,90","R$ 12,99",7138607,98645
44,SHAMPOO CLEAR MEN 2 EM 1 ANTICASPA 400ML,CLEAR,"R$ 33,69","R$ 24,90",9990931,103611
45,CENTRUM HOMEM C/60 CPR,HALEON,"R$ 132,89","R$ 99,90",658503,68461
46,ESCOVA DENTAL COLGATE SLIM SOFT BLACK C/4UNID,COLGATE,"R$ 33,90","R$ 26,90",9992146,104868
47,DESODORANTE REXONA AERO MEN CLINICAL 55ML,UNILEVER BRASIL,"R$ 9,90","R$ 7,90",9994882,107469
48,CARGA DE BARBEAR GILLETTE MACH3 ACQUA GRIP SENSITIVE C/...,GILLETTE,"R$ 34,68","R$ 27,79",9992088,104810
49,APARELHO DE BARBEAR GILLETTE PREST 3 L4P3,PROCTER&GAMBLE-PERFUMARIA,"R$ 28,99","R$ 26,90",4438616,96029
50,ENO PROBIOTICO 10CAPS,HALEON,"R$ 48,90","R$ 24,45",9995214,107048
51,ENO PROBIOTICO 30CAPS,HALEON,"R$ 82,90","R$ 41,45",9995215,107049
52,CENTRUM ESSENTIALS 30CPR,CENTRUM,"R$ 36,90","R$ 19,90",9995587,107160
53,EPOCLER TODO DIA 60 CPR,HYPERA PHARMA,"R$ 25,90","R$ 16,90",9993762,106436
54,TALCO MENTOLADO 35GR ADV*,COLGATE,"R$ 15,90","R$ 10,90",1258302,89301
55,ADVIL 400MG C/8CAPS,HALEON,"R$ 25,42","R$ 19,09",618811,66593
56,ALCOOL GEL HI CLEAN EXTRATO DE ALGODAO 70ML,TBC PERFUMES E COSMÉTICOS,"R$ 9,99","R$ 7,90",4549903,97463
57,BENEGRIP IMUNO ENERGY C/10CPR,HYPERA PHARMA,"R$ 20,94","R$ 17,80",9991782,104493
58,DESODORANTE BAN SOLIDO 801 S/PERFUME 73GR,MIAMI COSMETICO - MCD-MIAMI COSMETIC DIS COM.IMP.EXP LTDA,"R$ 49,90","R$ 32,90",7598801,80441
59,LOCAO CORPORAL BEPANTOL DERMA HIDRATANTE RESTAURADOR 40...,BEPANTOL,"R$ 99,90","R$ 69,90",9991110,103795
60,PROTETOR LABIAL NIVEA ORIGINAL,BDF NIVEA LTDA,"R$ 23,90","R$ 16,90",8889701,85655
61,PROTETOR SOLAR CORPORAL NEUTROGENA SUN FRESH LIGHT SPRA...,NEUTROGENA,"R$ 152,90","R$ 109,90",9991850,104571
62,"ESMALTE RISQUE DIAMOND GEL VERMELHO RUBI 9,5ML",COTY BRASIL -RISQUE,"R$ 11,90","R$ 8,99",9991050,103733
63,CARMED LABIAL BFF ROSA GLITTER EFEITO GLOSS 10G,CIMED,"R$ 24,99","R$ 18,99",9995495,107135
64,APARELHO DE DEPILAÇAO GILLETTE FEMININO VENUS INTIMA C...,GILLETTE,"R$ 22,90","R$ 17,99",9994756,107065
65,NEUTROGENA GEL DE LIMPEZA FACIAL DEEP CLEAN GRAPEFRUIT ...,JOHNSON & JOHNSON-HIGIENE,"R$ 42,20","R$ 36,90",3309909,95957
66,LOCAO CORPORAL BEPANTOL DERMA HIDRATANTE RESTAURADOR 20...,BEPANTOL,"R$ 64,90","R$ 59,90",9991109,103794
