,ean,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
41,7891317018795,"Rivar 20mg, 30 comprimidos revestidos",Eurofarma,Drogaven,135.77,135.77,0.0,"Rivar 20mg, 30 comprimidos revestidos"
42,7896714229829,"Nimesulida Gel Neo Química 20mg/g, bisnaga com 40g de gel de uso dermatológico",Neo Química,Drogaven,20.34,20.34,0.0,"Nimesulida Gel Neo Química 20mg/g, bisnaga com 40g de gel de uso dermatológico"
43,7898927563028,"Duelle 2mg + 0,035mg, 21 comprimidos revestidos",Zydus Nikkho,Drogaven,28.98,28.98,0.0,"Duelle 2mg + 0,035mg, 21 comprimidos revestidos"
44,7898040323806,Simbioflora 15 sachês com 6g de pó para solução de uso oral,Farmoquímica,Drogaven,99.9,99.9,0.0,Simbioflora 15 sachês com 6g de pó para solução de uso oral
45,7896082900269,"Sinustrat Vasoconstritor 0,5mg/ml, frasco-gotejador com 10mL de solução nasal",Biolab,Drogaven,18.14,18.14,0.0,"Sinustrat Vasoconstritor 0,5mg/ml, frasco-gotejador com 10mL de solução nasal"
46,7896422507059,"Dipirona Monoidratada Medley 500mg, caixa com 30 comprimidos",Medley,Drogaven,11.91,29.76,-0.6,"Dipirona Monoidratada Medley 500mg, caixa com 30 comprimidos"
47,7896523208022,"Cetoconazol Shampoo Cimed 20mg/mL, frasco com 100mL de shampoo",Cimed,Drogaven,14.62,29.24,-0.5,"Cetoconazol Shampoo Cimed 20mg/mL, frasco com 100mL de shampoo"
48,7891317452995,"Domperidona Eurofarma 10mg, 30 comprimidos",Eurofarma,Drogaven,21.07,21.07,0.0,"Domperidona Eurofarma 10mg, 30 comprimidos"
49,7896422501668,"Tadalafila Medley 20mg, 1 comprimido revestido",Medley,Drogaven,11.43,22.85,-0.5,"Tadalafila Medley 20mg, 1 comprimido revestido"
50,7891317489403,"Atorvastatina Cálcica Eurofarma 40mg, 30 comprimidos revestidos",Eurofarma,Drogaven,28.99,141.37,-0.79,"Atorvastatina Cálcica Eurofarma 40mg, 30 comprimidos revestidos"
51,7896523223223,"Babymed 10000UI/g + 400UI/g + 100mg/g, bisnaga com 45g de pomada de uso dermatológico",Cimed,Drogaven,7.99,10.99,-0.27,"Babymed 10000UI/g + 400UI/g + 100mg/g, bisnaga com 45g de pomada de uso dermatológico"
52,7896112189114,"Nitrato de Miconazol Creme Vaginal Teuto 20mg/g, bisnaga com 80g de creme de uso vaginal + 14 aplicadores",Teuto,Drogaven,30.91,30.91,0.0,"Nitrato de Miconazol Creme Vaginal Teuto 20mg/g, bisnaga com 80g de creme de uso vaginal + 14 aplicadores"
53,7896672202353,"Manivasc 20mg, 28 comprimidos",Chiesi,Drogaven,354.54,354.54,0.0,"Manivasc 20mg, 28 comprimidos"
54,7896004709444,"Tioconazol + Tinidazol Creme Vaginal Germed Pharma 20mg/g + 30mg/g, bisnaga com 35g de creme de uso vaginal + 7 aplicadores",Germed Pharma,Drogaven,60.43,60.43,0.0,"Tioconazol + Tinidazol Creme Vaginal Germed Pharma 20mg/g + 30mg/g, bisnaga com 35g de creme de uso vaginal + 7 aplicadores"
55,7896658030291,"Montelair 5mg, caixa contendo 60 comprimidos mastigáveis",Aché,Drogaven,114.71,114.71,0.0,"Montelair 5mg, caixa contendo 60 comprimidos mastigáveis"
56,7898928257049,"NiQuitin Pastilha 2mg, 4 pastilhas, sabor menta",Mappel Indústria de Embalagens,Drogaven,15.04,15.04,0.0,"NiQuitin Pastilha 2mg, 4 pastilhas, sabor menta"
57,7896004701998,"Omeprazol EMS 10mg, 14 cápsulas duras de liberação retardada",EMS,Drogaven,25.15,25.15,0.0,"Omeprazol EMS 10mg, 14 cápsulas duras de liberação retardada"
58,7896094209275,"Quenzor 50mg, 30 cápsulas duras de liberação prolongada",Libbs,Drogaven,39.57,39.57,0.0,"Quenzor 50mg, 30 cápsulas duras de liberação prolongada"
59,7897705202753,"Rybelsus 14mg, 30 comprimidos",Novo Nordisk,Drogaven,,,,"Rybelsus 14mg, 30 comprimidos"
60,7896658023354,"Montelair 5mg, 30 comprimidos mastigáveis",Aché,Drogaven,71.57,71.57,0.0,"Montelair 5mg, 30 comprimidos mastigáveis"
61,7896006212089,Bio 5 30 sachês com 4g de pó para solução de uso oral,União Química,Drogaven,108.26,108.26,0.0,Bio 5 30 sachês com 4g de pó para solução de uso oral
62,7896015523398,"Combodart 0,5mg + 0,4mg, 30 cápsulas gelatinosas duras",GSK,Drogaven,145.05,145.05,0.0,"Combodart 0,5mg + 0,4mg, 30 cápsulas gelatinosas duras"
63,7896004722474,"Lidocaína Pomada EMS 50mg/g, bisnaga com 25g de pomada de uso dermatológico, sabor laranja",EMS,Drogaven,16.2,16.2,0.0,"Lidocaína Pomada EMS 50mg/g, bisnaga com 25g de pomada de uso dermatológico, sabor laranja"
64,7896331705577,"Calotrat Plantar 200mg/g, bisnaga com 20g de pomada de uso dermatológico",Kley Hertz Farmacêutica,Drogaven,28.79,28.79,0.0,"Calotrat Plantar 200mg/g, bisnaga com 20g de pomada de uso dermatológico"
65,7891058013141,"Naturetti 5,8mg/g + 3,9mg/g, frasco com 130g de geleia de uso oral",Neo Química,Drogaven,78.25,78.25,0.0,"Naturetti 5,8mg/g + 3,9mg/g, frasco com 130g de geleia de uso oral"
66,7896023705397,"Água Inglesa Catarinense 40mcg/mL, frasco com 500mL de solução de uso oral",Catarinense Pharma,Drogaven,35.39,35.39,0.0,"Água Inglesa Catarinense 40mcg/mL, frasco com 500mL de solução de uso oral"
67,7896006281764,"Paracetamol União Química 750mg, 20 comprimidos",União Química,Drogaven,21.17,21.17,0.0,"Paracetamol União Química 750mg, 20 comprimidos"
68,7896677701615,"Nervocalm 250mg, 60 comprimidos",WP LAB Indústria Farmacêutica,Drogaven,67.16,67.16,0.0,"Nervocalm 250mg, 60 comprimidos"
69,7891040126125,"Curativos Absorventes para Acne Nexcare sortido, 36 unidades",Nexcare,Drogaven,43.69,43.69,0.0,"Curativos Absorventes para Acne Nexcare sortido, 36 unidades"
70,7897595618603,"Citrato de Sildenafila Sandoz 50mg, caixa com 2 comprimidos",Sandoz,Drogaven,8.55,8.55,0.0,"Citrato de Sildenafila Sandoz 50mg, caixa com 2 comprimidos"
71,7896004711423,"Clotrimazol Creme Vaginal EMS 10mg/g, bisnaga com 35g de creme de uso vaginal + 6 aplicadores",EMS,Drogaven,53.14,53.14,0.0,"Clotrimazol Creme Vaginal EMS 10mg/g, bisnaga com 35g de creme de uso vaginal + 6 aplicadores"
72,7899547520408,"Propionato de Clobetasol Solução Capilar Prati-Donaduzzi 0,5mg/g, frasco com 50g de solução de uso capilar",Prati-Donaduzzi,Drogaven,42.75,42.75,0.0,"Propionato de Clobetasol Solução Capilar Prati-Donaduzzi 0,5mg/g, frasco com 50g de solução de uso capilar"
73,7896094201033,"Diminut 0,075 + 0,02mg, 63 comprimidos revestidos",Libbs,Drogaven,84.54,120.76,-0.3,"Diminut 0,075 + 0,02mg, 63 comprimidos revestidos"
74,7896094999558,"Neosaldina Dip 1g, 10 comprimidos",Cosmed,Drogaven,19.98,19.98,0.0,"Neosaldina Dip 1g, 10 comprimidos"
75,7898037080347,Complexo Homeopático Almeida Prado Nº 34 frasco com 60 comprimidos,Homeopatia Almeida Prado,Drogaven,25.49,25.49,0.0,Complexo Homeopático Almeida Prado Nº 34 frasco com 60 comprimidos
76,7898040323844,Probiatop 30 sachês com 1g de pó para solução de uso oral,Farmoquímica,Drogaven,161.99,161.99,0.0,Probiatop 30 sachês com 1g de pó para solução de uso oral
77,7891106915076,"Aspirina Prevent 100mg, 100 comprimidos revestidos",Bayer,Drogaven,69.96,69.96,0.0,"Aspirina Prevent 100mg, 100 comprimidos revestidos"
78,7899095202917,"Loratadina Geolab 10mg, caixa com 12 comprimidos",Geolab,Drogaven,13.89,13.89,0.0,"Loratadina Geolab 10mg, caixa com 12 comprimidos"
79,7896112194576,"Dexametasona Comprimido Teuto 4mg, 10 comprimidos",Teuto,Drogaven,14.52,14.52,0.0,"Dexametasona Comprimido Teuto 4mg, 10 comprimidos"
80,7896112123880,"Dipropionato de Betametasona + Ácido Salicílico Teuto 0,5mg/g + 30mg/g, bisnaga com 30g de pomada de uso dermatológico",Teuto,Drogaven,25.34,25.34,0.0,"Dipropionato de Betametasona + Ácido Salicílico Teuto 0,5mg/g + 30mg/g, bisnaga com 30g de pomada de uso dermatológico"
81,7896016808302,"Luftal 75mg/mL, frasco com 30mL de emulsão de uso oral",Reckitt Benckiser,Drogaven,55.9,55.9,0.0,"Luftal 75mg/mL, frasco com 30mL de emulsão de uso oral"
82,7896422521260,"Desloratadina Medley 0,5mg/mL, frasco com 60mL de xarope + 1 seringa dosadora",Medley,Drogaven,17.05,42.62,-0.6,"Desloratadina Medley 0,5mg/mL, frasco com 60mL de xarope + 1 seringa dosadora"
83,7897316802335,"Still 1mg/mL, frasco com 5mL de solução de uso oftálmico",Allergan,Drogaven,20.99,20.99,0.0,"Still 1mg/mL, frasco com 5mL de solução de uso oftálmico"
84,7897129300134,"Verrux 0,20g/mL + 0,15mL/mL, frasco com 10mL de solução de uso dermatológico + aplicador",Theraskin,Drogaven,71.29,71.29,0.0,"Verrux 0,20g/mL + 0,15mL/mL, frasco com 10mL de solução de uso dermatológico + aplicador"
85,300651361070,Kit Solução para Lentes de Contato Opti-Free Puremoist 300mL + 120mL + estojo,Opti-Free,Drogaven,65.9,65.9,0.0,Kit Solução para Lentes de Contato Opti-Free Puremoist 300mL + 120mL + estojo
86,7896269900617,"Psorex 0,5mg/g, bisnaga com 30g de creme de uso dermatológico",GSK,Drogaven,47.79,47.79,0.0,"Psorex 0,5mg/g, bisnaga com 30g de creme de uso dermatológico"
87,7898902180820,Solução para Lentes Gelatinosas UltraSept Sensitive 360mL + 120mL + estojo,Kley Hertz Farmacêutica,Drogaven,45.46,45.46,0.0,Solução para Lentes Gelatinosas UltraSept Sensitive 360mL + 120mL + estojo
88,7896637028523,"Labirin 24mg, 30 comprimidos",Apsen,Drogaven,24.9,56.72,-0.56,"Labirin 24mg, 30 comprimidos"
89,78905108,"Pomada Minancora 20% + 0,5% + 5%, pote com 30g de pomada dermatológica",Minâncora,Drogaven,18.69,18.69,0.0,"Pomada Minancora 20% + 0,5% + 5%, pote com 30g de pomada dermatológica"
90,7897595635198,"Aciclovir Comprimido Sandoz 200mg, 50 comprimidos",Sandoz,Drogaven,49.99,145.81,-0.66,"Aciclovir Comprimido Sandoz 200mg, 50 comprimidos"
91,7898049796151,"Fluconazol Vitamedic 150mg, 1 cápsula gelatinosa dura",Vitamedic,Drogaven,11.5,11.5,0.0,"Fluconazol Vitamedic 150mg, 1 cápsula gelatinosa dura"
92,7897595901323,"Puran T4 75mcg, 30 comprimidos",Sanofi,Drogaven,20.76,20.76,0.0,"Puran T4 75mcg, 30 comprimidos"
93,7896637031516,"Inilok 40mg, 60 comprimidos revestidos de liberação retardada",Apsen,Drogaven,74.9,123.6,-0.39,"Inilok 40mg, 60 comprimidos revestidos de liberação retardada"
94,7896422519830,"Ibuprofeno Gotas Medley 100mg/mL, frasco gotejador com 20mL de suspensão de uso oral",Medley,Drogaven,9.01,15.01,-0.4,"Ibuprofeno Gotas Medley 100mg/mL, frasco gotejador com 20mL de suspensão de uso oral"
95,7896523216812,"Diad 1,5mg, 1 comprimidos",Cimed,Drogaven,12.78,21.29,-0.4,"Diad 1,5mg, 1 comprimidos"
96,7891721023965,"Alginac Retard 1mg + 100mg + 100mg + 100mg, 10 comprimidos revestidos de liberação retardada",P&G,Drogaven,69.12,69.12,0.0,"Alginac Retard 1mg + 100mg + 100mg + 100mg, 10 comprimidos revestidos de liberação retardada"
97,7891721029639,"Alginac 1mg + 50mg + 50mg + 50mg, 15 comprimidos revestidos",P&G,Drogaven,35.1,35.1,0.0,"Alginac 1mg + 50mg + 50mg + 50mg, 15 comprimidos revestidos"
98,7896862960087,"Ibuprofeno Suspensão Oral Medquímica 100mg/mL, frasco com 20mL de suspensão de uso oral",Medquímica,Drogaven,14.48,28.95,-0.5,"Ibuprofeno Suspensão Oral Medquímica 100mg/mL, frasco com 20mL de suspensão de uso oral"
99,7896422525183,"Citrato de Sildenafila Medley 50mg, 2 comprimidos revestidos",Medley,Drogaven,7.32,8.92,-0.18,"Citrato de Sildenafila Medley 50mg, 2 comprimidos revestidos"
100,7896015518875,"Avamys 27,5mcg, frasco spray com 120 doses de suspensão de uso nasal",GSK,Drogaven,70.72,70.72,0.0,"Avamys 27,5mcg, frasco spray com 120 doses de suspensão de uso nasal"
101,7891317009168,"Tinidazol + Nitrato de Miconazol Creme Vaginal Eurofarma 30mg/g + 20mg/g, bisnaga com 40g de creme de uso vaginal + 7 aplicadores",Eurofarma,Drogaven,28.79,28.79,0.0,"Tinidazol + Nitrato de Miconazol Creme Vaginal Eurofarma 30mg/g + 20mg/g, bisnaga com 40g de creme de uso vaginal + 7 aplicadores"
102,7896269900150,"Aerolin 100mcg/dose, 1 lata aerosol com 200 doses com aplicador",GSK,Drogaven,19.8,26.9,-0.26,"Aerolin 100mcg/dose, 1 lata aerosol com 200 doses com aplicador"
103,7898049796168,"Fluconazol Vitamedic 150mg, 2 cápsulas gelatinosas duras",Vitamedic,Drogaven,16.66,16.66,0.0,"Fluconazol Vitamedic 150mg, 2 cápsulas gelatinosas duras"
104,7896658001901,"Decongex Plus 12mg + 15mg, 12 comprimidos revestidos de liberação prolongada",Aché,Drogaven,28.44,28.44,0.0,"Decongex Plus 12mg + 15mg, 12 comprimidos revestidos de liberação prolongada"
105,7899547537208,"Dipirona Monoidratada Comprimido Prati-Donaduzzi 500mg, blíster com 10 comprimidos",Prati-Donaduzzi,Drogaven,5.66,5.66,0.0,"Dipirona Monoidratada Comprimido Prati-Donaduzzi 500mg, blíster com 10 comprimidos"
106,7891058002916,"Dorflex 300mg + 35mg + 50mg, blíster com 10 comprimidos",Sanofi,Drogaven,7.56,7.56,0.0,"Dorflex 300mg + 35mg + 50mg, blíster com 10 comprimidos"
107,7896226506463,"Prolopa DR 200mg + 50mg, 30 comprimidos de camada tripla de liberação moderada",Roche,Drogaven,122.53,122.53,0.0,"Prolopa DR 200mg + 50mg, 30 comprimidos de camada tripla de liberação moderada"
108,7896112486886,"Aradois 50mg, 60 comprimidos revestidos",Biolab,Drogaven,18.0,94.14,-0.81,"Aradois 50mg, 60 comprimidos revestidos"
109,7896422507295,"Cetoprofeno Medley 100mg, 20 comprimidos revestidos",Medley,Drogaven,23.31,38.85,-0.4,"Cetoprofeno Medley 100mg, 20 comprimidos revestidos"
110,7908134200071,Regenesis 90 cápsulas,Exeltis,Drogaven,206.9,206.9,0.0,Regenesis 90 cápsulas
111,7896261020573,"Miflonide Brizz 400mcg, 60 cápsulas duras com pó de uso inalatório + inalador",Novartis,Drogaven,95.83,95.83,0.0,"Miflonide Brizz 400mcg, 60 cápsulas duras com pó de uso inalatório + inalador"
112,7896241228203,"Aradois 100mg, 60 comprimidos revestidos",Biolab,Drogaven,181.85,181.85,0.0,"Aradois 100mg, 60 comprimidos revestidos"
113,7896212425082,"Invokana 300mg, 30 comprimidos revestidos",Janssen-Cilag,Drogaven,284.69,284.69,0.0,"Invokana 300mg, 30 comprimidos revestidos"
114,7896676433067,"Higicler 0,1mg/mL + 17mg/mL, frasco com 10mL de solução de uso oftálmico",Laboratório Cristália,Drogaven,20.86,20.86,0.0,"Higicler 0,1mg/mL + 17mg/mL, frasco com 10mL de solução de uso oftálmico"
115,7896672202308,"Manivasc 10mg, 14 comprimidos",Chiesi,Drogaven,99.76,99.76,0.0,"Manivasc 10mg, 14 comprimidos"
116,5000456060721,"Daxas 500mcg, 30 comprimidos revestidos",Astrazeneca,Drogaven,305.79,305.79,0.0,"Daxas 500mcg, 30 comprimidos revestidos"
117,7896094919457,"Ofolato D 1.000UI, 90 comprimidos",Cosmed,Drogaven,192.7,192.7,0.0,"Ofolato D 1.000UI, 90 comprimidos"
118,7891142115744,"Oximax 200mcg, 30 cápsulas de pó para inalação + inalador",Cosmed,Drogaven,67.62,67.62,0.0,"Oximax 200mcg, 30 cápsulas de pó para inalação + inalador"
119,7898074615755,"Spidufen 770mg/g, 20 envelopes com 3g de granulado de uso oral, sabor damasco",Zambon,Drogaven,65.26,65.26,0.0,"Spidufen 770mg/g, 20 envelopes com 3g de granulado de uso oral, sabor damasco"
120,7898074618206,"Seki 35,4mg/mL, frasco com 15mL de suspensão de uso oral + conta gotas",Zambon,Drogaven,51.6,51.6,0.0,"Seki 35,4mg/mL, frasco com 15mL de suspensão de uso oral + conta gotas"
121,7898089300011,"Auris-Sedina 18,6mg/mL + 1,3mg/mL, frasco com 10mL de solução de uso otológico",Osório de Moraes,Drogaven,29.87,29.87,0.0,"Auris-Sedina 18,6mg/mL + 1,3mg/mL, frasco com 10mL de solução de uso otológico"
122,7896112123675,"Naprox 500mg, 20 comprimidos",Teuto,Drogaven,38.48,38.48,0.0,"Naprox 500mg, 20 comprimidos"
123,7896658039423,"Lur 5mg, 10 comprimidos revestidos",Biosintética - Aché,Drogaven,59.17,59.17,0.0,"Lur 5mg, 10 comprimidos revestidos"
124,7899095239401,"Cisteil 600mg/g, 16 envelopes com 5g de granulado para solução de uso oral",Geolab,Drogaven,68.01,68.01,0.0,"Cisteil 600mg/g, 16 envelopes com 5g de granulado para solução de uso oral"
125,7896014671809,"Noxx 40mg, 2 seringas preenchidas com 0,4mL de solução de uso subcutâneo ou intravenoso + sistema de segurança",Blau,Drogaven,159.42,159.42,0.0,"Noxx 40mg, 2 seringas preenchidas com 0,4mL de solução de uso subcutâneo ou intravenoso + sistema de segurança"
126,7896004775692,"Fixenato 150mg, 2 comprimidos revestidos",Germed Pharma,Drogaven,278.96,278.96,0.0,"Fixenato 150mg, 2 comprimidos revestidos"
127,7899640800155,"Aloff 5mg, 10 comprimidos revestidos",Eurofarma,Drogaven,58.45,58.45,0.0,"Aloff 5mg, 10 comprimidos revestidos"
128,7896094916845,"Fluviral Noite 400mg + 20mg + 400mg + 4mg, 20 comprimidos",Cosmed,Drogaven,39.6,39.6,0.0,"Fluviral Noite 400mg + 20mg + 400mg + 4mg, 20 comprimidos"
129,7908134200279,"Cherry 2mg + 0,03mg, 21 comprimidos revestidos",Farmoquímica,Drogaven,43.32,43.32,0.0,"Cherry 2mg + 0,03mg, 21 comprimidos revestidos"
130,7897337716390,"Aviant EFE 2,5mg + 120mg, 10 comprimidos de liberação modificada",Organon,Drogaven,62.53,62.53,0.0,"Aviant EFE 2,5mg + 120mg, 10 comprimidos de liberação modificada"
131,7896112412021,"Hematom 10mg/g + 10mg/g + 50mg/g, bisnaga com 30g de gel de uso dermatológico",Biolab,Drogaven,34.63,34.63,0.0,"Hematom 10mg/g + 10mg/g + 50mg/g, bisnaga com 30g de gel de uso dermatológico"
132,7891317457143,"Versa 20mg/0,2mL, 2 seringas preenchidas com 0,2mL de solução de uso subcutâneo ou intravenoso",Eurofarma,Drogaven,80.43,80.43,0.0,"Versa 20mg/0,2mL, 2 seringas preenchidas com 0,2mL de solução de uso subcutâneo ou intravenoso"
133,7897595620385,"Juliet 0,075mg, 28 comprimidos revestidos",Sandoz,Drogaven,48.98,48.98,0.0,"Juliet 0,075mg, 28 comprimidos revestidos"
134,7896255717717,"Teolong 100mg, caixa contendo 30 cápsulas gelatinosas com microgrânulos",Abbott do Brasil,Drogaven,24.32,24.32,0.0,"Teolong 100mg, caixa contendo 30 cápsulas gelatinosas com microgrânulos"
