,Produto,EAN,Marca,Descrição
10,Probiótico Enterogermina 10 frascos,7891058016999,SANOFI - CHC,Enterogermina Sanofi Caixa 50ml 10 Frascos de 5ml Cada
11,"Sonridor Caf Analgésico Efervescente para Alívio da Febre, Dor e Enxaqueca com 4 comprimidos",7896015517069,GLAXO OTC,"Sonridor CAF 4 ComprimidosSonridor CAF 4 ComprimidosDescubra o Sonridor CAF em sua apresentação de 4 comprimidos, a solução eficaz para proporcionar alívio rápido e duradouro contra sintomas associados a desconfortos e dores leves. Desenvolvido com uma fórmula avançada, este medicamento combina ingredientes ativos que atuam diretamente no foco da dor, oferecendo uma sensação de alívio e bem-estar.Forma de Uso:Tome um comprimido de Sonridor CAF com um copo de água, conforme necessário ou conforme orientação médica.Evite consumir mais do que a dose recomendada em um período de 24 horas.Em caso de dúvidas ou persistência dos sintomas, consulte um profissional de saúde para orientações adicionais.Benefícios Principais:Alívio Rápido:A combinação única de ingredientes do Sonridor CAF proporciona alívio rápido contra dores e desconfortos leves.Fórmula Eficaz:Com componentes cuidadosamente selecionados, este medicamento é ideal para situações onde é necessário um alívio pontual e eficaz.Confiabilidade e Segurança:Produzido seguindo rigorosos padrões de qualidade, o Sonridor CAF oferece confiança e tranquilidade para quem busca alívio para desconfortos ocasionais.Escolha o Sonridor CAF 4 Comprimidos como seu aliado no combate a dores e desconfortos leves. Com este medicamento, você garante um alívio eficaz e rápido, permitindo retomar suas atividades diárias com conforto e bem-estar. Adquira já e experimente a eficácia e confiança que só o Sonridor CAF pode oferecer."
12,Citrato De Sildenafila 50 Mg 4 Comprimidos Hypermarcas Genérico,7896714226705,NEO QUIMICA GENERICO,"Citrato de Sildenafila 50mg - Hypermarcas GenéricoCitrato de Sildenafila 50mg - Hypermarcas GenéricoÉ uma alternativa eficaz e acessível para o tratamento da disfunção erétil, ajudando homens a retomar a confiança e a qualidade nas relações íntimas. Este medicamento genérico oferece a mesma eficácia e segurança que os produtos de marca, proporcionando resultados satisfatórios comprovados em estudos clínicos e prática médica.Forma de Uso:Dosagem:Consulte um médico para determinar a dosagem adequada do Citrato de Sildenafila 50mg, considerando suas necessidades individuais e histórico médico.Administração:Tome o comprimido por via oral, com um copo de água, conforme orientação médica, geralmente cerca de 30 minutos a 1 hora antes da atividade sexual.Estímulo Sexual:O Citrato de Sildenafila não é um afrodisíaco; portanto, a excitação sexual é necessária para que o medicamento funcione efetivamente.Intervalo:Respeite o intervalo mínimo entre as doses e evite o uso excessivo do medicamento sem orientação médica.Precauções:Utilize o Citrato de Sildenafila 50mg Hypermarcas Genérico somente conforme prescrito por um profissional de saúde, evitando automedicação.Informe seu médico sobre qualquer condição médica preexistente, medicamentos em uso ou alergias antes de iniciar o tratamento.Evite o consumo de álcool em excesso durante o uso deste medicamento, pois pode potencializar os efeitos colaterais.Em caso de efeitos colaterais adversos, como dor no peito, náuseas, tonturas ou visão alterada, interrompa o uso imediatamente e procure orientação médica.Mantenha o Citrato de Sildenafila 50mg em local fresco, seco e fora do alcance de crianças e animais de estimação."
13,Xantinon Complex 1 Flaconete 10Ml União Química,7896006216636,UNIAO QUIMICA SIMILA,
14,Nimesulida 100Mg Com 12Cp Neo Quimica,7896714223841,NEO QUIMICA GENERICO,
15,Avamys 27 5Mcg Gsk Caixa 10G 120 Doses,7896015518875,GLAXOSMITHKLINE,"Avamys 27,5mcg GSK Caixa 120 Doses 10g"
16,Cimegripe 20 Cápsulas Duras 400Mg 4Mg 4Mg,7896523200576,CIMED,"Cimegripe: Forma de Uso e PrecauçõesCimegripeOCimegripeé uma solução confiável para aliviar os sintomas associados à gripe e resfriados, proporcionando alívio rápido e eficaz. Com sua fórmula avançada de 400mg + 4mg, estas cápsulas duras são especialmente formuladas para combater sintomas como febre, dores no corpo, congestão nasal e outros desconfortos relacionados a condições gripais.Forma de Uso:Adultos e adolescentes acima de 12 anos: Tome uma cápsula com água, preferencialmente após as refeições, conforme necessário ou conforme orientação médica.Não exceda a dose recomendada dentro de um período de 24 horas.Consulte um médico se os sintomas persistirem ou piorarem após o uso.Precauções:Mantenha fora do alcance de crianças e animais domésticos.Não utilize se você é alérgico a qualquer componente da fórmula.Não consuma em combinação com outros produtos que contenham paracetamol.Se estiver grávida, amamentando, ou se tiver condições médicas pré-existentes, consulte um médico antes de usar.Armazene em local fresco e seco, protegido da luz solar direta e umidade."
17,Besilato De Anlodipino 5Mg Teuto Caixa 30 Comprimidos,7896112149460,TEUTO BRAS,
18,Sal de Fruta ENO Laranja Antiácido para Azia e Má Digestão com 2 sachês de 5g cada,7896015511166,GLAXO OTC,Sal de Fruta Eno Laranja GSK Envelope 10g 2 Unidades 5g Cada Pó Efervescente
19,Engov 6 Comprimidos 15Mg 150Mg 150Mg 50Mg,7896094903104,HYPERMARCAS CH,"Engov: Forma de Uso e PrecauçõesEngovOEngové um aliado indispensável para quem busca alívio rápido e eficaz dos desconfortos causados por excessos alimentares e consumo de bebidas alcoólicas. Com sua fórmula especializada, este produto é especialmente formulado para auxiliar na redução de sintomas como dor de cabeça, enjoo e indisposição, proporcionando uma sensação de bem-estar e recuperação.Forma de Uso:Adultos: Tome 2 comprimidos com água, preferencialmente após as refeições ou conforme a necessidade de alívio dos sintomas.Não exceda a dose recomendada dentro de um período de 24 horas.Em caso de persistência dos sintomas ou dúvidas sobre o uso, consulte um médico ou farmacêutico.Precauções:Mantenha fora do alcance de crianças e animais domésticos.Não utilize se você é alérgico a qualquer componente da fórmula.Evite consumir álcool enquanto estiver tomando Engov.Se estiver grávida, amamentando, ou se tiver condições médicas pré-existentes, consulte um médico antes de usar.Armazene em local fresco e seco, protegido da luz solar direta e umidade."
20,Chá para Gripe Vick Pyrena Sabor Mel e Limão 5g,78911246,PROCTER&GAMBLE MED,
21,Analgésico Dorflex 36 Comprimidos,7891058017507,SANOFI - CHC,Dorflex Sanofi Caixa 36 Comprimidos
22,Analgésico Dorflex Uno Enxaqueca 1g 10 Comprimidos,7891058022815,SANOFI - CHC,
23,Maxalgina 500Mg Ml Solução Oral Natulab 10Ml,7898133130403,NATULAB,
24,Pomada Prevenção De Assaduras Bepantriz,7896523210797,CIMED,"Bepantriz 50mg Pomada 30gBepantriz 50mg Pomada 30gIntroduzindo a Bepantriz 50mg Pomada de 30g, a solução ideal para cuidados intensivos da pele, especialmente projetada para promover a regeneração e proteção contra irritações. Com uma fórmula única à base de dexpantenol, esta pomada é um aliado essencial para restaurar a saúde da pele e aliviar desconfortos.Forma de Uso:Lave e seque a área afetada antes da aplicação da pomada Bepantriz 50mg.Aplique uma camada fina e uniforme sobre a pele, garantindo cobertura total da área afetada.Repita a aplicação conforme necessário, especialmente após exposições a agentes irritantes ou conforme orientação médica.Benefícios Principais:Regeneração Cutânea:Graças ao poderoso dexpantenol, a Bepantriz 50mg promove a regeneração natural da pele, acelerando o processo de recuperação de irritações e pequenas lesões.Proteção Avançada:A pomada forma uma barreira protetora, ajudando a prevenir novas irritações e promovendo um ambiente propício para a cura.Versatilidade de Uso:Indicada para uma variedade de condições, desde irritações leves até áreas mais sensíveis e danificadas, proporcionando alívio imediato e cuidado contínuo.Confie na eficácia e tradição da Bepantriz 50mg Pomada 30g para garantir uma pele saudável, protegida e revitalizada. Seja para o cuidado diário ou situações específicas, esta pomada é indispensável em sua farmácia doméstica. Adquira agora e experimente os benefícios de um tratamento de pele confiável e comprovado."
25,Pastilhas para garganta Strepsils Sabor Mel e Limão - Caixa 8 Pastilhas,7891035010842,RECKITT BENCKISER,
26,Tadalafila 5Mg X 2 Bl X 15 Comp Rev,7894916149662,LEGRAND GENERICO,
27,Sal de Fruta ENO Abacaxi Antiácido para Azia e Má Digestão com 2 sachês de 5g cada,7896015521646,GLAXO OTC,Sal de Fruta Eno Abacaxi GSK Envelope 10g 2 Unidades 5g Cada Pó Efervescente
28,Nistatina Óxido De Zinco Pomada 60G 100 000Ui G 200Mg G,7896523226972,CIMED,
29,Sal de Fruta ENO Guaraná Antiácido para Azia e Má Digestão com 2 sachês de 5g cada,7896015516970,GLAXO OTC,
30,Tadalafila 20Mg Medley Caixa 4 Comprimidos Revestidos,7896422501682,MEDLEY GENERICO,
31,Antialérgico Allegra Pediátrico 6mg/ml 60 ml,7891058004347,SANOFI - CHC,Allegra Framboesa 6mg/ml Sanofi Caixa 60ml + Seringa Dosadora
32,Dorflex Uno 4 Comprimidos 1G,7891058022785,SANOFI - CHC,
33,Ibuprofeno 600Mg Prati Donaduzzi Caixa 20 Comprimidos Revestidos,7898148295159,PRATTI-DONADUZZI,Ibuprofeno 600mg Prati-Donaduzzi Caixa 20 Comprimidos Revestidos
34,Analgésico Novalgina 1g 10 Comprimidos,7891058001155,SANOFI - CHC,
35,Descongestionante Vick VapoRub 12g,78911222,PROCTER&GAMBLE MED,
36,Expec Xarope 120Ml,7896004812168,LEGRAND,Xarope Expec Framboesa e Caramelo Zero Açúcar Legrand Caixa 120ml
37,Histamin 20 Comprimidos 2Mg,7896714219301,NEO QUÍMICA,"Indicação: No alívio sintomático de algumas manifestações alérgicas, tais como: dermatite de contato e atópica, rinites vasomotoras, angioedema, urticária e processos alérgicos de outras origens, pruridos anais, vulvares e de origem inespecífi ca; febre do feno."
38,Buscofem 400Mg Com 10 Cápsulas,7896094921344,HYPERMARCAS CH,
39,Benegrip 6 Comprimidos Revestidos 500Mg 30Mg 2Mg,7896094903036,HYPERMARCAS CH,Benegrip Cosmed 6 Comprimidos Revestidos
40,ATROVERAN HOT SACHE,7896094916616,HYPERMARCAS CH,Atroveran Hot Cosmed 130mm x 70mm Pacote 20g
41,Dipirona Monoidratada 1G 10 Comprimidos Neo Química,7896714207551,NEO QUIMICA GENERICO,"Dipirona Monoidratada 1g - Neo QuímicaDipirona Monoidratada 1g - Neo QuímicaÉ uma solução analgésica e antipirética confiável para o alívio de dores e febres. Este medicamento, produzido por uma marca reconhecida pela qualidade e eficácia, oferece alívio rápido e eficiente para diversos tipos de desconfortos, proporcionando bem-estar e conforto em momentos de necessidade.Forma de Uso:Dosagem:Consulte um médico ou profissional de saúde para determinar a dosagem adequada de Dipirona Monoidratada 1g, levando em consideração sua condição, idade e histórico médico.Administração:Tome o comprimido por via oral, com água, conforme a prescrição médica ou as recomendações da embalagem.Intervalo:Respeite o intervalo de tempo entre as doses e a dose máxima diária recomendada para evitar complicações.Indicação:Utilize o medicamento para alívio de dores leves a moderadas, febre e outras condições conforme orientação médica.Precauções:Siga rigorosamente as instruções de dosagem e administração fornecidas pelo médico ou indicadas na embalagem do produto.Informe seu médico sobre qualquer alergia, condição médica preexistente ou uso de outros medicamentos antes de iniciar o tratamento com Dipirona Monoidratada 1g.Evite o consumo excessivo ou prolongado do medicamento sem supervisão médica, pois pode aumentar o risco de efeitos adversos.Em caso de reações alérgicas, sintomas adversos ou persistência dos sintomas, interrompa o uso e procure orientação médica imediatamente.Mantenha o produto em sua embalagem original, em local fresco, seco e protegido da luz, fora do alcance de crianças e animais de estimação."
42,Simeticona Gotas 75Mg Ml Genérico Cimed 15Ml,7896523212319,CIMED,
43,Imosec 2Mg Janssen Caixa 12 Comprimidos,7896212478750,CELLERA FARMA,Imosec 2mg Janssen Caixa 12 Comprimidos
44,Doralgina 20 Drágeas Neo Química,7896714210018,NEO QUÍMICA,"Indicação: Tratamento de diversas dores de cabeça, incluindo enxaquecas"
45,Loratamed 10Mg 12 Comprimidos Cimed,7896523202822,CIMED,
46,Tadalafila 5Mg Medley Caixa 30 Comprimidos Revestidos,7896422501651,MEDLEY GENERICO,
47,EMPLASTRO SALONPAS G 2UND,7896227800027,HISAMITSU,
48,Buscofem 400Mg Boehringer Ingelheim 2 Cápsulas,7896094921320,HYPERMARCAS CH,
49,Neosaldina Takeda 4 Drágeas,7896094921986,HYPERMARCAS CH,Neosaldina Takeda 4 Drágeas
50,Histamin 2Mg 100Ml Xarope Neo Química,7896714219318,NEO QUÍMICA,"Indicação: No alívio sintomático de algumas manifestações alérgicas, tais como: dermatite de contato e atópica, rinites vasomotoras, angioedema, urticária e processos alérgicos de outras origens, pruridos anais, vulvares e de origem inespecífi ca; febre do feno."
51,Orlistate 120Mg Caixa 42 Cap,7899547500233,PRATTI-DONADUZZI,
52,Repoflor 100Mg Com 12 Cápsulas,7896004715247,LEGRAND,
53,Contractubex 20G Gel,7896112403418,BIOLAB SANUS,
54,Paracetamol 750Mg Com 20 Comprimidos Ems,7896004703596,EMS GENERICO,Paracetamol 750mg EMS Caixa 20 Comprimidos Revestidos
55,Floratil 200Mg 6 Cápsulas,7898040329655,DIVCOM,
56,Dipirona Sodica 1000Mg Com Ct Bl Al Plas Trans X 10,7899547500356,PRATTI-DONADUZZI,
57,Torsilax 30 Mg 125 Mg 50 Mg 300 Mg 12 Comprimidos Neo Química Similar,7896714218267,NEO QUÍMICA,
58,Simeticona 75Mg 15Ml Solução Medley,7896422505673,MEDLEY GENERICO,
59,Analgésico Novalgina Solução Oral 50mg/ml com seringa dosadora 100 ml,7891058464073,SANOFI - CHC,
60,Fluconazol 150Mg Ems Caixa 2 Cápsulas,7896004703343,EMS GENERICO,
61,Tadalafila 20Mg Caixa 2 Comp,7899547513202,PRATTI-DONADUZZI,
62,Torsilax Neo Química Caixa 10 Comprimidos,7896714257600,NEO QUÍMICA,Torsilax Neo Química Caixa 200 Comprimidos
63,Dipirona Sádica Cafeína 65 Mg 4 Comprimidos Neo Química Genérico,7896714273198,NEO QUIMICA GENERICO,
64,"Sonridor Caf Analgésico Efervescente para Alívio da Febre, Dor e Enxaqueca com 2 comprimidos",7896015517090,GLAXO OTC,
65,Tandrilax Aché Com 15 Comprimidos,7896658004704,ACHE,
66,Analgésico Flanax 550mg Bayer Dores Intensas com 10 comprimidos,7891106006507,BAYER OTC,
67,Estomazil Laranja Sachê 5G,7896094901452,HYPERMARCAS CH,Antiácido Pó Efervescente Estomazil Laranja Cosmed Envelope 5g
68,Colírio Moura Brasilmoura Brasil,7891058020316,SANOFI - CHC,
69,Flogoral Cereja Aché 12 Pastilhas,7896658005466,ACHE,Flogoral 3mg Cereja Aché Caixa 12 Pastilhas
70,Cloridrato De Nebivolol 5Mg Caixa 30 Comp,7899551303868,BIOLAB GENERICO,
71,Plasil 10Mg Sanofi Caixa 20 Comprimidos,7891058059149,SANOFI - PRESCRIÇÃO,
72,"Koide D 0,25mg/5ml + 2mg/5ml Caixa 120ml Xarope Copo Medida",7891317015060,MOMENTA FARMACEUTICA,
73,Paracetamol 500 Mg 10 Comprimidos Prati Donaduzzi Genérico,7898148295098,PRATTI-DONADUZZI,
74,Orlistate 120Mg Ems Caixa 84 Cápsulas,7896004737225,EMS GENERICO,
75,Luftal Gel Caps Simeticona 125mg - 20 Cápsulas Gelatinosas,7896222720856,RECKITT BENCKISER,
76,RESFENOL 400MG 5CAPS,7896331705423,HERTZ,
77,Lacto Purga Com 16 Comprimidos,7896094904118,HYPERMARCAS CH,
78,Pastilhas Para Garganta Ciflogex Diet Sabor Menta 12 Pastilhas,7896523206806,CIMED,
79,Naproxeno 550 Mg Com 10 Comprimidos Neo Química Genérico,7896714214405,NEO QUIMICA GENERICO,""" Atua como analgésico em cirurgias (pré e pós-operatório), afecções
músculoesqueléticas, traumatismos, ginecologia (anexites, parametrites, cervicites, salpingites, oforites), como anti-infl amatório em urologia (cistites, uretrites, prostatites, epididimites, orquites). """
80,Losartana Potsica 50 Mg 30 Comprimidos Neo Química Genérico,7896714208565,NEO QUIMICA GENERICO,
81,Simeticona 125Mg Com 10 Cápsulas,7896422508742,MEDLEY GENERICO,
82,Dipirona Sódica 50Mg Ml 50Ml Solução Oral Ems,7896004715674,EMS GENERICO,
83,Tiorfan 100Mg Bago Caixa 9 Cápsulas,7898906376410,BAGO,Tiorfan 100mg Bagó Caixa 9 Cápsulas
84,Novorapid 100U Ml Novo Nordisk Flexpen Caixa 3Ml Solução Injetável,7897705201831,NOVO NORDISK,
85,Tadalafila 20Mg Ems Caixa 2 Comprimidos Revestidos,7896004749631,EMS GENERICO,Tadalafila 20mg EMS Caixa 2 Comprimidos Revestidos
86,Feminis Caixa 30 Cap,7891317009502,EUROFARMA,
87,Ivermectina 6Mg Vitamedic Caixa 4 Comprimidos,7898049793310,VITAMEDIC,Ivermectina 6mg Vitamedic Caixa 4 Comprimidos
88,MULTIGRIP 20CPR,7896472501823,EMS OTC,
89,Losartana Potsica 50Mg Teuto Caixa 30 Comprimidos Revestidos,7896112114185,TEUTO BRAS,
90,Muvinlax 20 Envelopes 14G,7896094201637,LIBBS,Pó para Preparação Extemporânea Laxante Muvinlax Limão sem Adição de Açúcar Libbs Caixa 20 Unidades de 14g Cada
91,Xarope Cloridrato De Bromexina 4Mg 120Ml Xarope Pediatrico Ems,7896004720241,EMS GENERICO,
92,Dexametasona 4 0Mg Ems Caixa 10 Comprimidos,7896004712147,EMS GENERICO,
93,Benegrip 20 Comprimidos Revestidos 500Mg 30Mg 2Mg,7896094904682,HYPERMARCAS CH,
94,Luftal Gotas Simeticona 75mg/ml - 15ml,7896016804915,RECKITT BENCKISER,
95,Omeprazol 20Mg 56 Cápsulas Genérico Cimed,7896523227191,CIMED,
96,Chá para Gripe Vick Pyrena Sabor Maçã e Canela 5g,75029173,PROCTER&GAMBLE MED,
97,Decongex Plus 120Ml Xarope Aché,7896658001918,ACHE,
98,Vonau Flash 4Mg Biolab Caixa 10 Comprimidos,7896241296523,BIOLAB SANUS,Vonau Flash 4mg Biolab Caixa 10 Comprimidos de Desintegração Oral
99,Antisséptico Tópico Merthiolate Spray 30Ml,7896094917354,HYPERMARCAS CH,
100,Losartana Potsica 50Mg Ems Caixa 30 Comprimidos Revestidos,7896004706795,EMS GENERICO,
101,Atroveran Dip 1G 10 Comprimidos,7896094915374,HYPERMARCAS CH,
102,Laxante Fitoterápico Lacto Purga Blister 6 Comprimidos,7896094903234,HYPERMARCAS CH,
103,Doril Enxaqueca Com 18 Comprimidos,7896094908529,HYPERMARCAS CH,
104,Nimesulida 100Mg Ems Caixa 12 Comprimidos,7896004704036,EMS GENERICO,
105,Cetoprofeno 150Mg Eurofarma Caixa 10 Comprimidos,7891317001926,EUROFARMA GENERICO,Cetoprofeno 150mg Eurofarma Caixa 10 Comprimidos de Liberação Prolongada
106,Furosemida 40Mg Teuto Caixa 20 Comprimidos,7896112170310,TEUTO BRAS,
107,Salsep Jet 100Ml 0 9%Mg,7896094209701,LIBBS,
108,Predsim 20Mg Mantecorp Farmasa Caixa 10 Comprimidos,7891142177056,HYPERMARCAS PP,
109,Pantoprazol Sádico Sesqui Hidratado 20Mg Ems Caixa 28 Comprimidos Revestidos,7896004705989,EMS GENERICO,Pantoprazol Sódico Sesqui-Hidratado 20mg EMS Caixa 28 Comprimidos Revestidos de Liberação Retardada
110,Lidopass Pomada Laranja,7898075310901,CIMED,
111,Vasopril 10Mg Biolab Caixa 30 Comprimidos,7896241293669,BIOLAB SANUS,
112,Água De Flor De Laranj 100Ml Lapo,7898048691419,LAPON,
113,L Enema 130Ml,7898133139420,NATULAB,L-Enema Natulab Caixa 130ml Solução Retal
114,FLOGORAL 12PAST LARANJA,7896658005442,ACHE,
115,Decongex Plus Com 4 Comprimidos,7896658007996,ACHE,Decongex Plus Aché 4 Comprimidos
116,Seki Xarope 120Ml 3 54Mg,7898074618183,ZAMBON,
117,Hytós Plus Xarope 100Ml União Química,7896006259701,UNIAO QUIMICA SIMILA,
118,Naridrin Ems Adulto Caixa 15Ml,7896004803456,EMS SIMILAR,Naridrin EMS Adulto Caixa 15ml
119,Antigripal Benegrip Multi Noite 4 Comprimidos,7896094918603,HYPERMARCAS CH,
120,Sumaxpro Libbs Caixa 2 Comprimidos Revestidos,7896094208278,LIBBS,
121,Luftal Gel Caps Simeticona 125mg - 10 Cápsulas Gelatinosas,7896016804939,RECKITT BENCKISER,
122,Aerolin Spray 100Mcg Gsk Caixa 14 6Ml 200 Doses,7896269900150,GLAXOSMITHKLINE,"Aerolin Spray 100mcg GSK Caixa 14,6ml 200 Doses"
123,Apracur 6 Comprimidos Revestidos 1Mg 100Mg 50Mg,7891104193087,HYPERMARCAS CH,
