Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmacia,Região,Cidade
Probiótico Enterogermina 10 frascos,7891058016999,SANOFI - CHC,Enterogermina Sanofi Caixa 50ml 10 Frascos de 5ml Cada,66.0,38.99,41.0%,Santo Remedio,Sudeste,Sao Paulo
"Sonridor Caf Analgésico Efervescente para Alívio da Febre, Dor e Enxaqueca com 4 comprimidos",7896015517069,GLAXO OTC,"Sonridor CAF 4 ComprimidosSonridor CAF 4 ComprimidosDescubra o Sonridor CAF em sua apresentação de 4 comprimidos, a solução eficaz para proporcionar alívio rápido e duradouro contra sintomas associados a desconfortos e dores leves. Desenvolvido com uma fórmula avançada, este medicamento combina ingredientes ativos que atuam diretamente no foco da dor, oferecendo uma sensação de alívio e bem-estar.Forma de Uso:Tome um comprimido de Sonridor CAF com um copo de água, conforme necessário ou conforme orientação médica.Evite consumir mais do que a dose recomendada em um período de 24 horas.Em caso de dúvidas ou persistência dos sintomas, consulte um profissional de saúde para orientações adicionais.Benefícios Principais:Alívio Rápido:A combinação única de ingredientes do Sonridor CAF proporciona alívio rápido contra dores e desconfortos leves.Fórmula Eficaz:Com componentes cuidadosamente selecionados, este medicamento é ideal para situações onde é necessário um alívio pontual e eficaz.Confiabilidade e Segurança:Produzido seguindo rigorosos padrões de qualidade, o Sonridor CAF oferece confiança e tranquilidade para quem busca alívio para desconfortos ocasionais.Escolha o Sonridor CAF 4 Comprimidos como seu aliado no combate a dores e desconfortos leves. Com este medicamento, você garante um alívio eficaz e rápido, permitindo retomar suas atividades diárias com conforto e bem-estar. Adquira já e experimente a eficácia e confiança que só o Sonridor CAF pode oferecer.",15.22,14.99,2.0%,Santo Remedio,Sudeste,Sao Paulo
Citrato De Sildenafila 50 Mg 4 Comprimidos Hypermarcas Genérico,7896714226705,NEO QUIMICA GENERICO,"Citrato de Sildenafila 50mg - Hypermarcas GenéricoCitrato de Sildenafila 50mg - Hypermarcas GenéricoÉ uma alternativa eficaz e acessível para o tratamento da disfunção erétil, ajudando homens a retomar a confiança e a qualidade nas relações íntimas. Este medicamento genérico oferece a mesma eficácia e segurança que os produtos de marca, proporcionando resultados satisfatórios comprovados em estudos clínicos e prática médica.Forma de Uso:Dosagem:Consulte um médico para determinar a dosagem adequada do Citrato de Sildenafila 50mg, considerando suas necessidades individuais e histórico médico.Administração:Tome o comprimido por via oral, com um copo de água, conforme orientação médica, geralmente cerca de 30 minutos a 1 hora antes da atividade sexual.Estímulo Sexual:O Citrato de Sildenafila não é um afrodisíaco; portanto, a excitação sexual é necessária para que o medicamento funcione efetivamente.Intervalo:Respeite o intervalo mínimo entre as doses e evite o uso excessivo do medicamento sem orientação médica.Precauções:Utilize o Citrato de Sildenafila 50mg Hypermarcas Genérico somente conforme prescrito por um profissional de saúde, evitando automedicação.Informe seu médico sobre qualquer condição médica preexistente, medicamentos em uso ou alergias antes de iniciar o tratamento.Evite o consumo de álcool em excesso durante o uso deste medicamento, pois pode potencializar os efeitos colaterais.Em caso de efeitos colaterais adversos, como dor no peito, náuseas, tonturas ou visão alterada, interrompa o uso imediatamente e procure orientação médica.Mantenha o Citrato de Sildenafila 50mg em local fresco, seco e fora do alcance de crianças e animais de estimação.",,,,Santo Remedio,Sudeste,Sao Paulo
Xantinon Complex 1 Flaconete 10Ml União Química,7896006216636,UNIAO QUIMICA SIMILA,,3.09,3.09,,Santo Remedio,Sudeste,Sao Paulo
Nimesulida 100Mg Com 12Cp Neo Quimica,7896714223841,NEO QUIMICA GENERICO,,24.3,5.99,75.0%,Santo Remedio,Sudeste,Sao Paulo
Avamys 27 5Mcg Gsk Caixa 10G 120 Doses,7896015518875,GLAXOSMITHKLINE,"Avamys 27,5mcg GSK Caixa 120 Doses 10g",71.7,56.99,21.0%,Santo Remedio,Sudeste,Sao Paulo
Cimegripe 20 Cápsulas Duras 400Mg 4Mg 4Mg,7896523200576,CIMED,"Cimegripe: Forma de Uso e PrecauçõesCimegripeOCimegripeé uma solução confiável para aliviar os sintomas associados à gripe e resfriados, proporcionando alívio rápido e eficaz. Com sua fórmula avançada de 400mg + 4mg, estas cápsulas duras são especialmente formuladas para combater sintomas como febre, dores no corpo, congestão nasal e outros desconfortos relacionados a condições gripais.Forma de Uso:Adultos e adolescentes acima de 12 anos: Tome uma cápsula com água, preferencialmente após as refeições, conforme necessário ou conforme orientação médica.Não exceda a dose recomendada dentro de um período de 24 horas.Consulte um médico se os sintomas persistirem ou piorarem após o uso.Precauções:Mantenha fora do alcance de crianças e animais domésticos.Não utilize se você é alérgico a qualquer componente da fórmula.Não consuma em combinação com outros produtos que contenham paracetamol.Se estiver grávida, amamentando, ou se tiver condições médicas pré-existentes, consulte um médico antes de usar.Armazene em local fresco e seco, protegido da luz solar direta e umidade.",26.02,12.99,50.0%,Santo Remedio,Sudeste,Sao Paulo
Besilato De Anlodipino 5Mg Teuto Caixa 30 Comprimidos,7896112149460,TEUTO BRAS,,,,,Santo Remedio,Sudeste,Sao Paulo
Sal de Fruta ENO Laranja Antiácido para Azia e Má Digestão com 2 sachês de 5g cada,7896015511166,GLAXO OTC,Sal de Fruta Eno Laranja GSK Envelope 10g 2 Unidades 5g Cada Pó Efervescente,,,,Santo Remedio,Sudeste,Sao Paulo
Engov 6 Comprimidos 15Mg 150Mg 150Mg 50Mg,7896094903104,HYPERMARCAS CH,"Engov: Forma de Uso e PrecauçõesEngovOEngové um aliado indispensável para quem busca alívio rápido e eficaz dos desconfortos causados por excessos alimentares e consumo de bebidas alcoólicas. Com sua fórmula especializada, este produto é especialmente formulado para auxiliar na redução de sintomas como dor de cabeça, enjoo e indisposição, proporcionando uma sensação de bem-estar e recuperação.Forma de Uso:Adultos: Tome 2 comprimidos com água, preferencialmente após as refeições ou conforme a necessidade de alívio dos sintomas.Não exceda a dose recomendada dentro de um período de 24 horas.Em caso de persistência dos sintomas ou dúvidas sobre o uso, consulte um médico ou farmacêutico.Precauções:Mantenha fora do alcance de crianças e animais domésticos.Não utilize se você é alérgico a qualquer componente da fórmula.Evite consumir álcool enquanto estiver tomando Engov.Se estiver grávida, amamentando, ou se tiver condições médicas pré-existentes, consulte um médico antes de usar.Armazene em local fresco e seco, protegido da luz solar direta e umidade.",,,,Santo Remedio,Sudeste,Sao Paulo
Chá para Gripe Vick Pyrena Sabor Mel e Limão 5g,78911246,PROCTER&GAMBLE MED,,4.63,3.99,14.0%,Santo Remedio,Sudeste,Sao Paulo
Analgésico Dorflex 36 Comprimidos,7891058017507,SANOFI - CHC,Dorflex Sanofi Caixa 36 Comprimidos,22.6,18.9,16.0%,Santo Remedio,Sudeste,Sao Paulo
Analgésico Dorflex Uno Enxaqueca 1g 10 Comprimidos,7891058022815,SANOFI - CHC,,17.26,14.99,13.0%,Santo Remedio,Sudeste,Sao Paulo
Maxalgina 500Mg Ml Solução Oral Natulab 10Ml,7898133130403,NATULAB,,10.75,2.99,72.0%,Santo Remedio,Sudeste,Sao Paulo
Pomada Prevenção De Assaduras Bepantriz,7896523210797,CIMED,"Bepantriz 50mg Pomada 30gBepantriz 50mg Pomada 30gIntroduzindo a Bepantriz 50mg Pomada de 30g, a solução ideal para cuidados intensivos da pele, especialmente projetada para promover a regeneração e proteção contra irritações. Com uma fórmula única à base de dexpantenol, esta pomada é um aliado essencial para restaurar a saúde da pele e aliviar desconfortos.Forma de Uso:Lave e seque a área afetada antes da aplicação da pomada Bepantriz 50mg.Aplique uma camada fina e uniforme sobre a pele, garantindo cobertura total da área afetada.Repita a aplicação conforme necessário, especialmente após exposições a agentes irritantes ou conforme orientação médica.Benefícios Principais:Regeneração Cutânea:Graças ao poderoso dexpantenol, a Bepantriz 50mg promove a regeneração natural da pele, acelerando o processo de recuperação de irritações e pequenas lesões.Proteção Avançada:A pomada forma uma barreira protetora, ajudando a prevenir novas irritações e promovendo um ambiente propício para a cura.Versatilidade de Uso:Indicada para uma variedade de condições, desde irritações leves até áreas mais sensíveis e danificadas, proporcionando alívio imediato e cuidado contínuo.Confie na eficácia e tradição da Bepantriz 50mg Pomada 30g para garantir uma pele saudável, protegida e revitalizada. Seja para o cuidado diário ou situações específicas, esta pomada é indispensável em sua farmácia doméstica. Adquira agora e experimente os benefícios de um tratamento de pele confiável e comprovado.",9.99,9.99,,Santo Remedio,Sudeste,Sao Paulo
Pastilhas para garganta Strepsils Sabor Mel e Limão - Caixa 8 Pastilhas,7891035010842,RECKITT BENCKISER,,14.67,14.4,2.0%,Santo Remedio,Sudeste,Sao Paulo
Tadalafila 5Mg X 2 Bl X 15 Comp Rev,7894916149662,LEGRAND GENERICO,,95.84,27.99,71.0%,Santo Remedio,Sudeste,Sao Paulo
Sal de Fruta ENO Abacaxi Antiácido para Azia e Má Digestão com 2 sachês de 5g cada,7896015521646,GLAXO OTC,Sal de Fruta Eno Abacaxi GSK Envelope 10g 2 Unidades 5g Cada Pó Efervescente,,,,Santo Remedio,Sudeste,Sao Paulo
Nistatina Óxido De Zinco Pomada 60G 100 000Ui G 200Mg G,7896523226972,CIMED,,30.95,9.99,68.0%,Santo Remedio,Sudeste,Sao Paulo
Sal de Fruta ENO Guaraná Antiácido para Azia e Má Digestão com 2 sachês de 5g cada,7896015516970,GLAXO OTC,,,,,Santo Remedio,Sudeste,Sao Paulo
Tadalafila 20Mg Medley Caixa 4 Comprimidos Revestidos,7896422501682,MEDLEY GENERICO,,63.52,26.99,58.0%,Santo Remedio,Sudeste,Sao Paulo
Antialérgico Allegra Pediátrico 6mg/ml 60 ml,7891058004347,SANOFI - CHC,Allegra Framboesa 6mg/ml Sanofi Caixa 60ml + Seringa Dosadora,38.73,29.99,23.0%,Santo Remedio,Sudeste,Sao Paulo
Dorflex Uno 4 Comprimidos 1G,7891058022785,SANOFI - CHC,,7.86,7.57,4.0%,Santo Remedio,Sudeste,Sao Paulo
Ibuprofeno 600Mg Prati Donaduzzi Caixa 20 Comprimidos Revestidos,7898148295159,PRATTI-DONADUZZI,Ibuprofeno 600mg Prati-Donaduzzi Caixa 20 Comprimidos Revestidos,21.47,13.99,35.0%,Santo Remedio,Sudeste,Sao Paulo
Analgésico Novalgina 1g 10 Comprimidos,7891058001155,SANOFI - CHC,,23.63,18.49,22.0%,Santo Remedio,Sudeste,Sao Paulo
Descongestionante Vick VapoRub 12g,78911222,PROCTER&GAMBLE MED,,18.03,15.99,11.0%,Santo Remedio,Sudeste,Sao Paulo
Expec Xarope 120Ml,7896004812168,LEGRAND,Xarope Expec Framboesa e Caramelo Zero Açúcar Legrand Caixa 120ml,46.64,29.49,37.0%,Santo Remedio,Sudeste,Sao Paulo
Histamin 20 Comprimidos 2Mg,7896714219301,NEO QUÍMICA,"Indicação: No alívio sintomático de algumas manifestações alérgicas, tais como: dermatite de contato e atópica, rinites vasomotoras, angioedema, urticária e processos alérgicos de outras origens, pruridos anais, vulvares e de origem inespecífi ca; febre do feno.",17.1,8.6,50.0%,Santo Remedio,Sudeste,Sao Paulo
Buscofem 400Mg Com 10 Cápsulas,7896094921344,HYPERMARCAS CH,,30.91,27.44,11.0%,Santo Remedio,Sudeste,Sao Paulo
Benegrip 6 Comprimidos Revestidos 500Mg 30Mg 2Mg,7896094903036,HYPERMARCAS CH,Benegrip Cosmed 6 Comprimidos Revestidos,13.37,12.49,7.0%,Santo Remedio,Sudeste,Sao Paulo
ATROVERAN HOT SACHE,7896094916616,HYPERMARCAS CH,Atroveran Hot Cosmed 130mm x 70mm Pacote 20g,12.85,10.51,18.0%,Santo Remedio,Sudeste,Sao Paulo
Dipirona Monoidratada 1G 10 Comprimidos Neo Química,7896714207551,NEO QUIMICA GENERICO,"Dipirona Monoidratada 1g - Neo QuímicaDipirona Monoidratada 1g - Neo QuímicaÉ uma solução analgésica e antipirética confiável para o alívio de dores e febres. Este medicamento, produzido por uma marca reconhecida pela qualidade e eficácia, oferece alívio rápido e eficiente para diversos tipos de desconfortos, proporcionando bem-estar e conforto em momentos de necessidade.Forma de Uso:Dosagem:Consulte um médico ou profissional de saúde para determinar a dosagem adequada de Dipirona Monoidratada 1g, levando em consideração sua condição, idade e histórico médico.Administração:Tome o comprimido por via oral, com água, conforme a prescrição médica ou as recomendações da embalagem.Intervalo:Respeite o intervalo de tempo entre as doses e a dose máxima diária recomendada para evitar complicações.Indicação:Utilize o medicamento para alívio de dores leves a moderadas, febre e outras condições conforme orientação médica.Precauções:Siga rigorosamente as instruções de dosagem e administração fornecidas pelo médico ou indicadas na embalagem do produto.Informe seu médico sobre qualquer alergia, condição médica preexistente ou uso de outros medicamentos antes de iniciar o tratamento com Dipirona Monoidratada 1g.Evite o consumo excessivo ou prolongado do medicamento sem supervisão médica, pois pode aumentar o risco de efeitos adversos.Em caso de reações alérgicas, sintomas adversos ou persistência dos sintomas, interrompa o uso e procure orientação médica imediatamente.Mantenha o produto em sua embalagem original, em local fresco, seco e protegido da luz, fora do alcance de crianças e animais de estimação.",23.49,19.99,15.0%,Santo Remedio,Sudeste,Sao Paulo
Simeticona Gotas 75Mg Ml Genérico Cimed 15Ml,7896523212319,CIMED,,,,,Santo Remedio,Sudeste,Sao Paulo
Imosec 2Mg Janssen Caixa 12 Comprimidos,7896212478750,CELLERA FARMA,Imosec 2mg Janssen Caixa 12 Comprimidos,11.82,11.35,4.0%,Santo Remedio,Sudeste,Sao Paulo
Doralgina 20 Drágeas Neo Química,7896714210018,NEO QUÍMICA,"Indicação: Tratamento de diversas dores de cabeça, incluindo enxaquecas",28.9,11.08,62.0%,Santo Remedio,Sudeste,Sao Paulo
Loratamed 10Mg 12 Comprimidos Cimed,7896523202822,CIMED,,20.6,8.99,56.0%,Santo Remedio,Sudeste,Sao Paulo
Tadalafila 5Mg Medley Caixa 30 Comprimidos Revestidos,7896422501651,MEDLEY GENERICO,,97.49,35.99,63.0%,Santo Remedio,Sudeste,Sao Paulo
EMPLASTRO SALONPAS G 2UND,7896227800027,HISAMITSU,,9.56,9.56,,Santo Remedio,Sudeste,Sao Paulo
Buscofem 400Mg Boehringer Ingelheim 2 Cápsulas,7896094921320,HYPERMARCAS CH,,7.08,6.99,1.0%,Santo Remedio,Sudeste,Sao Paulo
Neosaldina Takeda 4 Drágeas,7896094921986,HYPERMARCAS CH,Neosaldina Takeda 4 Drágeas,8.12,7.51,8.0%,Santo Remedio,Sudeste,Sao Paulo
Histamin 2Mg 100Ml Xarope Neo Química,7896714219318,NEO QUÍMICA,"Indicação: No alívio sintomático de algumas manifestações alérgicas, tais como: dermatite de contato e atópica, rinites vasomotoras, angioedema, urticária e processos alérgicos de outras origens, pruridos anais, vulvares e de origem inespecífi ca; febre do feno.",24.54,15.49,37.0%,Santo Remedio,Sudeste,Sao Paulo
Orlistate 120Mg Caixa 42 Cap,7899547500233,PRATTI-DONADUZZI,,197.94,73.99,63.0%,Santo Remedio,Sudeste,Sao Paulo
Repoflor 100Mg Com 12 Cápsulas,7896004715247,LEGRAND,,57.32,29.99,48.0%,Santo Remedio,Sudeste,Sao Paulo
Contractubex 20G Gel,7896112403418,BIOLAB SANUS,,110.39,80.92,27.0%,Santo Remedio,Sudeste,Sao Paulo
Paracetamol 750Mg Com 20 Comprimidos Ems,7896004703596,EMS GENERICO,Paracetamol 750mg EMS Caixa 20 Comprimidos Revestidos,20.59,9.99,51.0%,Santo Remedio,Sudeste,Sao Paulo
Floratil 200Mg 6 Cápsulas,7898040329655,DIVCOM,,47.38,39.99,16.0%,Santo Remedio,Sudeste,Sao Paulo
Dipirona Sodica 1000Mg Com Ct Bl Al Plas Trans X 10,7899547500356,PRATTI-DONADUZZI,,17.41,9.99,43.0%,Santo Remedio,Sudeste,Sao Paulo
Torsilax 30 Mg 125 Mg 50 Mg 300 Mg 12 Comprimidos Neo Química Similar,7896714218267,NEO QUÍMICA,,17.4,7.99,54.0%,Santo Remedio,Sudeste,Sao Paulo
Simeticona 75Mg 15Ml Solução Medley,7896422505673,MEDLEY GENERICO,,25.75,9.49,63.0%,Santo Remedio,Sudeste,Sao Paulo
Analgésico Novalgina Solução Oral 50mg/ml com seringa dosadora 100 ml,7891058464073,SANOFI - CHC,,46.93,29.99,36.0%,Santo Remedio,Sudeste,Sao Paulo
Fluconazol 150Mg Ems Caixa 2 Cápsulas,7896004703343,EMS GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Tadalafila 20Mg Caixa 2 Comp,7899547513202,PRATTI-DONADUZZI,,21.34,12.49,41.0%,Santo Remedio,Sudeste,Sao Paulo
Torsilax Neo Química Caixa 10 Comprimidos,7896714257600,NEO QUÍMICA,Torsilax Neo Química Caixa 200 Comprimidos,14.71,6.99,52.0%,Santo Remedio,Sudeste,Sao Paulo
Dipirona Sádica Cafeína 65 Mg 4 Comprimidos Neo Química Genérico,7896714273198,NEO QUIMICA GENERICO,,6.43,5.99,7.0%,Santo Remedio,Sudeste,Sao Paulo
"Sonridor Caf Analgésico Efervescente para Alívio da Febre, Dor e Enxaqueca com 2 comprimidos",7896015517090,GLAXO OTC,,8.78,7.99,9.0%,Santo Remedio,Sudeste,Sao Paulo
Tandrilax Aché Com 15 Comprimidos,7896658004704,ACHE,,17.37,16.68,4.0%,Santo Remedio,Sudeste,Sao Paulo
Analgésico Flanax 550mg Bayer Dores Intensas com 10 comprimidos,7891106006507,BAYER OTC,,27.37,27.27,0.0%,Santo Remedio,Sudeste,Sao Paulo
Estomazil Laranja Sachê 5G,7896094901452,HYPERMARCAS CH,Antiácido Pó Efervescente Estomazil Laranja Cosmed Envelope 5g,,,,Santo Remedio,Sudeste,Sao Paulo
Colírio Moura Brasilmoura Brasil,7891058020316,SANOFI - CHC,,20.23,17.99,11.0%,Santo Remedio,Sudeste,Sao Paulo
Flogoral Cereja Aché 12 Pastilhas,7896658005466,ACHE,Flogoral 3mg Cereja Aché Caixa 12 Pastilhas,17.62,17.11,3.0%,Santo Remedio,Sudeste,Sao Paulo
Cloridrato De Nebivolol 5Mg Caixa 30 Comp,7899551303868,BIOLAB GENERICO,,,,,Santo Remedio,Sudeste,Sao Paulo
Plasil 10Mg Sanofi Caixa 20 Comprimidos,7891058059149,SANOFI - PRESCRIÇÃO,,13.61,13.07,4.0%,Santo Remedio,Sudeste,Sao Paulo
"Koide D 0,25mg/5ml + 2mg/5ml Caixa 120ml Xarope Copo Medida",7891317015060,MOMENTA FARMACEUTICA,,49.98,44.48,11.0%,Santo Remedio,Sudeste,Sao Paulo
Paracetamol 500 Mg 10 Comprimidos Prati Donaduzzi Genérico,7898148295098,PRATTI-DONADUZZI,,8.53,6.99,18.0%,Santo Remedio,Sudeste,Sao Paulo
Orlistate 120Mg Ems Caixa 84 Cápsulas,7896004737225,EMS GENERICO,,409.03,158.99,61.0%,Santo Remedio,Sudeste,Sao Paulo
Luftal Gel Caps Simeticona 125mg - 20 Cápsulas Gelatinosas,7896222720856,RECKITT BENCKISER,,53.33,44.99,16.0%,Santo Remedio,Sudeste,Sao Paulo
RESFENOL 400MG 5CAPS,7896331705423,HERTZ,,6.22,4.99,20.0%,Santo Remedio,Sudeste,Sao Paulo
Lacto Purga Com 16 Comprimidos,7896094904118,HYPERMARCAS CH,,12.57,11.99,5.0%,Santo Remedio,Sudeste,Sao Paulo
Pastilhas Para Garganta Ciflogex Diet Sabor Menta 12 Pastilhas,7896523206806,CIMED,,21.09,15.49,27.0%,Santo Remedio,Sudeste,Sao Paulo
